task_id,src_id,band,item_type,gold_cert,model_s,sentence
R023,C0729,definitive,ordinary,,0.8,"As predicted, Group impacted the blink size, as indicated by a two-way interaction between group and lag, F(3,114) = 5.41, p 0.05, MSE = 0.004, η2 p = 0.12: Calvinists showed a greater AB magnitude than Atheists."
R024,C4417,definitive,ordinary,,1.0,"Finally, preschoolers consider linguistic and pragmatic skills over social cues when learning a new word (Nurmsoo & Bloom, 2008)."
R025,C1221,neutral,ordinary,,0.5,"For example, ‘extraversion’, a subscale of the FFM, has been shown to be associated with ‘reward sensitivity’, one of the subscales of Cloninger’s TCI (38,39)."
R026,C4210,hedged,ordinary,,0.0,"First, a constant fundamental value (instead of a decreasing one) is a simpler asset that may be less likely to create misunderstandings or disagreements in prices among traders (Smith et al., 2000; Kirchler et al., 2012)."
R027,C2570,neutral,ordinary,,0.5,"McCrea (2008) proposed that, because counterfactual thinking involves finding reasons for past failed attempts, such thinking can offer excuses for prior failure and poor performance."
R028,C5948,definitive,ordinary,,0.8,"That is, supervisor undermining thwarts the satisfaction of employees’ intrinsic needs for competence, autonomy, and purpose that underpin psychological empowerment (Aquino and Thau, 2009; Gagné et al., 1997; Shnabel and Nadler, 2008)."
R029,C2448,neutral,ordinary,,0.5,"We therefore examined whether the 5-factor solution had an adequate fit at all ages, as others have found an adequate fit for the 10-year-olds, but only when adjusting for acquies-cence bias (Soto et al., 2008)."
R030,C5563,neutral,gold_neutral,0.5,0.5,"Stereotypes and racial identity often hinder individuals’ learning outcome (Goff & Steele, 2008)."
R031,C1017,definitive,ordinary,,1.0,"However, the body is more specific: a wide stance, an expanded torso pushed forward, arms akimbo, hands on the hips and the head tilted back (Tracy and Robins 2008)."
R032,C4383,hedged,ordinary,,0.0,"More generally, our findings may also explain resistance to reform policies that aim to promote social welfare or reduce income inequality (21, 71)."
R033,C1698,definitive,ordinary,,1.0,"RTs decreased with increasing target presentation duration, F(2, 34) = 37.1, p .0005, partial 2 = .69."
R034,C5644,hedged,ordinary,,0.0,"Prior research suggests that the factor structure of personality may vary with age (Beck et al., 2019; Mõttus et al., 2019; Soto et al., 2008)."
R035,C4047,definitive,ordinary,,0.8,"These biases distort score validity and inflate convergent validity estimates with other measures affected by the same biases (Soto & John, 2019; Soto et al., 2008)."
R036,C3449,definitive,ordinary,,0.8,"Results showed that the impairment in recall was of similar size for both low-switch lists with degraded stimuli and high-switch lists with normal stimuli (Liefooghe et al., 2008)."
R037,C3377,hedged,ordinary,,0.0,The intuition that this might reduce the effect of punishment finds support in recent work by Ambrus and Greiner (2009) and Grechenig et al.
R038,C1591,definitive,ordinary,,0.8,"In a classic example, survey respondents reported vastly reduced TV-watching habits when selecting their daily viewing patterns from among shorter options instead of longer options; Schwarz et al. 1985)."
R039,C3233,neutral,ordinary,,0.5,"This finding is consistent with that of Kessler and Roth (2012), but the descriptive statistics also illustrate that substantial gains can be achieved using just an opt-out policy."
R040,C4142,definitive,ordinary,,0.8,"Given implicit stereotypical associations between STEM and men, the more strongly one identifies as a woman (man), the less (more) likely they would be to identify with STEM, to achieve a sense of balance (Nosek et al., 2002)."
R041,C4976,neutral,ordinary,,0.5,"Generally, compared to results for three-person groups over 50 rounds in Ambrus and Greiner (2012), we observe less convergence to homogenous group types over time."
R042,C1993,neutral,gold_neutral,0.5,0.5,"Although Schmidt and Besner (2008) provided strong evidence in favor of the contingency account, Bugg et al. (2011a) questioned the ubiquity of the account and whether ISPC effects are always dominated by contingency learning."
