Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
105,"DJ Johnson, F Cheung, MB Donnellan",Does cleanliness influence moral judgments?,2014,Social Psychology,econtent.hogrefe.com,https://econtent.hogrefe.com/doi/full/10.1027/1864-9335/a000186,"https://scholar.google.com/scholar?cites=1788806981840800232&as_sdt=2005&sciodt=0,5&hl=en",11,3/10/20 11:56,HTML,,,,,,,,105,17.5,35,3,6,"Abstract Schnall, Benton, and Harvey (2008) hypothesized that physical cleanliness reduces the severity of moral judgments. In support of this idea, they found that individuals make less severe judgments when they are primed with the concept of cleanliness (Exp. 1) and when …"
99,"F Gino, M Kouchaki, AD Galinsky",The moral virtue of authenticity: How inauthenticity produces feelings of immorality and impurity,2015,Psychological Science,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0956797615575277,"https://scholar.google.com/scholar?cites=3998038075182966664&as_sdt=2005&sciodt=0,5&hl=en",12,3/10/20 11:56,,,,,,,,,99,19.8,33,3,5,"The five experiments reported here demonstrate that authenticity is directly linked to morality. We found that experiencing inauthenticity, compared with authenticity, consistently led participants to feel more immoral and impure. This link from inauthenticity to feeling …"
98,LW Barsalou,Situated conceptualization: Theory and applications.,2016,,psycnet.apa.org,https://psycnet.apa.org/record/2016-07001-001,"https://scholar.google.com/scholar?cites=15693603716029753554&as_sdt=2005&sciodt=0,5&hl=en",13,3/10/20 11:56,,,,,,,,,98,24.5,98,1,4,"In this chapter, the author develops an original view on conceptual knowledge as a support structure for perception, cognition, and action that emerges from cognitive mechanisms in interaction with sensory-motor systems, the body, and physical and social environments …"
96,"AJ Xu, R Zwick, N Schwarz",Washing away your (good or bad) luck: Physical cleansing affects risk-taking behavior.,2012,Journal of Experimental Psychology …,psycnet.apa.org,https://psycnet.apa.org/doiLanding?doi=10.1037%2Fa0023997,"https://scholar.google.com/scholar?cites=9765636599342099708&as_sdt=2005&sciodt=0,5&hl=en",14,3/10/20 11:56,,,,,,,,,96,12,32,3,8,"Many superstitious practices entail the belief that good or bad luck can be “washed away.” Consistent with this belief, participants who recalled (Experiment 1) or experienced (Experiment 2) an episode of bad luck were more willing to take risk after having as opposed …"
92,"MS Grayson, DA Newton, LF Thompson",Payback time: the associations of debt and income with medical student career choice,2012,Medical education,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2923.2012.04340.x,"https://scholar.google.com/scholar?cites=7268800412441405898&as_sdt=2005&sciodt=0,5&hl=en",15,3/10/20 11:56,,,,,,,,,92,11.5,31,3,8,"Medical Education 2012: 46: 983–991 Context With impending health care reform in the USA, there is an imperative to increase the number of students choosing primary care (PC) careers. Research is needed to better understand the roles of economic factors in medical …"
90,"GR Semin, ER Smith",Socially situated cognition in perspective,2013,Social Cognition,Guilford Press,https://guilfordjournals.com/doi/abs/10.1521/soco.2013.31.2.125,"https://scholar.google.com/scholar?cites=10838738394064283584&as_sdt=2005&sciodt=0,5&hl=en",16,3/10/20 11:56,,,,,,,,,90,12.86,45,2,7,"In 2004, we (Smith & Semin, 2004) described a conceptual framework of “socially situated cognition,” encompassing four major themes. Cognition is for adaptive action, involves the body and sensori-motor systems, is situated in immediate intercourse with the environment …"
88,"M Gollwitzer, A Melzer",Macbeth and the joystick: Evidence for moral cleansing after playing a violent video game,2012,Journal of Experimental Social Psychology,Elsevier,https://www.sciencedirect.com/science/article/pii/S002210311200131X,"https://scholar.google.com/scholar?cites=7994558963158482659&as_sdt=2005&sciodt=0,5&hl=en",17,3/10/20 11:56,,,,,,,,,88,11,44,2,8,"The “Macbeth effect” denotes the phenomenon that people wish to cleanse themselves physically when their moral self has been threatened. In this article we argue that such a threat to one's moral self may also result from playing a violent video game, especially when …"
75,"AM Kuntz, MM Presnall",Wandering the tactical: From interview to intraview,2012,Qualitative Inquiry,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/1077800412453016,"https://scholar.google.com/scholar?cites=10237679282543731690&as_sdt=2005&sciodt=0,5&hl=en",18,3/10/20 11:56,,,,,,,,,75,9.38,38,2,8,"In this article, we address the simplistic use of the interview as a methodological technique that abstracts the humanist subject as an object for analysis. Rather than simply a tool of inquiry, we present the interview as a wholly engaged encounter, a means for making …"
70,"T Sharot, SM Fleming, X Yu, R Koster…",Is choice-induced preference change long lasting?,2012,Psychological …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0956797612438733,"https://scholar.google.com/scholar?cites=850411964553283273&as_sdt=2005&sciodt=0,5&hl=en",19,3/10/20 11:56,,,,,,,,,70,8.75,14,5,8,The idea that decisions alter preferences has had a considerable influence on the field of psychology and underpins cognitive dissonance theory. Yet it is unknown whether choice-induced changes in preferences are long lasting or are transient manifestations seen in the …
68,"K Izuma, K Murayama",Choice-induced preference change in the free-choice paradigm: a critical methodological review,2013,Frontiers in psychology,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00041,"https://scholar.google.com/scholar?cites=6476230128503005852&as_sdt=2005&sciodt=0,5&hl=en",20,3/10/20 11:56,HTML,,,,,,,,68,9.71,34,2,7,"Choices not only reflect our preference, but they also affect our behavior. The phenomenon of choice-induced preference change has been of interest to cognitive dissonance researchers in social psychology, and more recently, it has attracted the attention of …"
67,"SWS Lee, N Schwarz",Metaphor in judgment and decision making.,2014,,psycnet.apa.org,https://psycnet.apa.org/record/2013-17496-005,"https://scholar.google.com/scholar?cites=8282609910108066447&as_sdt=2005&sciodt=0,5&hl=en",21,3/10/20 11:56,,,,,,,,,67,11.17,34,2,6,"Abstract “I say, block those metaphors. America's economy isn't a stalled car, nor is it an invalid who will soon return to health if he gets a bit more rest. Our problems are longer-term than either metaphor implies. And bad metaphors make for bad policy,” wrote Nobel-winning …"
64,"M Reimann, W Feye, AJ Malter…",Embodiment in judgment and choice.,2012,Journal of …,psycnet.apa.org,https://psycnet.apa.org/journals/npe/5/2/104/,"https://scholar.google.com/scholar?cites=12818103993004683862&as_sdt=2005&sciodt=0,5&hl=en",22,3/10/20 11:56,,,,,,,,,64,8,16,4,8,"Abstract [Correction Notice: An erratum for this article was reported in Vol 5 (2) of Journal of Neuroscience, Psychology, and Economics (see record 2012-04964-001). Author Josh Ackerman should have been listed as Joshua M. Ackerman. All versions of this article have …"
65,"D Ariely, X Garcia-Rada, L Hornuf, H Mann",The (true) legacy of two really existing economic systems,2015,,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2457000,"https://scholar.google.com/scholar?cites=17635254550799168685&as_sdt=2005&sciodt=0,5&hl=en",23,3/10/20 11:56,,,,,,,,,65,13,16,4,5,"By running an experiment among Germans collecting their passports or ID cards in the citizen centers of Berlin, we find that individuals with an East German family background cheat significantly more on an abstract task than those with a West German family …"
56,"P Aggarwal, M Zhao",Seeing the big picture: The effect of height on the level of construal,2015,Journal of Marketing Research,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1509/jmr.12.0067,"https://scholar.google.com/scholar?cites=16992151424071853926&as_sdt=2005&sciodt=0,5&hl=en",24,3/10/20 11:56,,,,,,,,,56,11.2,28,2,5,"Drawing on research on grounded cognition and metaphorical representation, the authors propose and confirm in five studies that physical height, or even the mere concept of height, can affect the perceptual and conceptual levels of mental construal. As such, consumers …"
51,"A Körner, S Topolinski, F Strack",Routes to embodiment,2015,Frontiers in psychology,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fpsyg.2015.00940,"https://scholar.google.com/scholar?cites=1751784989603762223&as_sdt=2005&sciodt=0,5&hl=en",25,3/10/20 11:56,HTML,,,,,,,,51,10.2,17,3,5,"Research on embodiment is rich in impressive demonstrations but somewhat poor in comprehensive explanations. Although some moderators and driving mechanisms have been identified, a comprehensive conceptual account of how bodily states or dynamics …"
41,"M Schaefer, C Denke, HJ Heinze…",Rough primes and rough conversations: Evidence for a modality-specific basis to mental metaphors,2014,Social cognitive and …,academic.oup.com,https://academic.oup.com/scan/article-abstract/9/11/1653/1681524,"https://scholar.google.com/scholar?cites=12622524728619869257&as_sdt=2005&sciodt=0,5&hl=en",26,3/10/20 11:56,,,,,,,,,41,6.83,10,4,6,How does our brain organize knowledge? Traditional theories assume that our knowledge is represented abstractly in an amodal conceptual network of formal logic symbols. The theory of embodied cognition challenges this view and argues that conceptual …
37,S Pinker,Representations and decision rules in the theory of self-deception,2011,Behavioral and Brain Sciences,cambridge.org,https://www.cambridge.org/core/journals/behavioral-and-brain-sciences/article/representations-and-decision-rules-in-the-theory-of-selfdeception/3E217E142C3E5DB768E2F2D78B76EEE4,"https://scholar.google.com/scholar?cites=3235184930343585467&as_sdt=2005&sciodt=0,5&hl=en",27,3/10/20 11:56,,,,,,,,,37,4.11,37,1,9,"Self-deception is a powerful but overapplied theory. It is adaptive only when a deception-detecting audience is in the loop, not when an inaccurate representation is invoked as an internal motivator. First, an inaccurate representation cannot be equated with self-deception …"
37,"A Moon, SS Roeder","A secondary replication attempt of stereotype susceptibility (Shih, Pittinsky, & Ambady, 1999)",2014,Social Psychology,econtent.hogrefe.com,https://econtent.hogrefe.com/doi/full/10.1027/1864-9335/a000193,"https://scholar.google.com/scholar?cites=12454801079246965358&as_sdt=2005&sciodt=0,5&hl=en",28,3/10/20 11:56,HTML,,,,,,,,37,6.17,19,2,6,"Prior work suggests that awareness of stereotypes about a person's in-group can affect a person's behavior and performance when they complete a stereotype-relevant task, a phenomenon called stereotype susceptibility (Shih, Pittinsky, & Ambady, 1999). In a …"
36,"C Denke, M Rotte, HJ Heinze, M Schaefer",Lying and the subsequent desire for toothpaste: activity in the somatosensory cortex predicts embodiment of the moral-purity metaphor,2016,Cerebral cortex,academic.oup.com,https://academic.oup.com/cercor/article-abstract/26/2/477/2366272,"https://scholar.google.com/scholar?cites=11296883181773066590&as_sdt=2005&sciodt=0,5&hl=en",29,3/10/20 11:56,,,,,,,,,36,9,9,4,4,"It is well known from literature and religious ceremonies that there is a link between physical cleansing and moral transgressions. Only recently, psychological experiments explored this association and demonstrated that a threat to moral purity increases the demand of physical …"
36,"FM Cramwinckel, E van Dijk, D Scheepers…",The threat of moral refusers for one's self-concept and the protective function of physical cleansing,2013,Journal of Experimental …,Elsevier,https://www.sciencedirect.com/science/article/pii/S002210311300142X,"https://scholar.google.com/scholar?cites=749698462338953827&as_sdt=2005&sciodt=0,5&hl=en",30,3/10/20 11:56,,,,,,,,,36,5.14,9,4,7,"We investigated how people respond to moral threats and the consequences this has for one's moral self-concept. In two experiments, participants first tasted a sausage and were then confronted with a bogus participant who had refused to taste the sausage because of …"
34,A Bandura,Self-deception: A paradox revisited,2011,Behavioral and brain sciences,cambridge.org,https://www.cambridge.org/core/journals/behavioral-and-brain-sciences/article/selfdeception-a-paradox-revisited/98F563D3E7F1FE81DCF2C7E52E62611C,"https://scholar.google.com/scholar?cites=10446324494515392925&as_sdt=2005&sciodt=0,5&hl=en",31,3/10/20 11:56,,,,,,,,,34,3.78,34,1,9,A major challenge to von Hippel & Trivers's evolutionary analysis of self-deception is the paradox that one cannot deceive oneself into believing something while simultaneously knowing it to be false. The authors use biased information seeking and processing as …
33,K Kaspar,Washing one's hands after failure enhances optimism but hampers future performance,2013,Social Psychological and Personality Science,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/1948550612443267,"https://scholar.google.com/scholar?cites=3074337251996789232&as_sdt=2005&sciodt=0,5&hl=en",32,3/10/20 11:56,,,,,,,,,33,4.71,33,1,7,"Previous studies showed that washing one's hand not only removes dirt from the body, it also weakens one's guilt after immoral behavior, makes moral judgment of others' misdeeds less severe, reduces post-decisional dissonance effects, and can help wash off bad luck …"
31,MJ Landau,Conceptual metaphor in social psychology: The poetics of everyday life,2016,,books.google.com,https://books.google.com/books?hl=en&lr=&id=m0MlDwAAQBAJ&oi=fnd&pg=PP1&ots=iQsPvpFsnG&sig=8x2ZbquZqNGAYjDJrUO3bndQ3wc,"https://scholar.google.com/scholar?cites=16507257863510127361&as_sdt=2005&sciodt=0,5&hl=en",33,3/10/20 11:56,BOOK,,,,,,,,31,7.75,31,1,4,"We learn in grade school that metaphor is an ornamental figure of speech reserved for poets. But we now know that it is also a key strategy people use to make sense of the world, from basic concepts like time and causation to the major social issues facing society. In this …"
32,K Bilz,Dirty hands or deterrence? An experimental examination of the exclusionary rule,2012,Journal of Empirical Legal Studies,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1740-1461.2011.01250.x,"https://scholar.google.com/scholar?cites=8874847335812576541&as_sdt=2005&sciodt=0,5&hl=en",34,3/10/20 11:56,,,,,,,,,32,4,32,1,8,"Historically, the Supreme Court has offered two justifications for the exclusionary rule:(1) it protects the integrity of the judicial system from “dirty” evidence and (2) it deters illegal searches by the police. The former justification has mostly fallen out of favor. Today …"
31,S Schnall,"Clean, proper and tidy are more than the absence of dirty, disgusting and wrong",2011,Emotion review,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/1754073911402397,"https://scholar.google.com/scholar?cites=10268259694117499298&as_sdt=2005&sciodt=0,5&hl=en",35,3/10/20 11:56,,,,,,,,,31,3.44,31,1,9,"The desire to feel clean and pure might not merely be the absence of contamination and resulting feelings of disgust. Instead, it might have a social function because early in evolution social grooming not only involved improved personal hygiene and cleanliness, but …"
31,"M Ostinelli, D Luna, T Ringberg","When up brings you down: The effects of imagined vertical movements on motivation, performance, and consumer behavior",2014,Journal of Consumer Psychology,Elsevier,https://www.sciencedirect.com/science/article/pii/S1057740813000983,"https://scholar.google.com/scholar?cites=5426021313015860104&as_sdt=2005&sciodt=0,5&hl=en",36,3/10/20 11:56,,,,,,,,,31,5.17,10,3,6,"Previous embodied cognition research suggests that “up” is associated with positivity (eg, good, divine), whereas “down” is associated with negativity (eg, bad, evil). We focus on the effect of vertical movements on consumer behavior and go beyond investigating mere …"
30,"W Von Hippel, R Trivers",Reflections on self-deception,2011,Behavioral and Brain Sciences,search.proquest.com,http://search.proquest.com/openview/c65c0acb79a4d7407904853e993fe82c/1?pq-origsite=gscholar&cbl=47829,"https://scholar.google.com/scholar?cites=11318167458169310026&as_sdt=2005&sciodt=0,5&hl=en",37,3/10/20 11:56,,,,,,,,,30,3.33,15,2,9,Commentators raised 10 major questions with regard to self-deception: Are dual representations necessary? Does self-deception serve intrapersonal goals? What forces shape self-deception? Are there cultural differences in self-deception? What is the self …
30,"NAS Farb, HA Chapman, AK Anderson",Emotions: Form follows function,2013,Current opinion in neurobiology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0959438813000317,"https://scholar.google.com/scholar?cites=4395015592728419822&as_sdt=2005&sciodt=0,5&hl=en",38,3/10/20 11:56,,,,,,,,,30,4.29,10,3,7,Emotion research has been divided by debate as to whether emotions are universal in form or cognitively constructed. We review an emerging approach that focuses on function rather than form. Functional affective science suggests that the particular origin of an emotion is …
31,JB Green,"Conversion in Luke-Acts: divine action, human cognition, and the people of God",2015,,books.google.com,https://books.google.com/books?hl=en&lr=&id=DDHiCgAAQBAJ&oi=fnd&pg=PT6&ots=ZYpp72ogCg&sig=EtY3uRipu7i_5h9aEIw6LWQMdlc,"https://scholar.google.com/scholar?cites=2765351245095414066&as_sdt=2005&sciodt=0,5&hl=en",39,3/10/20 11:56,BOOK,,,,,,,,31,6.2,31,1,5,"Repentance and conversion are key topics in New Testament interpretation and in Christian life. However, the study of conversion in early Christianity has been plagued by psychological assumptions alien to the world of the New Testament. Leading New …"
30,"A Krishna, N Schwarz","Sensory marketing, embodiment, and grounded cognition: Implications for consumer behavior",2014,Journal of Consumer Psychology,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2549963,"https://scholar.google.com/scholar?cites=7510808321689149153&as_sdt=2005&sciodt=0,5&hl=en",40,3/10/20 11:56,,,,,,,,,30,5,15,2,6,"There has been a recent swell of interest in marketing as well as psychology pertaining to the role of sensory experiences in judgment and decision making. Within marketing, the field of sensory marketing has developed which explores the role of the senses in consumer …"
30,"E Akpinar, J Berger",Drivers of cultural success: The case of sensory metaphors.,2015,Journal of Personality and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/record/2015-23900-001,"https://scholar.google.com/scholar?cites=15105660961316170304&as_sdt=2005&sciodt=0,5&hl=en",41,3/10/20 11:56,,,,,,,,,30,6,15,2,5,Why do some cultural items catch on and become more popular than others? Language is one of the basic foundations of culture. But what leads some phrases to become more culturally successful? There are multiple ways to convey the same thing and phrases with …
28,K Kaspar,"A weighty matter: Heaviness influences the evaluation of disease severity, drug effectiveness, and side effects",2013,PLoS One,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3823885/,"https://scholar.google.com/scholar?cites=3944094738057680454&as_sdt=2005&sciodt=0,5&hl=en",42,3/10/20 11:56,HTML,,,,,,,,28,4,28,1,7,Peoples' perception of diseases and pharmaceutical drugs is a critical issue in health research. Beliefs about disease severity influence the compliance with recommendations for convalescence and the motivation to perform proper health-behavior. The estimated …
30,YJ Liang,Reading to make a decision or to reduce cognitive dissonance? The effect of selecting and reading online reviews from a post-decision context,2016,Computers in Human Behavior,Elsevier,https://www.sciencedirect.com/science/article/pii/S0747563216305052,"https://scholar.google.com/scholar?cites=17468392883705606260&as_sdt=2005&sciodt=0,5&hl=en",43,3/10/20 11:56,,,,,,,,,30,7.5,30,1,4,"This research challenges the presumption that reading online reviews solely affect reader attitudes toward a prospective decision. Instead, readers may strategically select and read reviews after a decision. This research advances and tests hypotheses proposing that:(1) …"
28,"SY Kimel, I Grossmann, S Kitayama",When gift-giving produces dissonance: Effects of subliminal affiliation priming on choices for one's self versus close others,2012,Journal of Experimental Social …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022103112000935,"https://scholar.google.com/scholar?cites=596417349367081212&as_sdt=2005&sciodt=0,5&hl=en",44,3/10/20 11:56,,,,,,,,,28,3.5,9,3,8,Past research on cognitive dissonance indicated that people from independent (eg European-American) and interdependent (eg East-Asian) cultural backgrounds show different patterns of choice justification: whereas choice made for oneself affirms the …
26,"A Florack, J Kleber, R Busch, D Stöhr",Detaching the ties of ownership: The effects of hand washing on the exchange of endowed products,2014,Journal of Consumer Psychology,Elsevier,https://www.sciencedirect.com/science/article/pii/S1057740813000892,"https://scholar.google.com/scholar?cites=5677029556279341571&as_sdt=2005&sciodt=0,5&hl=en",45,3/10/20 11:56,,,,,,,,,26,4.33,7,4,6,"Recent studies have demonstrated that the ownership of a product leads to a biased perception of its aspects. Based on research on embodied cognition, we argue that the physical action of hand washing can reset the cognitive system to a more neutral state by …"
26,S Schnall,Are there basic metaphors?,2014,,psycnet.apa.org,https://psycnet.apa.org/record/2013-17496-010,"https://scholar.google.com/scholar?cites=313035272119289639&as_sdt=2005&sciodt=0,5&hl=en",46,3/10/20 11:56,,,,,,,,,26,4.33,26,1,6,"The goal of this chapter is to extract a number of basic metaphors to guide future empirical investigations. What is first needed, however, is a working definition of what might make certain embodied concepts especially central, or basic. Ultimately, cross-cultural …"
29,"ND Leitan, L Chaffey",Embodied cognition and its applications: A brief review,2014,"Sensoria: A Journal of Mind, Brain & Culture",academia.edu,http://www.academia.edu/download/50729296/Grounded_Congnition_Gaming.pdf,"https://scholar.google.com/scholar?cites=6154987032223987269&as_sdt=2005&sciodt=0,5&hl=en",47,3/10/20 11:56,PDF,,,,,,,,29,4.83,15,2,6,"Embodied cognition is a research program comprising an array of methods from diverse theoretical fields (eg, philosophy, neuroscience, psychology, etc.) held together by the key assumption that the body functions as a constituent of the mind rather than a passive …"
24,"SHM Lee, JD Rotman, AW Perkins",Embodied cognition and social consumption: Self-regulating temperature through social products and behaviors,2014,Journal of Consumer Psychology,Elsevier,https://www.sciencedirect.com/science/article/pii/S1057740813000855,"https://scholar.google.com/scholar?cites=6062184089433651743&as_sdt=2005&sciodt=0,5&hl=en",48,3/10/20 11:56,,,,,,,,,24,4,8,3,6,"Extant embodied cognition research suggests that individuals can reduce a perceived lack of interpersonal warmth by substituting physical warmth, and vice versa. We suggest that this behavior is self-regulatory in nature and that this self-regulation can be accomplished via …"
24,"M Schaefer, M Rotte, HJ Heinze, C Denke",Dirty deeds and dirty bodies: Embodiment of the Macbeth effect is mapped topographically onto the somatosensory cortex,2015,Scientific reports,nature.com,https://www.nature.com/articles/srep18051/,"https://scholar.google.com/scholar?cites=4445373499310445267&as_sdt=2005&sciodt=0,5&hl=en",49,3/10/20 11:56,HTML,,,,,,,,24,4.8,6,4,5,"The theory of embodied cognition claims that knowledge is represented in modal systems derived from perception. Recent behavioral studies found evidence for this hypothesis, for example, by linking moral purity with physical cleansing (the Macbeth effect) …"
23,"H IJzerman, I Blanken, MJ Brandt…",Sex differences in distress from infidelity in early adulthood and in later life: A replication and meta-analysis of Shackelford et al.(2004).,2014,Social …,psycnet.apa.org,https://psycnet.apa.org/record/2014-20922-010,"https://scholar.google.com/scholar?cites=7769463842768722894&as_sdt=2005&sciodt=0,5&hl=en",50,3/10/20 11:56,,,,,,,,,23,3.83,6,4,6,"Shackelford and colleagues (2004) found that men, compared to women, are more distressed by sexual than emotional infidelity, and this sex difference continued into older age. We conducted four high-powered replications (total N= 1,952) of this effect and found …"
21,"K Kaspar, V Krapp, P König",Hand washing induces a clean slate effect in moral judgments: A pupillometry and eye-tracking study,2015,Scientific Reports,nature.com,https://www.nature.com/articles/srep10471,"https://scholar.google.com/scholar?cites=13303089583315771389&as_sdt=2005&sciodt=0,5&hl=en",51,3/10/20 11:56,HTML,,,,,,,,21,4.2,7,3,5,"Physical cleansing is commonly understood to protect us against physical contamination. However, recent studies showed additional effects on moral judgments. Under the heading of the “Macbeth effect” direct links between bodily cleansing and one's own moral purity …"
