id,claim,year
B070,v3_weight_as_an_embodiment_of_importance,2018
B071,v3_toward_a_physiology_of_dual_process_reas,2024
B072,v3_when_does_between_sequence_phonological_,2015
B073,v3_moral_credentials_and_the_expression_of_,2023
B074,v3_happiness_and_time_preference_the_effect,2016
B075,v3_metaphoric_structuring_understanding_tim,2026
B076,v3_metaphoric_structuring_understanding_tim,2023
B077,v3_weight_as_an_embodiment_of_importance,2022
B078,v3_the_potential_of_social_identity_for_equ,2020
B079,v3_warmer_hearts_warmer_rooms,2015
B080,v3_happiness_and_time_preference_the_effect,2022
B081,v3_happiness_and_time_preference_the_effect,2019
B082,v3_moral_credentials_and_the_expression_of_,2019
B083,v3_mere_exposure_to_money_increases_endorse,2019
B084,v3_last_place_aversion_evidence_and_redistr,2020
B085,v3_effects_of_need_for_cognition_on_message,2015
B086,v3_effects_of_need_for_cognition_on_message,2022
B087,v3_happiness_and_time_preference_the_effect,2024
B088,v3_moral_credentials_and_the_expression_of_,2026
B089,v3_the_potential_of_social_identity_for_equ,2016
B090,v3_availability_a_heuristic_for_judging_fre,2026
B091,v3_cloningertextquotesingles_psychobiologic,2017
B092,v3_moral_credentials_and_the_expression_of_,2023
B093,v3_elaboration_enhances_the_imagined_contac,2019
B094,v3_cloningertextquotesingles_psychobiologic,2018
B095,v3_moral_credentials_and_the_expression_of_,2021
B096,v3_the_potential_of_social_identity_for_equ,2016
B097,v3_the_potential_of_social_identity_for_equ,2022
B098,v3_elaboration_enhances_the_imagined_contac,2020
B099,v3_elaboration_enhances_the_imagined_contac,2018
B100,v3_tracing_attention_and_the_activation_flo,2018
B101,v3_elaboration_enhances_the_imagined_contac,2015
B102,v3_perceptual_mechanisms_that_characterize_,2025
B103,v3_elaboration_enhances_the_imagined_contac,2023
B104,v3_happiness_and_time_preference_the_effect,2022
B105,v3_last_place_aversion_evidence_and_redistr,2018
B106,v3_happiness_and_time_preference_the_effect,2019
B107,v3_when_does_between_sequence_phonological_,2015
B108,v3_metaphoric_structuring_understanding_tim,2024
B109,v3_mere_exposure_to_money_increases_endorse,2017
B110,v3_cloningertextquotesingles_psychobiologic,2022
B111,v3_last_place_aversion_evidence_and_redistr,2020
B112,v3_moral_credentials_and_the_expression_of_,2023
B113,v3_prestige_suggestion_and_attitudes,2020
B114,v3_happiness_and_time_preference_the_effect,2016
B115,v3_tracing_attention_and_the_activation_flo,2020
B116,v3_tracing_attention_and_the_activation_flo,2017
B117,v3_effects_of_fluency_on_psychological_dist,2021
B118,v3_cloningertextquotesingles_psychobiologic,2015
B119,v3_mere_exposure_to_money_increases_endorse,2017
B120,v3_happiness_and_time_preference_the_effect,2017
B121,v3_elaboration_enhances_the_imagined_contac,2018
B122,v3_the_potential_of_social_identity_for_equ,2019
B123,v3_effects_of_need_for_cognition_on_message,2022
B124,v3_cloningertextquotesingles_psychobiologic,2020
B125,v3_elaboration_enhances_the_imagined_contac,2020
B126,v3_response_scales_effects_of_category_rang,2017
B127,v3_mere_exposure_to_money_increases_endorse,2015
B128,v3_perceptual_mechanisms_that_characterize_,2016
B129,v3_the_potential_of_social_identity_for_equ,2024
B130,v3_last_place_aversion_evidence_and_redistr,2019
B131,v3_mere_exposure_to_money_increases_endorse,2015
B132,v3_cloningertextquotesingles_psychobiologic,2015
B133,v3_metaphoric_structuring_understanding_tim,2021
B134,v3_toward_a_physiology_of_dual_process_reas,2022
B135,v3_availability_a_heuristic_for_judging_fre,2026
B136,v3_the_threat_of_appearing_prejudiced_and_r,2019
B137,v3_expectations_as_endowments_evidence_on_r,2020
B138,v3_tracing_attention_and_the_activation_flo,2019
B139,v3_a_single_exposure_to_the_american_flag_s,2022
B140,v3_perceptual_mechanisms_that_characterize_,2026
B141,v3_it_feels_like_yesterday_self_esteem_vale,2022
B142,v3_effects_of_need_for_cognition_on_message,2020
B143,v3_cloningertextquotesingles_psychobiologic,2025
B144,v3_elaboration_enhances_the_imagined_contac,2018
B145,v3_moral_credentials_and_the_expression_of_,2023
B146,v3_moral_credentials_and_the_expression_of_,2022
B147,v3_metaphoric_structuring_understanding_tim,2022
B148,v3_the_potential_of_social_identity_for_equ,2020
B149,v3_when_does_between_sequence_phonological_,2015
B150,v3_it_feels_like_yesterday_self_esteem_vale,2022
