id,claim,arm,year,model_assert,model_s
A060,v3_slow_to_anger_and_fast_to_forgive_cooper,robust,2016,1,0.8
A061,v3_the_potential_of_social_identity_for_equ,refuted,2017,1,0.8
A062,v3_thar_she_bursts_reducing_confusion_reduc,robust,2014,1,0.5
A063,v3_mere_exposure_to_money_increases_endorse,refuted,2014,1,0.8
A064,v3_slow_to_anger_and_fast_to_forgive_cooper,robust,2021,1,0.5
A065,v3_toward_a_physiology_of_dual_process_reas,refuted,2013,0,
A066,v3_attractor_dynamics_and_semantic_neighbor,robust,2011,0,
A067,v3_the_representation_of_simple_ensemble_vi,robust,2020,1,0.5
A068,v3_mere_exposure_to_money_increases_endorse,refuted,2017,1,0.5
A069,v3_temporal_selection_is_suppressed_delayed,robust,2011,1,0.5
A070,v3_the_representation_of_simple_ensemble_vi,robust,2010,1,0.5
A071,v3_weight_as_an_embodiment_of_importance,refuted,2017,1,0.5
A072,v3_when_does_between_sequence_phonological_,refuted,2023,1,0.8
A073,v3_the_framing_of_decisions_and_the_psychol,robust,2026,1,0.5
A074,v3_imperfect_public_monitoring_with_costly_,robust,2017,1,0.5
A075,v3_it_feels_like_yesterday_self_esteem_vale,refuted,2017,1,0.5
A076,v3_moral_credentials_and_the_expression_of_,refuted,2022,1,0.8
A077,v3_imperfect_public_monitoring_with_costly_,robust,2018,1,0.5
A078,v3_the_threat_of_appearing_prejudiced_and_r,refuted,2022,1,0.5
A079,v3_toward_a_physiology_of_dual_process_reas,refuted,2015,1,0.5
A080,v3_measuring_the_crowd_within_probabilistic,robust,2012,1,0.75
A081,v3_measures_of_anchoring_in_estimation_task,robust,2018,1,0.5
A082,v3_the_potential_of_social_identity_for_equ,refuted,2017,0,
A083,v3_the_economics_of_credence_goods_an_exper,robust,2016,1,0.5
A084,v3_elaboration_enhances_the_imagined_contac,refuted,2011,1,0.5
A085,v3_thar_she_bursts_reducing_confusion_reduc,robust,2019,0,
A086,v3_the_retrospective_gambler_s_fallacy_unli,robust,2020,0,
A087,v3_elaboration_enhances_the_imagined_contac,refuted,2013,1,0.8
A088,v3_tracing_attention_and_the_activation_flo,refuted,2018,1,0.8
A089,v3_when_does_between_sequence_phonological_,refuted,2024,1,0.5
A090,v3_the_lure_of_authority_motivation_and_inc,robust,2015,1,0.5
A091,v3_auditory_change_detection_simple_sounds_,robust,2018,1,0.5
A092,v3_the_threat_of_appearing_prejudiced_and_r,refuted,2019,1,0.5
A093,v3_measuring_the_crowd_within_probabilistic,robust,2021,1,0.5
A094,v3_math_male_me_female_therefore_math_ne_me,robust,2023,1,0.5
A095,v3_weight_as_an_embodiment_of_importance,refuted,2017,1,0.5
A096,v3_moral_credentials_and_the_expression_of_,refuted,2022,1,0.75
A097,v3_the_potential_of_social_identity_for_equ,refuted,2020,1,0.8
A098,v3_the_threat_of_appearing_prejudiced_and_r,refuted,2015,1,1.0
A099,v3_tracing_attention_and_the_activation_flo,refuted,2010,0,
A100,v3_last_place_aversion_evidence_and_redistr,refuted,2021,1,0.7
A101,v3_slow_to_anger_and_fast_to_forgive_cooper,robust,2014,1,0.5
A102,v3_perceptual_mechanisms_that_characterize_,refuted,2015,1,0.5
A103,v3_effects_of_need_for_cognition_on_message,refuted,2021,1,0.5
A104,v3_toward_a_physiology_of_dual_process_reas,refuted,2013,1,0.5
A105,v3_imperfect_public_monitoring_with_costly_,robust,2015,0,
A106,v3_toward_a_physiology_of_dual_process_reas,refuted,2014,1,0.5
A107,v3_mere_exposure_to_money_increases_endorse,refuted,2015,1,0.8
A108,v3_effects_of_need_for_cognition_on_message,refuted,2018,1,0.8
A109,v3_action_dynamics_reveal_parallel_competit,robust,2015,0,
A110,v3_imperfect_public_monitoring_with_costly_,robust,2019,1,0.5
A111,v3_measures_of_anchoring_in_estimation_task,robust,2025,1,0.3
A112,v3_metaphoric_structuring_understanding_tim,refuted,2020,0,
A113,v3_cloningertextquotesingles_psychobiologic,refuted,2015,1,0.3
A114,v3_age_related_changes_in_the_episodic_simu,robust,2024,0,
A115,v3_screening_competition_and_job_design_eco,robust,2015,1,0.5
A116,v3_the_economics_of_credence_goods_an_exper,robust,2019,1,0.5
A117,v3_the_lure_of_authority_motivation_and_inc,robust,2018,1,0.5
A118,v3_thar_she_bursts_reducing_confusion_reduc,robust,2015,0,
A119,v3_mere_exposure_to_money_increases_endorse,refuted,2019,1,0.0
A120,v3_expectations_as_endowments_evidence_on_r,refuted,2014,0,
A121,v3_cloningertextquotesingles_psychobiologic,refuted,2012,1,0.8
A122,v3_measuring_the_crowd_within_probabilistic,robust,2022,0,
A123,v3_the_framing_of_decisions_and_the_psychol,robust,2026,1,0.5
A124,v3_hedonic_and_instrumental_motives_in_ange,robust,2019,1,0.8
A125,v3_experiments_in_wording_questions_ii,refuted,2021,0,
A126,v3_where_do_we_look_during_potentially_offe,refuted,2018,1,0.8
A127,v3_the_representation_of_simple_ensemble_vi,robust,2020,1,0.75
A128,v3_cloningertextquotesingles_psychobiologic,refuted,2015,1,0.5
A129,v3_weight_as_an_embodiment_of_importance,refuted,2020,1,0.8
A130,v3_the_economics_of_credence_goods_an_exper,robust,2016,1,0.5
A131,v3_effects_of_need_for_cognition_on_message,refuted,2022,0,
A132,v3_response_scales_effects_of_category_rang,refuted,2005,0,
A133,v3_running_on_empty_neural_signals_for_self,robust,2009,1,0.5
A134,v3_moral_credentials_and_the_expression_of_,refuted,2025,1,0.3
A135,v3_slow_to_anger_and_fast_to_forgive_cooper,robust,2018,1,0.0
A136,v3_thar_she_bursts_reducing_confusion_reduc,robust,2014,1,0.5
A137,v3_measuring_the_crowd_within_probabilistic,robust,2022,1,0.5
A138,v3_temporal_selection_is_suppressed_delayed,robust,2026,1,0.7
A139,v3_expectations_as_endowments_evidence_on_r,refuted,2022,0,
A140,v3_experiments_in_wording_questions_ii,refuted,2015,0,
A141,v3_effects_of_fluency_on_psychological_dist,refuted,2013,1,0.5
A142,v3_age_related_changes_in_the_episodic_simu,robust,2021,1,0.8
A143,v3_the_representation_of_simple_ensemble_vi,robust,2017,1,0.8
A144,v3_mere_exposure_to_money_increases_endorse,refuted,2022,1,0.8
A145,v3_tracing_attention_and_the_activation_flo,refuted,2026,1,0.8
A146,v3_it_feels_like_yesterday_self_esteem_vale,refuted,2010,1,0.5
A147,v3_when_does_between_sequence_phonological_,refuted,2017,0,
A148,v3_the_retrospective_gambler_s_fallacy_unli,robust,2012,1,0.5
A149,v3_attractor_dynamics_and_semantic_neighbor,robust,2018,1,0.8
A150,v3_on_the_selection_of_arbitrators,robust,2024,0,
A151,v3_elaboration_enhances_the_imagined_contac,refuted,2012,0,
A152,v3_cloningertextquotesingles_psychobiologic,refuted,2020,1,0.75
A153,v3_imperfect_public_monitoring_with_costly_,robust,2018,1,0.3
A154,v3_when_does_between_sequence_phonological_,refuted,2012,1,0.5
A155,v3_across_notation_automatic_numerical_proc,robust,2017,1,0.5
A156,v3_metaphoric_structuring_understanding_tim,refuted,2020,1,0.5
A157,v3_age_related_changes_in_the_episodic_simu,robust,2022,1,0.0
A158,v3_age_related_changes_in_the_episodic_simu,robust,2021,1,0.5
A159,v3_availability_a_heuristic_for_judging_fre,refuted,2011,1,0.5
A160,v3_expectations_as_endowments_evidence_on_r,refuted,2019,1,0.7
A161,v3_metaphoric_structuring_understanding_tim,refuted,2023,1,0.5
A162,v3_age_related_changes_in_the_episodic_simu,robust,2022,1,0.5
A163,v3_a_single_exposure_to_the_american_flag_s,refuted,2014,1,0.5
A164,v3_metaphoric_structuring_understanding_tim,refuted,2020,1,0.5
A165,v3_last_place_aversion_evidence_and_redistr,refuted,2020,1,0.8
A166,v3_mere_exposure_to_money_increases_endorse,refuted,2024,1,0.5
A167,v3_the_representation_of_simple_ensemble_vi,robust,2014,1,0.5
A168,v3_the_lure_of_authority_motivation_and_inc,robust,2017,0,
A169,v3_availability_a_heuristic_for_judging_fre,refuted,2004,1,0.5
A170,v3_precision_of_the_anchor_influences_the_a,robust,2019,1,0.5
A171,v3_tracing_attention_and_the_activation_flo,refuted,2016,1,0.5
A172,v3_slow_to_anger_and_fast_to_forgive_cooper,robust,2024,0,
A173,v3_math_male_me_female_therefore_math_ne_me,robust,2021,1,0.5
A174,v3_availability_a_heuristic_for_judging_fre,refuted,2011,1,0.5
A175,v3_slow_to_anger_and_fast_to_forgive_cooper,robust,2021,1,0.75
A176,v3_it_feels_like_yesterday_self_esteem_vale,refuted,2018,1,0.7
A177,v3_the_lure_of_authority_motivation_and_inc,robust,2024,1,0.7
A178,v3_it_feels_like_yesterday_self_esteem_vale,refuted,2013,1,0.5
A179,v3_elaboration_enhances_the_imagined_contac,refuted,2020,1,0.8
A180,v3_the_representation_of_simple_ensemble_vi,robust,2016,1,0.5
A181,v3_is_happiness_having_what_you_want_wantin,robust,2016,1,0.5
A182,v3_when_does_between_sequence_phonological_,refuted,2016,1,0.5
A183,v3_it_feels_like_yesterday_self_esteem_vale,refuted,2021,1,0.3
A184,v3_the_threat_of_appearing_prejudiced_and_r,refuted,2012,1,0.5
A185,v3_elaboration_enhances_the_imagined_contac,refuted,2012,1,0.5
A186,v3_weight_as_an_embodiment_of_importance,refuted,2010,1,0.5
A187,v3_prescribed_optimism_is_it_right_to_be_wr,robust,2018,1,0.5
A188,v3_experiments_in_wording_questions_ii,refuted,2006,1,0.0
A189,v3_cloningertextquotesingles_psychobiologic,refuted,2020,1,0.8
A190,v3_measures_of_anchoring_in_estimation_task,robust,2017,1,0.5
A191,v3_precision_of_the_anchor_influences_the_a,robust,2011,1,0.9
A192,v3_weight_as_an_embodiment_of_importance,refuted,2015,1,0.5
A193,v3_availability_a_heuristic_for_judging_fre,refuted,2011,1,0.8
A194,v3_the_economics_of_credence_goods_an_exper,robust,2013,1,0.5
A195,v3_response_scales_effects_of_category_rang,refuted,2021,0,
A196,v3_age_related_changes_in_the_episodic_simu,robust,2021,1,0.8
A197,v3_the_lure_of_authority_motivation_and_inc,robust,2020,1,0.5
A198,v3_where_do_we_look_during_potentially_offe,refuted,2013,1,0.3
A199,v3_perceptual_mechanisms_that_characterize_,refuted,2025,1,0.8
A200,v3_measures_of_anchoring_in_estimation_task,robust,2016,1,0.0
A201,v3_measuring_the_crowd_within_probabilistic,robust,2024,1,0.5
A202,v3_it_feels_like_yesterday_self_esteem_vale,refuted,2008,1,0.7
A203,v3_happiness_and_time_preference_the_effect,refuted,2015,1,1.0
A204,v3_mere_exposure_to_money_increases_endorse,refuted,2017,1,0.5
A205,v3_response_scales_effects_of_category_rang,refuted,2009,1,0.5
A206,v3_it_feels_like_yesterday_self_esteem_vale,refuted,2022,0,
A207,v3_availability_a_heuristic_for_judging_fre,refuted,2011,1,0.5
A208,v3_is_happiness_having_what_you_want_wantin,robust,2010,1,0.5
A209,v3_math_male_me_female_therefore_math_ne_me,robust,2023,1,0.5
A210,v3_auditory_change_detection_simple_sounds_,robust,2012,1,1.0
A211,v3_response_scales_effects_of_category_rang,refuted,2014,1,0.5
A212,v3_effects_of_fluency_on_psychological_dist,refuted,2013,1,0.5
A213,v3_experiments_in_wording_questions_ii,refuted,2017,1,0.5
A214,v3_elaboration_enhances_the_imagined_contac,refuted,2012,1,0.8
A215,v3_measures_of_anchoring_in_estimation_task,robust,2017,1,0.8
A216,v3_a_single_exposure_to_the_american_flag_s,refuted,2020,1,0.3
A217,v3_screening_competition_and_job_design_eco,robust,2011,1,0.8
A218,v3_hedonic_and_instrumental_motives_in_ange,robust,2011,1,0.5
A219,v3_elaboration_enhances_the_imagined_contac,refuted,2012,0,
A220,v3_screening_competition_and_job_design_eco,robust,2015,1,0.5
A221,v3_when_does_between_sequence_phonological_,refuted,2017,0,
A222,v3_last_place_aversion_evidence_and_redistr,refuted,2014,1,1.0
A223,v3_toward_a_physiology_of_dual_process_reas,refuted,2016,1,0.75
A224,v3_effects_of_need_for_cognition_on_message,refuted,2020,1,0.8
A225,v3_a_single_exposure_to_the_american_flag_s,refuted,2013,0,
A226,v3_age_related_changes_in_the_episodic_simu,robust,2018,1,0.5
A227,v3_slow_to_anger_and_fast_to_forgive_cooper,robust,2014,1,0.5
A228,v3_the_lure_of_authority_motivation_and_inc,robust,2017,1,0.0
A229,v3_action_dynamics_reveal_parallel_competit,robust,2009,1,0.5
A230,v3_expectations_as_endowments_evidence_on_r,refuted,2020,1,0.5
A231,v3_math_male_me_female_therefore_math_ne_me,robust,2024,1,0.5
A232,v3_where_do_we_look_during_potentially_offe,refuted,2025,1,0.75
A233,v3_last_place_aversion_evidence_and_redistr,refuted,2019,1,0.75
A234,v3_a_single_exposure_to_the_american_flag_s,refuted,2017,1,0.3
A235,v3_it_feels_like_yesterday_self_esteem_vale,refuted,2011,1,0.8
A236,v3_the_potential_of_social_identity_for_equ,refuted,2016,1,0.4
A237,v3_math_male_me_female_therefore_math_ne_me,robust,2024,1,0.5
A238,v3_the_lure_of_authority_motivation_and_inc,robust,2014,0,
A239,v3_measuring_the_crowd_within_probabilistic,robust,2021,1,0.5
A240,v3_age_related_changes_in_the_episodic_simu,robust,2021,1,0.5
A241,v3_the_representation_of_simple_ensemble_vi,robust,2024,1,0.5
A242,v3_last_place_aversion_evidence_and_redistr,refuted,2021,0,
A243,v3_elaboration_enhances_the_imagined_contac,refuted,2020,1,0.5
A244,v3_the_representation_of_simple_ensemble_vi,robust,2021,0,
A245,v3_response_scales_effects_of_category_rang,refuted,2008,1,0.5
A246,v3_precision_of_the_anchor_influences_the_a,robust,2017,1,0.8
A247,v3_the_potential_of_social_identity_for_equ,refuted,2016,1,0.5
A248,v3_the_framing_of_decisions_and_the_psychol,robust,2026,1,0.5
A249,v3_a_motion_aftereffect_from_still_photogra,robust,2011,1,0.8
A250,v3_cloningertextquotesingles_psychobiologic,refuted,2014,1,0.8
A251,v3_effects_of_need_for_cognition_on_message,refuted,2019,0,
A252,v3_warmer_hearts_warmer_rooms,refuted,2014,1,0.5
A253,v3_tracing_attention_and_the_activation_flo,refuted,2011,1,0.5
A254,v3_when_does_between_sequence_phonological_,refuted,2024,1,0.75
A255,v3_attractor_dynamics_and_semantic_neighbor,robust,2024,1,0.8
A256,v3_the_representation_of_simple_ensemble_vi,robust,2021,1,0.8
A257,v3_it_feels_like_yesterday_self_esteem_vale,refuted,2020,1,0.5
A258,v3_action_dynamics_reveal_parallel_competit,robust,2020,1,0.75
A259,v3_metaphoric_structuring_understanding_tim,refuted,2025,1,0.8
A260,v3_cloningertextquotesingles_psychobiologic,refuted,2018,1,0.5
A261,v3_effects_of_need_for_cognition_on_message,refuted,2017,0,
A262,v3_when_does_between_sequence_phonological_,refuted,2015,1,0.5
A263,v3_weight_as_an_embodiment_of_importance,refuted,2014,1,0.5
A264,v3_moral_credentials_and_the_expression_of_,refuted,2020,1,0.5
A265,v3_the_representation_of_simple_ensemble_vi,robust,2018,1,0.5
A266,v3_imperfect_public_monitoring_with_costly_,robust,2015,1,0.5
A267,v3_age_related_changes_in_the_episodic_simu,robust,2023,1,0.5
A268,v3_slow_to_anger_and_fast_to_forgive_cooper,robust,2015,1,0.8
A269,v3_measuring_the_crowd_within_probabilistic,robust,2009,1,0.5
A270,v3_action_dynamics_reveal_parallel_competit,robust,2013,1,0.75
A271,v3_tracing_attention_and_the_activation_flo,refuted,2015,0,
A272,v3_math_male_me_female_therefore_math_ne_me,robust,2024,1,0.8
A273,v3_the_economics_of_credence_goods_an_exper,robust,2013,1,0.8
A274,v3_happiness_and_time_preference_the_effect,refuted,2018,0,
A275,v3_the_lure_of_authority_motivation_and_inc,robust,2015,1,0.8
A276,v3_the_framing_of_decisions_and_the_psychol,robust,2010,1,0.8
A277,v3_the_potential_of_social_identity_for_equ,refuted,2023,1,0.5
A278,v3_availability_a_heuristic_for_judging_fre,refuted,2011,1,0.0
A279,v3_happiness_and_time_preference_the_effect,refuted,2018,1,0.5
A280,v3_elaboration_enhances_the_imagined_contac,refuted,2024,1,0.5
A281,v3_the_representation_of_simple_ensemble_vi,robust,2015,1,0.5
A282,v3_cloningertextquotesingles_psychobiologic,refuted,2014,1,0.5
A283,v3_age_related_changes_in_the_episodic_simu,robust,2018,1,0.5
A284,v3_the_economics_of_credence_goods_an_exper,robust,2017,1,0.3
A285,v3_precision_of_the_anchor_influences_the_a,robust,2015,1,0.5
A286,v3_weight_as_an_embodiment_of_importance,refuted,2022,1,0.5
A287,v3_the_framing_of_decisions_and_the_psychol,robust,2026,1,0.5
A288,v3_weight_as_an_embodiment_of_importance,refuted,2015,1,0.5
A289,v3_action_dynamics_reveal_parallel_competit,robust,2009,1,0.8
A290,v3_mere_exposure_to_money_increases_endorse,refuted,2017,1,0.8
A291,v3_screening_competition_and_job_design_eco,robust,2010,1,0.5
A292,v3_math_male_me_female_therefore_math_ne_me,robust,2023,1,0.75
A293,v3_the_representation_of_simple_ensemble_vi,robust,2016,1,0.5
A294,v3_math_male_me_female_therefore_math_ne_me,robust,2025,1,0.75
A295,v3_the_potential_of_social_identity_for_equ,refuted,2022,0,
A296,v3_the_representation_of_simple_ensemble_vi,robust,2010,1,0.8
A297,v3_metaphoric_structuring_understanding_tim,refuted,2021,0,
A298,v3_the_economics_of_credence_goods_an_exper,robust,2016,1,0.8
A299,v3_elaboration_enhances_the_imagined_contac,refuted,2013,1,0.8
A300,v3_age_related_changes_in_the_episodic_simu,robust,2024,1,0.5
A301,v3_the_framing_of_decisions_and_the_psychol,robust,2010,1,0.8
A302,v3_slow_to_anger_and_fast_to_forgive_cooper,robust,2022,1,0.8
A303,v3_hedonic_and_instrumental_motives_in_ange,robust,2023,0,
A304,v3_measures_of_anchoring_in_estimation_task,robust,2025,0,
A305,v3_age_related_changes_in_the_episodic_simu,robust,2021,0,
A306,v3_effects_of_fluency_on_psychological_dist,refuted,2013,1,0.5
A307,v3_cloningertextquotesingles_psychobiologic,refuted,2019,0,
A308,v3_precision_of_the_anchor_influences_the_a,robust,2015,1,0.5
A309,v3_weight_as_an_embodiment_of_importance,refuted,2016,1,0.8
A310,v3_the_economics_of_credence_goods_an_exper,robust,2016,0,
A311,v3_effects_of_fluency_on_psychological_dist,refuted,2026,1,0.8
A312,v3_running_on_empty_neural_signals_for_self,robust,2025,1,0.8
A313,v3_the_framing_of_decisions_and_the_psychol,robust,2018,1,0.5
A314,v3_age_related_changes_in_the_episodic_simu,robust,2021,1,0.7
A315,v3_is_happiness_having_what_you_want_wantin,robust,2017,1,0.5
A316,v3_hedonic_and_instrumental_motives_in_ange,robust,2017,1,0.5
A317,v3_organ_allocation_policy_and_the_decision,robust,2016,1,0.5
A318,v3_it_feels_like_yesterday_self_esteem_vale,refuted,2011,1,0.75
A319,v3_the_framing_of_decisions_and_the_psychol,robust,2010,1,0.5
A320,v3_weight_as_an_embodiment_of_importance,refuted,2025,1,0.5
A321,v3_toward_a_physiology_of_dual_process_reas,refuted,2010,1,0.8
A322,v3_thar_she_bursts_reducing_confusion_reduc,robust,2015,1,0.5
A323,v3_action_dynamics_reveal_parallel_competit,robust,2010,1,0.8
A324,v3_imperfect_public_monitoring_with_costly_,robust,2015,1,0.5
A325,v3_age_related_changes_in_the_episodic_simu,robust,2024,1,0.5
A326,v3_happiness_and_time_preference_the_effect,refuted,2017,1,0.8
A327,v3_prescribed_optimism_is_it_right_to_be_wr,robust,2019,1,0.5
A328,v3_across_notation_automatic_numerical_proc,robust,2015,1,0.5
A329,v3_expectations_as_endowments_evidence_on_r,refuted,2019,0,
A330,v3_slow_to_anger_and_fast_to_forgive_cooper,robust,2015,1,0.5
A331,v3_warmer_hearts_warmer_rooms,refuted,2015,1,0.5
A332,v3_the_economics_of_credence_goods_an_exper,robust,2017,1,0.5
A333,v3_age_related_changes_in_the_episodic_simu,robust,2017,1,0.8
A334,v3_measures_of_anchoring_in_estimation_task,robust,2023,1,0.5
A335,v3_metaphoric_structuring_understanding_tim,refuted,2025,1,0.5
A336,v3_a_single_exposure_to_the_american_flag_s,refuted,2012,1,0.5
A337,v3_screening_competition_and_job_design_eco,robust,2011,0,
A338,v3_expectations_as_endowments_evidence_on_r,refuted,2016,0,
A339,v3_the_lure_of_authority_motivation_and_inc,robust,2019,1,0.5
A340,v3_it_feels_like_yesterday_self_esteem_vale,refuted,2009,1,0.5
A341,v3_math_male_me_female_therefore_math_ne_me,robust,2018,1,0.5
A342,v3_attractor_dynamics_and_semantic_neighbor,robust,2015,0,
A343,v3_the_economics_of_credence_goods_an_exper,robust,2021,1,0.5
A344,v3_cloningertextquotesingles_psychobiologic,refuted,2021,1,0.8
A345,v3_tracing_attention_and_the_activation_flo,refuted,2010,1,0.8
A346,v3_age_related_changes_in_the_episodic_simu,robust,2022,1,0.5
A347,v3_effects_of_need_for_cognition_on_message,refuted,2019,1,0.5
A348,v3_availability_a_heuristic_for_judging_fre,refuted,2011,1,0.5
A349,v3_happiness_and_time_preference_the_effect,refuted,2017,1,0.8
A350,v3_effects_of_fluency_on_psychological_dist,refuted,2016,1,0.5
A351,v3_it_feels_like_yesterday_self_esteem_vale,refuted,2014,1,0.5
A352,v3_happiness_and_time_preference_the_effect,refuted,2025,0,
A353,v3_it_feels_like_yesterday_self_esteem_vale,refuted,2021,1,0.75
A354,v3_the_framing_of_decisions_and_the_psychol,robust,2010,1,0.5
A355,v3_age_related_changes_in_the_episodic_simu,robust,2019,1,0.7
A356,v3_it_feels_like_yesterday_self_esteem_vale,refuted,2007,1,0.5
A357,v3_gift_exchange_versus_monetary_exchange_t,refuted,2014,1,0.5
A358,v3_the_threat_of_appearing_prejudiced_and_r,refuted,2019,1,0.5
A359,v3_attractor_dynamics_and_semantic_neighbor,robust,2016,1,0.8
A360,v3_cloningertextquotesingles_psychobiologic,refuted,2020,1,0.0
A361,DUP_OF_A020,,,,
A362,DUP_OF_A147,,,,
A363,DUP_OF_A357,,,,
A364,DUP_OF_A074,,,,
A365,DUP_OF_A237,,,,
A366,DUP_OF_A190,,,,
A367,DUP_OF_A344,,,,
A368,DUP_OF_A358,,,,
A369,DUP_OF_A050,,,,
A370,DUP_OF_A233,,,,
A371,DUP_OF_A307,,,,
A372,DUP_OF_A256,,,,
