id,sentence,是否在转述结论(1/0),确定性打分(0/0.25/0.5/0.75/1),"备注(可空,拿不准时写?并简述)"
A163,"Although the flag-primed group voted for McCain over Obama about 9 % more than the control group—and granting that it is shocking that such a serious decision could be so easily manipulated—it still means that over 90 % did not change their voting behavior, even if their attitudes may have shifted slightly.",,,
A215,"Anchoring is a behavioral bias that biases decisions toward initial values, i.e., a limitation in the decision-making process, leaving the investor tied to a past target return, the result of a payoff from a past time (Jacowitz and Kahneman, 1995).",,,
A279,"…has been shown to increase discounting (Lerner et al., 2013; McLeish and Oxoby, 2007), while positive a ﬀ ect decreases discounting (Pyone and Isen, 2011; Ifcher and Zarghamee, 2011); to the extent that negative a ﬀ ect correlates with stress and cortisol levels, these ﬁ ndings mirror our results.",,,
A354,"However, previous research in non-market valuation has shown that context and the framing of valuation questions play an important role in respondents’ decisions (Tversky and Kahneman, 1981; DeShazo, 2002; Vatn, 2004; Spash, 2006).",,,
A121,"A higher level of novelty seeking since this dimension is positively related to the construct openness to new experiences and extraversion, and negatively to conscientiousness (DeFruyt et al., 2000).",,,
A041,"Conflict [23], cognitive load, or motor task difficulty [52] Area Under the Curve (AUC) Conflict [19], uncertainty [60], overall difficulty [24] The length of a trial trajectory traveled [16, 53].",,,
A075,"…the self-image is rather consistent and stable across time, people still tend to view their self-images as comprising different temporal aspects of the self, including actual states as well as representations of the past and future (Markus & Nurius, 1986; Ross & Wilson, 2002).",,,
A240,"These studies (Addis et al., 2008; Levine et al., 2002) revealed fewer reported event-related internal details (similar to our event-related details), accompanied by an increase of more non-episodic (Piolino et al.",,,
A269,"There is evidence that multiple actors are more likely to converge on the “correct” solution than any individual (eg,  Black, 1958 ;  Surowiecki, 2004 ), even when the individuals are queried multiple times ( Vul & Pashler, 2008 ), thus, we might expect probability matching to be most apparent at the level of the community.",,,
A008,"10 devoted to studying bias due to wording (Goetz, 2008; Holleman, 2006; Loftus and Palmer, 1974; Rugg, 1941; Schuman and Presser, 1977).",,,
A167,"More recent work on perceptual averaging suggests such averages are preserved in conditions of divided or diffuse attention (Albrecht, Scholl, & Chun, 2012; Alvarez & Oliva, 2008, 2009; Chong & Treisman, 2005; but see Emmanouil & Treisman, 2008).",,,
A362,"…tool to explore key phenomena in selection of the correct item from a range which might provide a reasonable semantic “fit” such as source-monitoring (Marsh et al., 2008), and fluency in verbal retrieval (Jones, Marsh, & Hughes, 2012; Marsh & Jones, 2010), and also how hemispheric specializations…",,,
A216,"In a similar study, Carter et al. (2011) found limited evidence that exposure to national flag can shift support toward Republicans for months and in general alter people’s behavior and political judgment.",,,
A072,"Instead, the results reported here support a unitary view according to which interference occurs within an amodal workspace within which functionally similar processes come into con ﬂ ict (Hughes, 2014; Jones & Macken, 1993; Marsh et al., 2008, 2009).",,,
A098,"…there is a general relationship between EMCP and arousal in the intergroup domain, and it is further known that the mere presentation of faces of Black men causes an arousal response in individuals who are high in EMCP (e.g., Amodio et al., 2003; Bean et al., 2012; Richeson & Trawalter, 2008).",,,
A015,"Kirchler et al. (2012) 1 As one of those exponents, Bernanke (2002) stated: “Even if it [the Federal Reserve] could identify bubbles, monetary policy is far too blunt a tool for effective use against them.”",,,
A142,"Consistently, event descriptions of autobiographical memories and future events decline in specificity, resulting in fewer episodic and more semantic detail in content (Addis et al., 2008).",,,
A272,"Empirical research has confirmed that math gender stereotypes increase the moti - vation for male students to learn (Nosek et al., 2002) and improve their performance in math (Smetackova, 2015; Steffens & Jelenec, 2011).",,,
A187,"Armor et al. (2008) argued that “if people believe, rightly or wrongly, that unrealistic optimism has some value, then optimistic bias may be usefully understood as being consistent with people’s values and beliefs.”",,,
A183,"…Events While anticipating the start of positive events, consumers might be motivated to perceive these events as closer, just as they tend to see positive physical objects, locations, and memories as psychologically closer (Alter & Balcetis, 2011; Balcetis & Dunning, 2010; Ross & Wilson, 2002).",,,
A080,"This has allowed researchers to demonstrate that even having the same individual make an estimate twice and averaging those values can produce better estimates – so long as some degree of independence can be established between the two estimates (Herzog & Hertwig, 2009; Vul & Pashler, 2008).",,,
A365,"This find - ing aligns with prior research that has found other forms of gender identity to be a moderator between stereotypes and math or science outcomes (e.g., Endendijk, 2023; Nosek et al., 2002; Schmader, 2002).",,,
A078,"Generally, White and Black Americans enter these interactions with concerns, respectively, about appearing prejudiced or experiencing prejudice (Plant, 2004; Richeson & Trawalter, 2008; Shelton & Richeson, 2006).",,,
A046,"The problem with then relying on this covariance is that when rogue factors increase how fluent targets feel, we mistakenly judge those targets “true,” “close,” or “frequent” (Alter & Oppenheimer, 2008; Tversky & Kahneman, 1973; Unkelbach, 2006).",,,
A021,"…findings suggest greater benefits of averaging as estimates become more independent (Corbett et al., 2011; Herzog & Hertwig, 2009; Hogarth, 1978; Vul & Pashler, 2008), we further extended our investigation to examine whether pairing estimates from participants with the most independent,…",,,
A135,"…others’ actions may lead to less cooperation even in the absence of the opportunity to punish, as demonstrated by e.g. Bereby-Meyer and Roth (2006), Fudenberg, Rand, and Dreber (2012), and Abbink and Sadrieh (2009). where subjects receive a relatively high wage if the group effort reaches a…",,,
A126,"Crosby, Monin, and Richardson (2008) showed that participants were more likely to look at an individual on a monitor if they thought the individual could hear comments that were potentially offensive to that individual.",,,
A224,"Additionally, a series of studies found high NFC individuals expended more cognitive effort in evaluating messages, and that verbal intelligence and NFC accounted for independent sources of variance in message recall and persuasion (Cacioppo et al. 1986; Cacioppo, Petty, and Morris 1983).",,,
A305,"This method was adapted from the experimentalrecombination procedure (Addis et al., 2008) and was previously used in this fashion by Szpunar et al.",,,
A104,"However, unlike ADHD, attention fatigue is a temporary condition, and as mentioned earlier, can be improved (Kaplan, 1995; Kaplan & Berman, 2010; Masicampo & Baumeister, 2008).",,,
A062,"The literature suggests that, in the beginning, prices deviate from the fundamental values not only because of inexperienced subjects’ confusion regarding the declining fundamental values (Huber and Kirchler, 2012; Kirchler et al., 2012) or some non-profit related motivation (Lei et al.",,,
A001,16 Note that this is different from Chen and Chen (2011) who found that subjects asking more questions to their in-groups during the problem-solving task were more (less) cooperative with their in-(out-)groups in the main game.,,,
A252,"Szymkow et al. (2013) found focusing on traits unrelated to trustworthiness did not effect perceptions of ambient temperature, whereas focusing on traits relevant to trustworthiness (i.e., communion, warmth) did.",,,
A192,"…of the repeated coactivation of weight sensations and abstract cognitions about importance (and related concepts) during early life of boys and girls, because dealing with heavy objects requires not only more physical effort, but also more cognitive planning as outlined by Jostmann et al. (2009).",,,
A371,"detailed description of the temperament dimensions and their subscales can be found in the TCI guidebook.(31) In the 46-year-olds’ survey, the Cronbach alphas of the scales were 0.",,,
A127,"Similarly, participants in Alvarez and Oliva (2009) were able to detect changes in an unattended background pattern more effectively when the change produced a different ensemble structure (compared to equivalent local changes that did not alter the summary statistics), suggesting reduced attentional demands for ensemble perception.",,,
A103,"For example, traits like the ‘need for cognition’ were shown to influence elaboration styles, which may then affect the attitudinal outcome of exposure (Cacioppo, Petty, and Morris 1983).",,,
A200,"In particular, participants may assume that the presented anchor provides implicit information regarding the judgment (Grice, 1975; Jacowitz & Kahneman, 1995; Schwarz, 1994); a feature not available in prior accounts.",,,
A194,"…role of verifiability based on the mentioned standard assumption on preferences, and Subsection 2.4 uses data from two experimental treatments in Dulleck et al. (2011) to show that verifiability does not have the predicted effects and that non-trivial distributional concerns seem to influence…",,,
A172,"…the eight most popular strategies.25 These eight strategies include the five ‘key’ strategies identified by Dal Bó and Fréchette (2018, Table 10).26 We added DG and RAND to the eight strategies from Fudenberg et al. (2012) selected by our SFEM exercise, giving the ten strategies in Table 1.",,,
A006,But the evidence supporting expectations-based reference-dependence in Ericson and Fuster (2011) suggests that environments with risk provide a natural environment for studying expectations-based reference-dependence.,,,
A276,"Psychologists have demonstrated repeatedly that structural variables can have vast and powerful effects (e.g., Bargh & Chartrand, 1999; Cialdini, Reno, & Kallgren, 1990; Tversky & Kahneman, 1981).",,,
A231,"Balanced iden - tity theory, which was created using gender as an exemplar, would suggest that seeing oneself as typical of a group that is negatively stereotyped would negatively relate to motiva - tion in that domain (e.g., Nosek et al., 2002).",,,
A084,"…the successful behavior of another person, reducing fears and inhibitions about future contact (e.g., Turner, Crisp, et al., 2007, Turner, Hewstone, et al., 2007) and imagined contact similarly reduces intergroup anxiety (Abrams et al., 2008; Husnu & Crisp, 2010a; Turner, Crisp et al., 2007).",,,
A206,"The focus on political contexts in particular also limits the scope of our findings, though studies were intentionally designed to test this domain and extend past reseat examining motivated shifts in time in the service of self- or ingroup-protection [4, 7, 43, 44].",,,
A302,"Firstly, there is well-established precedent that human networks playing the game do not defect in the same manner as many game-playing strategies (Barreda-Tarrazona et al., 2017), and are more heterogeneous in their behaviours (Fudenberg et al., 2012).",,,
A071,"It is important to note that these bodily induced association activations are thought to take place unobtrusively, and even without awareness of their semantic meaning (see Chandler and Schwarz, 2009; Jostmann et al., 2009).",,,
A368,"In adult samples, extensive work has demonstrated that White people harbor concerns about appearing to others as prejudiced (Plant & Devine, 1998; Richeson & Trawalter, 2008), and this may affect the extent to which they respond honestly on self-reported surveys about race (i.e., social…",,,
A005,"However, anger as a common mood experience among IGD adolescents [3, 4, 21], it’s putative function to promote confrontation in adaptive contexts [22].",,,
A332,"…that physicians are heterogeneous in their response to overtreatment incentives has also been made in Beck, Kerschbamer, Qiu, and Sutter (2013); Dulleck et al. (2011); Gottschalk et al. (2017); and Kerschbamer et al. (2016), with a particular discussion and estimation of heterogeneity in…",,,
A113,"NS is associated with impulsivity, exploratory behavior, and excitability (Battaglia et al. 1996; Svrakic et al. 2002) and HA reflects introversion and inhibition and contains elements of anxiety and negative affect that are related to neuroticism (De Fruyt et al. 2000).",,,
A195,"The first task was a scale manipulation (Schwarz et al., 1985) designed to influence the level of participants’ perceived own trustworthiness.",,,
A220,"(2010) find that heterogeneous social preferences are a significant predictor of choices for firms and workers in a multi-stage labor market experiment, and Bartling et al. (2012) show that screening for both work attitude and labor market competition are causal determinants of the viability of high-performance work systems in an experimental labor market.",,,
A203,"Ifcher and Zarghamee (2011) find that a mild positive affect significantly decreases discount rates,",,,
A345,"Morsella and Miozzo (2002), Navarrete and Costa (2005), Meyer and Damian (2007), Roelofs (2008), and Oppermann, Jescheniak, Schriefers, and Görges (2010) have all demonstrated facilitation in picture naming from phonologically related distractor pictures (although in Oppermann et al., 2010, only…",,,
A313,"Effective managerial decision making depends largely on the manager’s perception of the duality, which can be understood in terms of their cognitive framing process in the first phase of the decision making (Kaplan 2008; Tversky and Kahneman 1981).",,,
A237,"This find - ing aligns with prior research that has found other forms of gender identity to be a moderator between stereotypes and math or science outcomes (e.g., Endendijk, 2023; Nosek et al., 2002; Schmader, 2002).",,,
A151,"…on imagined contact have employed several control conditions, including nonrelevant positive interaction (Stathi & Crisp, 2008), outgroup priming (Turner et al., 2007, Experiment 2), and no-contact control scenes (Husnu & Crisp, 2010b; Turner & Crisp, 2010; Turner et al., 2007, Experiment 1).",,,
A161,"In this regard, metaphors are said to have the potential to self-fulfi l what the speaker intends to use them for where the speaker and the listener try to reach a common ground through their shared knowledge of the source domain and its link to the target domain (Thibodeau and Boroditsky, 2011/2013). Thus, the use of metaphors may infl uence attitudes towards a particular subject either positively or negatively because it brings concreteness to abstract subjects as observed in Landau et al. (2018); Prashast et al. (2020). The potential ability of metaphors to evoke emotions has been studied by many scholars including Citron and Goldberg (2014); Horton (2007); and Thibodeau et al.",,,
A150,"In a two-person collective choice framework, de Clippel et al. (2014) call this condition the minimal satisfaction test .",,,
A363,"Theoretical explanations for an incomplete ERPT can be found in a seminal paper by Dornbusch (1987). In this paper, he presents a model which explains the extent of ERPT by, for example, product substitutability or the degree of competition prevailing in the market. While Dornbusch (1987) attributes an incomplete ERPT to micro-economic determinants, Taylor (2000) argues that the recent decline in pass-through is due to the decline in overall inflation.",,,
A284,This might explain why in the experiments by Dulleck et al. (2011) the condition with liability yielded results roughly in line with the theoretical prediction.,,,
A144,"…directly aimed at testing Fiske’s Relational models’ theory has shown that the market mindset signifies not only a preference for efficiency and structure but also the individualistic orientation towards effective but self-interested exchange (Caruso et al., 2013; Zaleskiewicz & Gasiorowska, 2017).",,,
A013,"For example, Ganor-Stern and Tzelgov (2008) found that when subjects were asked to compare pairs of numbers for their numerical value, the DE was modulated as a function of notation.",,,
A236,"Furthermore, the influence of a sense of attachment to different groups is backed by several experimental results that suggest that even induced social identities may influence behavior (e.g. Chen and Chen 2011).",,,
A095,"…sensing physical heaviness was found to increase judgements of importance, seriousness and potency in some contexts (e.g., Ackerman et al., 2010; Jostmann et al., 2009; Kaspar, 2013a), we expected a comparable effect on judgements about politicians that are conceptually related to physical…",,,
A169,"Psychological investigations, however, suggests that one’s feelings state can influence what comes to one’s mind first or most easily (for a detailed review see Isen, 1984) and what comes to one’s mind first or most easily can in turn influence one’s decisions and judgments (Tversky and Kahneman, 1973).",,,
A201,"Similarly, the “crowd within” phenomenon (Vul & Pashler, 2008), in which experimenters ask participants to produce more than one estimate, relies on the idea of increasing diversity within individuals.",,,
A266,"However, Grechenig, Nicklisch and Thöni (2010) and Ambrus and Greiner (2012) found that the above results hinge on the assumption that individuals can perfectly monitor each others’ actions. If there is a small amount of noise in monitoring, then the availability of costly individual punishment does not help the participants’ welfare, and it can even decrease it. The reason is that with imperfect monitoring from time to time a contributor gets punished by fellow team members who received an incorrect negative signal regarding the contribution. This discourages future contributions and can trigger antisocial punishment by the contributor who was “unfairly” punished.1 Hence even in the long run, contribution levels stay away from the socially efficient levels, and individuals keep on punishing each other, further decreasing each others’ payoffs. Moreover, in a recent paper Fischer, Grechenig and Meier (2013) find that if monitoring is imperfect, centralizing punishment, in the form of delegating punishment rights to a particular individual, does not remedy the issues above, and cooperation levels remain low.",,,
A136,"Finally, Kirchler et al. (2012) investigate a setting with a constant growth to report pricing at the risk-neutral value. setting with three or four assets to find that subjects exploit arbitrage possibilities and that complexity decreases information aggregation.",,,
A047,"The volume of this subspace for increasing dimensions of the correlation matrix was explored by Joe (2006). As measures of association are bounded, fractional Bayes methodology is not needed as the noninformative joint uniform prior for the correlations in the correlation matrix is already proper, and thus a regular default Bayes factor can be computed.",,,
A147,"…tool to explore key phenomena in selection of the correct item from a range which might provide a reasonable semantic “fit” such as source-monitoring (Marsh et al., 2008), and fluency in verbal retrieval (Jones, Marsh, & Hughes, 2012; Marsh & Jones, 2010), and also how hemispheric specializations…",,,
A014,"However, several authors (including Oechssler 2010; Smith 2010; Kirchler et al. 2012) argue that decreasing fundamental values do not match characteristics of assets usually traded in developed markets, and might thus interfere with expectations that subjects bring to the lab.",,,
A344,"Persons who were successful at achieving weight loss in a weight-loss program had a lower novelty-seeking trait, which correlates positively with conscientiousness [23], than those who did not reach their goals [28].",,,
A282,"This result implies that there is an interaction between the neural systems related to each temperamental construct, and the BAS and BIS can be described as antagonistic to each other (De Fruyt and Van De Wiele, 2000; Zuckerman and Cloninger, 1996).",,,
A334,"Our empirical results supported the effects of a high and low anchor (Jacowitz & Kahneman, 1995).",,,
A356,"Memories that have been either measured or manipulated to feel subjectively far away have less impact on self-perceptions and are more likely to be denigrated if inconsistent with the current self (Ross & Wilson, 2002).",,,
A233,"In theoretical terms, it captures better the relational qualities of subjective social status that are central to some of its political effects, such as the tendency of low subjective status to inspire last place aversion (Kuziemko et al., 2014), and, in methodological terms, it offers a single indicator that can be incorporated into surveys more readily than a battery of questions on social integration.",,,
A226,"These results are consistent with previous research on age-related differences in memory and imagination with respect to internal and external details (Addis et al., 2008; Gaesser et al., 2011; Madore et al., 2014), which supports the CESH and indicates that an AI-based methodology is applicable to a Chinese sample (cf.",,,
A304,"Our methods include statistical significance testing (t-tests) and quantitative metrics like the Anchor Index (A-Index) and Relative Error (R-Error) to measure the magnitude of the bias, providing a quantitative basis for comparing model behavior to human behavior without presuming an identical underlying cognitive process.",,,
A232,"More generally, adults tend to expect non-dominant group members, like Black adults, to be “experts” on identity-related issues and topics, like race and racism (Crosby et al., 2008).",,,
A132,"To circumvent these problems, several authors have suggested using an open-answer format to obtain data on behaviors (Schwarz et al., 1985; Sudman & Bradburn, 1982).",,,
A286,"…literature whereby the effect is more ubiquitous and salient in the direction from concrete sensory experience to abstract cognitions—e.g., from weight to importance, and from physical coldness to psychological coldness—and it is weaker when reversed (Hong & Sun 2012; Jostmann et al., 2009).",,,
A111,"The significantly increasing volatility around the rainy season onset in Chiquimula and recent whiplash from dry to wet in Totonicapán, as demonstrated by our index, may reinforce the desire to maintain an early May anchor.",,,
A230,"…their taxes (Alm et al., 1992), workers increase their effort level (Abeler et al., 2011), traders reduce their valuation on endowed goods (Marzilli Ericson and Fuster, 2011), golf players invest more focus when going for par (Pope and Schweitzer, 2011), and gamblers gear their lottery choices…",,,
A229,"Evidence of a 'pull' from competing response alternatives during a reaching task (McKinstry et al., 2008) provides further indication that decision making might not be its own a single, clear-cut phase, but operates, rather, in continuity with planning and execution.",,,
A309,"For instance, in their second study, Jostmann et al. (2009) found that participants who held a heavy clipboard attributed more importance to fairness in decision making than did participants holding a light clipboard.",,,
A342,"They assume a componential model of conceptual representations in which concepts are made up of smaller elements of meaning, referred to as features, properties or attributes (Cree and McRae, 2003; Gotts and Plaut, 2004; McRae et al., 1997; Mirman and Magnuson, 2008; Randall et al., 2004).",,,
A258,"A series of studies (e.g., Dale et al., 2007; McKinstry et al., 2008) reported that assessing subtle changes in the mouse movement trajectory is more fidelitous than a keypress response; nevertheless, the vast majority of cognitive studies still have participants press a key.",,,
A291,"Bartling et al. (2009) argue that choice of recruitment method — screening, in particular — can have complementarities with discretion, rent-sharing, and wages.",,,
A350,"…research has found that more concrete construal encourages use of information at one’s disposal in the current context (Ledgerwood et al., 2010; Wakslak & Trope, 2009), and that distal objects seem closer (and, therefore, more contextual) under concrete construal (Alter & Oppenheimer, 2008).",,,
A278,"Indeed, such advertisements may be more salient when they do appear, which could lead to the overestimation of their occurrence; similar biases have been identified in research from cognitive psychology (e.g., Tversky & Kahneman, 1973).",,,
A323,"…binary yes/no questions (such as, is the sky ever green?) by moving a cursor instead of just pressing one key or another, their movement trajectories reveal a wealth of phenomena that suggest the decision is represented in a continuous space that spills into overt movement (McKinstry et al. 2008).",,,
A117,"…evidence is consistent with our result that individuals value their decision power beyond its instrumental value (Güth and Weck-Hannemann, 1997; Fehr et al., 2013; Bartling et al., 2014; Owens et al., 2014) and prefer fair decision processes, over and above the fairness of the allocation…",,,
A155,Ganor-Stern and Tzelgov (2010) also reported that the unit-decade compatibility effect was affected by the notation of the numeral system.,,,
A188,"It should be mentioned that two previous studies using a similar manipulation (Schneider, 1995; Sniezek, Paese, & Switzer, 1990) failed to find a framing effect when participants were asked to judge their own performance. For example, Schneider (1995) had participants estimate the number of questions they got right (positive frame) or estimate the number of questions they got wrong (negative frame) and found no framing effect on estimates. Both of these studies, however, investigated framing effects on one’s own performance, while this study focuses on estimates of how others will perform. Levin et al. (1998) speculated that attribute framing effects would be minimized under conditions of high personal involvement, which may explain the results of Sniezek et al. (1990) and Schneider (1995). I explored the potential moderating effects of involvement on framing effects in the first experiment.",,,
A327,"Revisiting Armor et al. (Psychological Science, 2008) Armor, Massey, and Sackett (2008) considered “Prescribed Optimism” and asked “Is it right to be wrong about the future?” They suggested that personal predictions are often optimistically biased, not because of irrationality but rather because such behavior is consistent with people’s values and beliefs.",,,
A038,"For example, Alvarez and Oliva (2008, 2009) found that observers perceive what they call “ensemble statistics,” including summary location or orientation, even in unattended scene elements. Furthermore, Haberman and Whitney (2007) found that mean emotion and gender are also rapidly perceived for a group of face images.",,,
A290,"Reminders of money make people act selfishly, such as decrease helping and ethical behavior (Caruso et al. 2013; Gino et al. 2011; Vohs et al. 2008), unless considerate responses are explicitly tied to compensation (Fabes et al. 1989; Kunda and Schwartz 1983).",,,
A317,"…a priority rule that gives preference to registered donors outperforms other allocation rules in increasing the willingness to donate organs (Kessler and Roth 2012, 2014b; Li et al. 2013), but in the field people often object to the implementation of the rule (Ahlert and Schwettmann, 2011,…",,,
A259,"Indeed, Matlock et al. (2005) reported that participants primed with fictive motion describing a road going away from the location where they were (analogous to the ego-moving perspective) tended to respond Friday , whereas those primed with the reverse in the form of a road coming toward their current location (analogous to the time-moving perspective) tended to respond Monday .",,,
A253,"Studies with the picture-picture interference paradigm have shown that a context picture superimposed on a target picture facilitates the naming response when the context picture's name is phonologically similar to the target picture's name (e.g., target picture; ""bed,"" context picture: ""bell""; see Cook & Meyer, 2008; Meyer & Damián, 2007; Morsella & Miozzo, 2002; Navarrete & Costa, 2005; Roelofs, 2008), This phonological context effect suggests that the word form of the not-to-be-named context object becomes activated during speech planning, in line with a cascading view (but see Bloem & La Heij, 2003; Kuipers & La Heij, 2009, for a different interpretation).",,,
A174,"Perhaps more striking is that the predictions of another memory-based heuristic, availability (Tversky and Kahneman, 1973), are also noncompensatory (based on just a single variable, e.g., speed of recall), but this seems to have bothered no one. adaptIve use oF the recognItIon heurIstIc Gigerenzer…",,,
A270,"For the propositions with intermediate truth values mouse movements would veer longer between answers thus tracking the more arduous cognitive task of assigning a truth value in these trials (McKinstry et al., 2008).",,,
A367,"Persons who were successful at achieving weight loss in a weight-loss program had a lower novelty-seeking trait, which correlates positively with conscientiousness [23], than those who did not reach their goals [28].",,,
A337,Recent theoretical and experimental work suggests that there are also complementarities from matching incentive structures to preference types; e.g. Englmaier and Leider (2008) or Bartling et al. (2010).,,,
A176,That the brain edits our pasts in a positive light is healthy to the extent that it can promote a positive—though illusory— view of the self [17],,,
A031,"Chen and Chen (2011) consider an other-regarding parameter that increases when players share a common group identity. While Chen and Chen (2011) find an improvement in coordination when players share a group identity, it is unclear whether this is because they care more about each other’s payoff, or because they believe the other player is more likely to choose the payoff dominant outcome when they come from the same group.",,,
A349,"In particular, sad and depressed individuals discount the future more heavily than others (Ifcher and Zarghamee, 2011; Lerner et al., 2013; Pulcu et al., 2014).",,,
A102,"Similarly, there is evidence that romantic interest is less easily judged than friendliness (Farris et al., 2008).",,,
A143,"Relatedly, Alvarez and Oliva (2008, 2009) demonstrated that background detection of ensemble changes is relatively unaffected by a foreground tracking task.",,,
A156,"Indeed, the two interpretations of the probe are argued to be equally likely in a ‘neutral’ or unprimed context (Boroditsky & Ramscar, 2002;McGlone &Harding, 1998). Further evidence of this assumption is found in the example sentences appearing in papers on space–time metaphor, in which the two perspectives are equally represented.(2) The equal prevalence of the two metaphors has been used as a basis for researchers attributing interpretation differences across experimental conditions to the spatial prime (i.e., moving self or moving object, as in the Boroditsky & Ramscar, 2002, study described above), which is argued to give rise to the perspective that is consistent with it rather than tomerely reinforce an existing interpretation bias. However, a number of recent studies have revealed additional factors which influence the perspective adopted, thus calling this assumption into question. First, in their study of natural language uses of the Moving Ego and Moving Time metaphors, McGlone and Pfiester (2009)",,,
A333,"…uthor M anuscript A uthor M anuscript that older adults’ abilities to remember past events and imagine future events largely decline in parallel (Addis et al., 2008; Gaesser et al., 2011; Madore, et al., 2014; Gallo, et al., 2011; Rendell, et al., 2012; Schacter, et al., 2013), older adults…",,,
A179,"For example, asking people to pinpoint the time and place of the IIC encounter appears to amplify its benefits (Husnu & Crisp, 2010, 2011), as does framing IIC episodes as the start of a friendship (Bagci, Piyale, Bircek, & Ebcim, 2018).",,,
A090,"Also, power holders seem to not want to part with their power once they have it (Fehr et al., 2013; Owens, Grossman, & Fackler, in press).",,,
A249,Another study ( Winawer et al. 2008 ) showed that viewing a series of photographs with implied motion in a given direction produces motion after-effects in the opposite direction as assessed with real-motion test probes.,,,
A318,"Their research shows that individuals reconstruct their past according to how they currently want to perceive themselves: as different from the past self (Conway & Ross,  1984 ), superior to the past self (Wilson & Ross,  2001 ) or distant from a negative past self (Ross & Wilson,  2002 ).",,,
A346,"Indeed, while previous research has established age-related declines in episodic memory and simulation abilities (Addis et al., 2008, 2010), empathy and prosociality are thought to increase later in life (Carstensen et al., 2006; Mayr & Freund, 2020), and these may help to compensate for…",,,
A322,"More specifically, Kirchler et al. (2012) and Huber and Kirchler (2012) report that the reduction of confusion about the fundamental value and different framing of the traded asset helps to reduce mispricing. Lei and Vesely (2009) outline the importance of a very careful explanation of the FV.",,,
A262,"On both the single-and two-mechanism accounts, the erroneous recall component of the impact of B-SSS is attributed to the breakdown of source monitoring (Beaman, 2004; Bell et al., 2008; Marsh et al., 2008).",,,
A355,"Consistent with this work, age-related reduction in episodic specificity has been associated with sub-optimal performance in a variety of episodic memory-supported functions, including future thinking and problem solving (Addis et al., 2008; Vandermorris et al., 2013).",,,
A205,"In comparison, about 38 percent reported watching more than 2 ½ hours when they were presented with a scale ranging from “up to 2 ½ hours” to “more than 4 ½ hours” (Schwarz et al., 1985).",,,
A036,"Jostmann, Lakens, and Schubert (2009) reported that holding heavy things enhances the cognition of importance “IMPORTANCE IS HEAVY”.",,,
A128,"The considerable overlap of the constructs assessed with currently established personality questionnaires like the NEOFFI or the TCI has been noted by several authors (De Fruyt et al., 2000; Aluja and Blanch, 2011).",,,
A190,"Jacowitz and Kahneman (1995), who also find higher anchors to be more effective.",,,
A267,"In particular, if the hypothesis that older adults are less able to recollect episodic details than younger adults (Addis et al., 2008) is true, then a greater decline in performance should be observed in middle-aged participants.",,,
A246,Existing research has shown the advantage of making precise (vs. round) offers in negotiations such that a higher level of precision reduces the magnitude of counteroffers (Janiszewski and Uy 2008; Mason et al. 2013; Thomas et al. 2010).,,,
