id,sentence,是否提及复现失败或争议(1/0)
B032,"Perceptual fluency, for example, has been shown in previous research to influence spatial distance estimates (Alter & Oppenheimer, 2008).",
B033,Served with 125 mL of milk Between (overnight fast) −a O a Episodic: no effect on verbal learning.,
B034,"Indeed, Neuroticism and HA are found to be considerably overlapping, but not identical (De Fruyt et al., 2000).",
B035,"In turn, higher self-directedness levels would allow them to have clearer life goals and adaptively orient their behavior toward them (34).",
B036,"One previous study in this context, using participants from the Turkish Cypriot community, has reported beneficial effects of an imagined contact experience on positive behavioural intentions (Husnu & Crisp, 2010b).",
B037,"In contrast to moral credits, it has been proposed that licensing occurs when people have the opportunity to establish credentials (Effron & Monin, 2010; Merritt et al., 2010; Miller & Effron, 2010; Monin & Miller, 2001).",
B038,"Mais l’exemple le plus marquant est sûrement celui lié à une étude américaine où environ 20 % des répondants étaient généralement en faveur de “ne pas permettre” comparativement à « interdire » des déclarations politiques contre la démocratie (Rugg, 1941).",
B039,32 can vary in magnitude depending on the specific rank or place of subject (Kuziemko et al. 2014).,
B040,"Early experiments on facial recognition showed that women outperformed men in recognizing facial expressions and facial intentions (Farris et al., 2008, Montagne et al., 2005).",
B041,"Further, identity has been shown to aect group coordination and conict (Chen and Chen, 2011; Chen et al., 2014; Chowdhury, 2021).",
B042,"They are also inconsistent with the findings of Husnu and Crisp (2010a), who reported that an imagined contact condition similar (but not identical) to the “standard” imagined contact condition we used in this study yielded more positive behavioural intentions amongst Turkish Cypriot participants.",
B043,"They join previous findings which demonstrate that people use physical weight to conceptualize other abstract domains, such as importance, seriousness and severity (Jostmann et al., 2009; Kaspar, 2013; Schneider et al., 2011).",
B044,"For example, we are able to think about how time passes via our implicit understanding of howwe and other objects move through space, giving rise to the conceptual metaphor TIME IS SPACE (Boroditsky, 2000; Clark, 1973; Radden, 1997).",
B045,"…and physical actions are used to describe numerical or temporal information, as in Let’s count up to 10, X goes to infinity, The meeting raced by , or Look ahead to the future (Boroditsky, 2000; Lakoff & Núñez, 2000; Marghetis & Núñez, 2013; Núñez & Marghetis, 2015; Winter & Marghetis, 2023).",
B046,"For example, when people have already demonstrated that they can be nonprejudiced, they can feel justified to act in discriminatory ways (Choi et al., 2014; Miller & Effron, 2010; Monin & Miller, 2001).",
B047,"Moral licensing theory further argues that when people have previously engaged in moral deeds, their subsequent behavior is likely to be immoral (Blanken, van de Ven, and Zeelenberg 2015; Effron, Cameron, and Monin 2009; Merritt, Effron, and Monin 2010; Monin and Miller 2001).",
B048,"The manifestation of time in language may reflect society's world view towards time, adhering to the concept of linguistic determinism (Boroditsky, 2000).",
B049,"One interesting example that makes players deviate from the rational behavior is the so-called last place aversion , in which individuals prefer to receive less and not be the last than to receive more and be the last (e.g., salaries in an organization) (Kuziemko et al., 2014).",
B050,"In sum, with the exception the findings of Janssen et al. (2008), there is to date no available clear-cut evidence suggesting that nontarget properties get phonologically activated in the course of object naming.",
B051,"As mentioned above, Rugg (1941) shows that people react much more favorably to “not allowing” certain actions rather than “forbidding” them.",
B052,"Next, moral licensing may be an issue as the effect seems to persist irrespectively of how the initial, socially desirable behavior was brought about (Monin and Miller 2001).",
B053,"Black faces can trigger a threat response from high-EM individuals, first over attention, and then attention avoidance if presented with those faces for longer durations (Richeson & Trawalter, 2008).",
B054,"On the other hand, individuals may exhibit a certain type of behavior (ahead-seeking, behind-averse behavior, or last-place aversion) that shifts behavior in the favorable direction [48, 33].",
B055,"Specifically, Negative emotions often lead to impatience and impulsivity, while positive emotions enhance patience by elevating cognitive construal levels (Rounds et al., 2007; Ifcher and Zarghamee, 2011).",
B056,"Finally, we discuss how superiority-seeking rationalizes seemingly anomalous attitudes towards redistributive policies, such as the observation that the strongest opposition to increases in the minimum wage is concentrated amongst those making the secondto-lowest amount (Kuziemko et al., 2014), and provides a psychological basis for the maintenance of social stratification (Darity Jr et al.",
B057,"Lower class members of the ethnic majority, however, are more likely to feel resentful of ethnic minorities (and their political allies), viewing them as competitors for status and resources (Kuziemko et al., 2014; Meuleman et al., 2020).",
B058,"Routine workers who fear status decline may seek to distinguish themselves from groups that they view to be below them (Kuziemko et al., 2014; Lamont, 2000).",
B059,It turns out that they simply dislike being the last in line [3].,
B060,"For example, positive life events are often remembered better than negative life events (Mather, 2006; Ross & Wilson, 2002; Skowronski et al., 1991).",
B061,"Moreover, Ifcher and Zarghamee (2011) find that positive affect, the propensity to be in a good mood, significantly reduces time preference on money.",
B062,"…is that the disadvantageous relativepts-$ shock is significantly MSF-diminishing for individuals with household income in the topquartile and not for those in the bottom 3 quartiles.15 This finding is consistent with Ifcher et al. (2018) and Alesina et al. (2004), but not Kuziemko et al. (2014).",
B063,"A member of a dominant group may engage in social referencing, or “seeking out the responses of a potentially victimized group member to help them assess the situation” (Crosby et al., 2008, p. 226).",
B064,"While individuals generally judge psychologically distant (vs. close) events as being less probable (Wakslak & Trope, 2009), perceptions of processing fluency have been shown to reduce the psychological distance (Alter & Oppenheimer, 2008).",
B065,"…designs that generally suggested that ML mechanisms generally relax one's moral standards and allow individuals to engage in subsequent unethical or morally ambiguous behaviors (e.g., Ahmad et al., 2020; Engel & Szech, 2020; Loi et al., 2020; Mullen & Monin, 2016; Monin & Miller, 2001).",
B066,"Flag priming is a hypothesized psychological effect in which merely seeing the American flag is thought to increase the viewer’s political conservatism (Carter et al., 2011).",
B067,"For instance, Ross and Wilson (2002) found that participants’ perceptions of how recent/distant past events were perceived to have occurred were related with estimations of when past events actually occurred.",
B068,"Additionally, studies have demonstrated that inventing scenarios strengthens actual intentions to act on the imagined plans, such as donating blood (Anderson, 1983) or engaging in contact with an out-group member (Husnu and Crisp, 2010).",
B069,"…of the imagined contact task, there is evidence that imagined contact effects might be boosted, for example, by instructions aimed at increasing elaboration [22], by counter-stereotypical characteristics of the outgroup member [29], and by imagining the physical touching of hands [30].",
B070,"Jostmann et al. (2009) have demonstrated that people tend to equate heaviness with importance, an association also apparent in language use, for example, “a weighty issue” or “an issue not to be taken light-heartedly.”",
B071,"Individuals who have undergone self-depletion rely more on superfcial cognitive processing; they do not question instructions but mechanically follow them, unwilling to expend further energy to verify or reason the validity of the information [30, 31].",
B072,"On both the single-and two-mechanism accounts, the erroneous recall component of the impact of B-SSS is attributed to the breakdown of source monitoring (Beaman, 2004; Bell et al., 2008; Marsh et al., 2008).",
B073,"Moral credentials, by removing the least possible incentives for flattering and immoral behavior, can change those motivations in the individu-al(cid:146)s favor or even provide the most legitimate and credible behavioral motivation (Monin & Miller, 2001a).",
B074,"4 Similar lab experiments are rare; however, Ifcher and Zarghamee (2011) also randomly induce positive affect and show that it reduces time preferences over money.",
B075,"Language may contribute to the construction of uniquely human, culture-specific temporal notions like ‘ moving Wednesday ’ s meeting forward ’ (Boroditsky, 2000).",
B076,"The results of the research confirm relationships between the experience of space and attitudes toward time (Boroditsky, 2000; Boroditsky & Ramscar, 2002; Lakoff & Johnson, 1980; Lee & Ji, 2014; Margolies & Crawford, 2008).",
B077,"This implication consists with the ﬁ ndings in the embodied perspective on cognition which suggest that the abstract concept of importance is grounded in bodily experiences of weight: heavy objects generate perceptions of importance or seriousness (Jostmann et al., 2009; Ackerman et al., 2010).",
B078,"On the one hand, Akerlof and Kranton (2000), Chen and Li (2009), and Chen and Chen (2011) incorporate social identity into the social preference model and suggest that people have an intrinsic preference for group members, i.e., the deviation from group identity causes disutility.2 On the other…",
B079,"For instance, not only does warmth induce feelings of interpersonal closeness (IJzerman and Semin, 2010), but feelings of loneliness can make people feel colder (Zhong and Leonardelli, 2008; IJzerman et al., 2012; Szymkow et al., 2013).",
B080,Ifcher and Zarghamee (2011) found an association between an individual’s well-being and consumption preferences over time.,
B081,Ifcher and Zarghamee (2011) finds that mild positive affect significantly reduces time preference over money compared to neutral affect.,
B082,"Past research suggests that people are motivated to suppress prejudiced tendencies, but that they can release prejudice when they have acquired moral credentials from past non-discriminatory behavior (i.e., a self-licensing effect; see e.g., Effron, Cameron, & Monin, 2009; Monin & Miller, 2001).",
B083,"In short, the available evidence appears to decisively discredit the money-priming effects reported by Caruso et al. (2013).",
B084,"Consistent with the results of previous research (Eriksen and KvalØy 2017; Fang et al. 2017; Kirchler, Lindner, and Weitzel 2019; Kuziemko et al. 2014; Schedlinsky, Sommer, and Wohrman 2016), risk taking (investments) would in our experiment increase below the relative comparison standard despite that the expected value is lower, and more investments would be made in high-risk than in low-risk stocks.",
B085,Verplanken (1993) and Cacioppo et al. (1983) demonstrated that those high in need for cognition generally spend more effort on their cognitive activities than do those low in need for cognition.,
B086,"…utilising the PP scale suggests that people with a high need for cognition are more sensitive to the quality of the argument and less sensitive to peripheral cues when processing persuasive messages (Cacioppo, Petty, & Morris, 1983), which overall facilitates objective information processing.",
B087,"Extensive research has found that negative emotions cause individuals to be more short-sighted and prefer immediate gains [12,13].",
B088,"Conventional moral self-regulation theory posits an introspective balancing system where past moral behavior licenses subsequent indulgence (moral licensing; Monin & Miller, 2001 ) and past immoral behavior drives compensation (moral cleansing; Zhong & Liljenquist, 2006 ).",
B089,"Last but not least, Chen and Chen (2011) and Chen, et. al (2014) showed the important role of social identity as a focal coordination device for players to synchronize their action towards a particular equilibrium in a strategic setting involving multiple equilibria.",
B090,"It also overlaps with the availability heuristic when the focal event is especially vivid or memorable, thereby inflating judgments of frequency or probability (Tversky & Kahneman, 1973).",
B091,"Generally speaking, individuals with low HA scores tend to be carefree, relaxed and optimistic (Cloninger et al., 1993) and, similarly to individuals with low level of neuroticism (De Fruyt et al., 2000; Goldenberg et al., 2006), they are characterized by high levels of emotional stability.",
B092,"Monin and Miller (2001) hypothesized that a person would be more likely to show a prejudiced attitude in an actual choice behavior than in a conventional questionnaire, especially after answering ""correctly"" in questionnaires.",
B093,"To avoid lassitude, the intervention may also be associated with a short video, as prior studies suggest that facilitating elaboration during imagination enhances the imagined contact effect (Husnu & Crisp, 2010).",
B094,Openness is negatively correlated with harm avoidance and positively correlated with novelty seeking [30].,
B095,56 59 Moral self-licensing describes the phenomenon in which individuals use their own prior moral behavior to justify (or license) immoral behavior in the future.,
B096,The social identity manipulation that is employed in the study closely follows the design employed by Chen and Li (2009) and Chen and Chen (2011) who found a significant effect of identity on behavior.,
B097,"…contexts - such as increased cooperation (Eckel & Grossman, 2005; Goette, Huffman & Meier, 2006) and improved coordination (Charness, Rigotti & Rustichini, 2007; Chen & Chen, 2011) among group members – it has also been shown to generate antisocial and harmful behaviors toward out-group agents.",
B098,"Guided by research on imagined contact, we had hypothesised that the more people elabo‐ rate on their imagined interactions, the more favourable they will be toward the outgroup (see Husnu & Crisp, 2010).",
B099,Husnu and Crisp (2010) hypothesized that elaboration and the subsequent vividness of an imagined scenario might enhance the effect of imagined contact.,
B100,"Accordingly, it is assumed that “there must be a semantics-sensitive mechanism that modulates the information flow in the conceptual-lexical system and that gates the amount of phonological activation” (see Roelofs, 2008, p. 366).",
B101,"Previous research has already demonstrated that imagined contact has long-lasting effects (e.g., Husnu & Crisp, 2010; Vezzali, Capozza, Stathi, & Giovannini, 2012).",
B102,"…like clinical simulation videos significantly enhances traditional MCQ examinations by enabling the assessment of resident physicians’ ability to integrate verbal and non-verbal information, thereby replicating real-world clinical scenarios, and improving the assessment of clinical competence [24].",
B103,"In other words, these procedures probably lead to greater vividness of imagined encounter (Husnu & Crisp, 2010).",
B104,Prior studies have shown that emotions influence time horizon (Cohn and Fredrickson 2006; Guven 2012; Ifcher and Zarghamee 2011) and an individual’s financial time horizon is one of the most important aspects behind consumption decisions (Dow 2013; Van Rooij et al.,
B105,"…consumption or wealth but also to an individual’s relative position along these dimensions within a given reference group, as demonstrated by Kuziemko et al. (2014), who formulated the last-place aversion model to show that the economic benefit and well-being of a household are not…",
B106,"…affect has been found to lead decision makers into more efficient problem solving mechanisms and strategies (Isen, 2008), significantly reduce time preference in uncertainty (Ifcher and Zarghamee, 2011) and also has effects on workers’ motivation, efficiency and productivity (Oswald et al., 2015).",
B107,"…the present findings are in line with a functional approach to forgetting that emphasizes the role of conceptually-focused selective attention (M. C. Anderson, 2003; M. C. Anderson & Huddleston, 2012) and monitoring processes in establishing successful remembering (Marsh et al., 2008, 2012, 2014).",
B108,"The fact that forward motion in space leads to thought about forward motion in time (in line with the Qin ego-moving perspective) (Boroditsky & Ramscar, 2002) testi ﬁ es to the spatial grounding of temporal conceptualization (Boroditsky, 2000).",
B109,"Main-Effect Hypothesis Previous research across Western countries suggested that some of the core beliefs of political right-wing orientation such as the acceptance of social inequality, social dominance orientation, the justification of free market systems, and the conviction that only personal effort and achievement should be rewarded, are susceptible to subtle cues of money (Boucher & Kofos, 2012; Caruso et al., 2013; Vohs, 2015; Vohs et al., 2006, 2008; Zedelius et al., 2013).",
B110,"This trait is also tightly related to the Big Five Inventory neuroticism factor [75, 90, 95, 96], and high levels of neuroticism have been shown to reflect in higher compliance with COVID-19 restrictions [97].",
B111,"And although Kuziemko et al. (2014) mention some of the broader societal concerns of last place, they also highlight the childhood fear of being “picked last in gym class” as perhaps one of the most common occurrences of last place aversion.",
B112,"Moral self-licensing theory posits that performing an initial moral action increases the tendency for an individual to perform morally ambiguous behaviors afterward (Merritt et al., 2010; Monin and Miller, 2001).",
B113,"…that crediting different authors for a quotation can alter the perception of the message, so that the same statement mentioning revolution, for example, is differently perceived, depending on whether it is reported to be authored by Vladimir Lenin or Thomas Jefferson (e.g., Lorge & Curtiss, 1936).",
B114,"Recently, many studies suggest that negative emotions increase time discounting (Lerner, Li, & Weber, 2012; Ifcher & Zarghamee, 2011; DeSteno et al., 2014).",
B115,"Importantly, this aspect is known to affect the activation flow that spreads from concepts to word forms (e.g., Roelofs, 2008) and the late processes in naming (Jongman, Meyer, & Roelofs, 2016; Jongman, Roelofs, & Meyer, 2015).",
B116,"Elsewhere, I showed by computer simulations that the WEAVER++model accounts for semantic effects in RTs obtained with the picture-word interference paradigm (e.g., Levelt et al., 1999; Piai et al., 2014; Roelofs, 1992, 1997a, 2003, 2004, 2007, 2008a, 2008b).",
B117,"While a significant relationship was found between predicted unethical behavior and self-monitoring [F(1, 92) = 4.71, p = 0.03, ƞ2 = 0.05], the inclusion of self-monitoring in an ANCOVA did not impact the effect of perceptual fluency on anticipated unethical behavior in a meaningful way [F(1,91) = 8.33, p = 0.01, ƞ2 = 0.08] while the effect of self-monitoring was no longer significant [F(1,91) = 0.49, p = 0.49, ƞ2 = 0.01].1",
B118,"HA is highly positively correlated to neuroticism (De Fruyt et al., 2000), which has been shown to impact on social function as measured with the SAS before (Pope et al., 2007).",
B119,"Former research (Caruso et al., 2013) indicated that beliefs (e.g., social dominance orientation) associated with the economic dimension of political orientation (Jost, Federico, & Napier, 2009) were influenced by money priming.",
B120,7 Ifcher and Zarghamee (2011) find that induced positive affect leads to more patient choices involving money.,
B121,"In a follow-up study, Husnu and Crisp (2010) found further support for the effectiveness of the enhanced manipulation.",
B122,"Somewhat relatedly, Chen and Chen (2011) find that matching people with in-group members in a multiple-equilibria, minimum effort communication game can raise their effort level to a higher equilibrium level.",
B123,"This observation is consistent with the notion that those with a higher NFC enjoy cognitive tasks and those with a lower NFC are inclined to reduce cognitive load [17, 18].",
B124,"Regarding the TCI analysis, there were significant differences between the investment group (Bitcoin and share) and healthy comparison subjects in most sub-group items, except for PE.",
B125,"The findings are also consistent with research showing that imagined contact is associated with more positive outgroup attitudes and greater contact intentions (e.g., Husnu & Crisp, 2010a; R. N. Turner, Crisp et al., 2007).",
B126,"A handicap of closed quantifiers, compared to open quantifiers, is that the specified ranges inform respondents about the researcher’s knowledge of (or expectations about) the real world 1530 A. DeCastellarnau (Schwarz et al. 1985; Sudman and Bradburn 1983).",
B127,"The large, robust effects reported by Vohs et al. (2006) and Caruso et al. (2013) are quite different from the well-established priming effects observed in perceptual and cognitive tasks (e.g., Meyer & Schvaneveldt, 1971).",
B128,"…overperceive women’s sexual interest (Perilloux et al., 2012; Farris et al 2008b), but consistent with other work demonstrating that men and women showed similar average ratings based on visual (Farris et al., 2008a) or verbal cues (Perilloux & Kurzban, 2015) of other women’s sexual intent.",
B129,"Additionally, it has been shown that when group membership is made salient, individuals are less likely to cooperate or coordinate with out - group members compared to in - group members in strategic environments (Chen, Chen, 2011).",
B130,"Consistent with inequity aversion, we therefore find that a vast majority of the subjects do allocate the money downwards (Kuziemko et al., 2014).",
B131,Caruso et al. found that money priming increased scores on this measure.,
B132,"Indeed , rightward ACC asymmetry has been found to be correlated with Harm Avoidance (Pujol et al., 2002), a trait dimension negatively correlated with Neuroticism (De Fruyt et al., 2000) (the human parallel of Dominance).",
B133,"Those who answer Monday are presumed to take a time-moving perspective; they see themselves as stationary embedded in a timeline and time moving forward toward them, from Wednesday to Monday (Boroditsky, 2000; McGlone & Harding, 1998; McTaggart, 1908).",
B134,"…on System 1 processing and the compromise effect on System 2 processing predicts a replication of the results from the ego-depletion studies of decoy effects (Masicampo & Baumeister, 2008; Pocheptsova et al., 2009): reduced compromise effects and enhanced attraction effects under cognitive load.",
B135,"It also overlaps with the availability heuristic when the single event is particularly memorable, leading individuals to inflate frequency or probability estimates (Tversky & Kahneman, 1973).",
B136,"In adult samples, extensive work has demonstrated that White people harbor concerns about appearing to others as prejudiced (Plant & Devine, 1998; Richeson & Trawalter, 2008), and this may affect the extent to which they respond honestly on self-reported surveys about race (i.e., social…",
B137,"…otherwise devoid of informational content.5 The persuasion theory offers no explanation as to why advertising should 4In another “second item” study, Ericson and Fuster (2011) find that manipulated expectations of ownership of an item fail to influence valuation of a second owned item, whereby…",
B138,"In picture naming, activation spreads continuously from lexical concepts to lemmas, lexical output forms, output phonemes, and syllable motor programmes (Roelofs, 2008).",
B139,"…women are more likely than men to campaign on women’s or domestic issues and less likely than men to campaign using patriotic or military messaging (Carter, Ferguson, and Hassin 2011; Dabelko and Herrnson 1997; Kahn 1993; Niven and Zilber 2001), but this relationship is not always consistent as…",
B140,"For example, a man may misinterpret a woman’s attempts to appear friendly, such as by sitting or standing close to him at a party or initiating conversation, as sexual interest [23].",
B141,Central to these notions of relevance is the subjective perception of time: when an event actually occurred in time may have little to do with how close or distant it seems [4].,
B142,"Additionally, a series of studies found high NFC individuals expended more cognitive effort in evaluating messages, and that verbal intelligence and NFC accounted for independent sources of variance in message recall and persuasion (Cacioppo et al. 1986; Cacioppo, Petty, and Morris 1983).",
B143,"…novelty, and frustrative nonreward’) appears to be highly positively correlated with Neuroticism (the tendency to experience negative emotions) and negatively correlated with Extraversion (a measure of how sociable, outgoing and energetic a person is) (Costa & McCrae, 1985; De Fruyt et al., 2000).",
B144,"Previous research has suggested that imagined contact may be a useful tool to improve intergroup attitudes in settings where direct contact is less likely to occur (Husnu & Crisp, 2010a).",
B145,"Thus, in this study, we look beyond GTI’s bright side and construct a theoretical framework drawing on moral licensing theory (Blanken et al., 2015; Merritt et al., 2010; Monin & Miller, 2001) to reveal its potential dark side, by demonstrating that a firm implementing GTI may reduce its CSR.",
B146,"Such restrained behavior is befitting of saints, yet from a moral licensing perspective (Monin & Miller, 2001), it is the saints who are likely to be sinners.",
B147,"Notably, the perceptual patterns that form the building blocks of conceptual metaphors are in many cases mapped onto one’s spatial experiences, and extant research demonstrates that spatial experiences form the foundation for countless abstract concepts (Boroditsky 2000; Casasanto 2010).",
B148,The pooled result is consistent with the main result obtained in the original study (Chen and Chen 2011).,
B149,"…to veridical recall seems to be related to the direct competition between targets and distractors as they occur as well as an overspill of an inhibitory process (Marsh et al., 2008, 2012, 2014) rather than activation-blocking (Kimball & Bjork, 2002; Raaijmakers & Jakab, 2012; Rundus, 1973).",
B150,"As a result, self-enhancement motives function to decrease the perceived distance between the current and remembered self when the remembered self is reflected upon positively (Ross & Wilson, 2002).",
