id,sentence,是否在转述结论(1/0),确定性打分(0/0.25/0.5/0.75/1),备注
C0022,"Theoretically, employment contributes to peace by fostering social cohesion (Allport, 1954), reducing inequality (Collier & Hoeffler, 2004), raising the opportunity cost of violence (Becker, 1968), and easing competition over scarce resources (Fehr et al., 2013).",,,
C0023,"Especially if the past is negative—and people generally perceive their past as more negative than their future (e.g., Busseri et al., 2009, 2012), people feel subjectively distant to this self (Ross & Wilson, 2002).",,,
C0024,"In fact, fluency researchers have proposed that some of their effects may be due to the fact that disfluent, relative to fluent, information may feel more psychologically distant (Alter & Oppenheimer, 2008; Oppenheimer, 2008).",,,
C0025,"In both cases the result is that the individual has the ability to shift the focus of the poor performance to the self-handicapping excuse (Feick & Rhodewalt, 1997; McCrea & Hirt, 2001; McCrea, 2008).",,,
C0026,"…research suggests hardto-read fonts are a disfluency that operates as a desirable difficulty, engendering deeper cognitive engagement and deeper processing strategies (Alter & Oppenheimer, 2008; Alter et al., 2007; Bjork, 1994; Corley et al., 2007; Craik & Tulving, 1975; Song & Schwarz, 2008).",,,
C0027,"These studies theorize that the presence of women could induce a “licensing effect” (Monin and Miller, 2001), such that with women present, men may feel licensed to behave differently, or male identities may be strengthened, which in turn might alter the outcome (Akerlof and Kranton, 2000).",,,
C0028,"Middle-aged adults ’ ratings may reflect higher detail like older adults ’ (De Brigard et al., 2016, 2017) or they may show lower detail as the constructive simulation hypothesis claims for event description content (Addis et al., 2008).",,,
C0029,"The studies of Ersner-Hershfield et al. (2008) and Charles (2005) also revealed increased emotional complexity in older adults, when compared to younger adults.",,,
C0030,"In line with the Sapir-Worf hypothesis, some studies have claimed that such linguistic differences affect how people think and how they perceive the phenomena (Boroditsky, 2000; Boroditsky, et al. 2011; Bylund & Athana-sopoulos, 2017).",,,
C0031,"More precisely, some studies found that low Self-Directedness was associated with the external locus of control, while high Self-Directedness was associated with the internal locus of control [57].",,,
C0032,"Specifically, Inzlicht & Gutsell (2007) found those subjects who suppressed their emotions during the movie, compared to control subjects, performed worse on the Stroop task and exhibited a smaller, weaker ERN response.",,,
C0033,"Ego depletion interferes with the deliberative system and increases reliance on the intuitive system, leading to impulsive choices and intuitive decision making (Masicampo & Baumeister, 2008; Vohs, 2006).",,,
C0034,"…utility demonstrates that beliefs regarding the usefulness of specific types of emotions, which are influenced by context, actually impact people’s behavior such as the emotions they choose to experience and aspects related to their performance (e.g., Tamir et al., 2007, 2008; Tamir & Ford, 2012).",,,
C0035,"Furthermore, individuals who tend to make internal, unstable, controllable attributions tend to be prone to guilt, whereas those who tend to make internal, stable, uncontrollable attributions tend to be prone to shame (Tangney et al., 1992; Tracy & Robins, 2006b).",,,
C0036,E-mail:28 mmathur@stanford.edu29 Abstract30 Risen & Gilovich (2008) found that subjects believe that “tempting fate” will be punished31 with ironic bad outcomes (a main effect) and that this effect is magnified under cognitive32 load (an interaction).,,,
C0037,"Another possible explanation is that this effect could be the consequence of resource allocation competition, as the two tasks were concurrently performed (see Baddeley et al., 2001; Liefooghe et al., 2008).",,,
C0038,"The tendency to maintain a power position was also shown to become stronger when individuals’ degree of loss aversion increased, suggesting that power is especially desirable after one obtains it (i.e., a power-endowment effect; Fehr et al., 2013).",,,
C0039,These results highlight that traitconsistent emotion regulation is instrumentally as opposed to hedonically motivated [22].,,,
C0040,"Based on these findings, it is not surprising that individuals high in NFC recall learned information better than individuals low in NFC (Cacioppo et al. 1983; Kardash and Noel 2000).",,,
C0041,"Furthermore, two past studies (Harmon-Jones et al., 2008b; Mengarelli et al., 2013) suggested that left dorsolateral prefrontal cortex (DLPFC) plays a causal role in the resolution of cognitive dissonance, part of a larger literature from neuroimaging studies that have found correlational evidence…",,,
C0042,"Much of the moral licensing literature suggests that moral licensing is calibrated through one’s self-image; once someone establishes that they are a ‘good person’ to themselves, they are then ‘licensed’ to behave less morally (Conway & Peetz, 2012; Monin & Miller, 2001; Sachdeva et al., 2009).",,,
C0043,"Previous research on the communication of emotions has suggested that the party who communicates anger will get better bargaining outcomes, because anger signals a tougher bargaining stance which in turn leads opponents to give in (van Dijk et al, 2008).",,,
C0044,"Further, Epley and Gilovich (2006), Janiszewski and Uy (2008) and Mussweiler and Strack (2000) find that insufficient adjustments occur more often when information is perceived to be less reliable.",,,
C0045,"…executive functions, while sometimes this bilingual advantage is hard to observe in the case of young adults who are at the peak of their attentional capacities (Bialystok et al., 2005, 2008; Morton and Harper, 2007; Colzato et al., 2008; see Hilchey and Klein, 2011, for a recent review).",,,
C0046,"In a similar vein to Yap et al. (2008), Chateau and Jared (2000) provided evidence that the frequency effect is 5 Because the nonwords used in these studies were pseudohomophones (e.g., brane, which sounds like the existing word brain), they were not included in Table 7. mediated by print exposure,…",,,
C0047,"For example, Dai, Wertenbroch, and Brendl (2008) demonstrated that the utility of an event is used as a proxy for base rate estimates, reflecting real-life relationships of utility and base-rates (in that the more positively valenced an event is, the less frequent it is, Bock, 1968; Hirshleifer,…",,,
C0048,"In practice, System 1 is the source of systematic bias, and citizens’ evaluations of government performance have been shown to be malleable through this bias (Stanovich and West 2008).",,,
C0049,"While Dulleck et al (2011) find no effect of verifiability in the absence of liability, we actually find a strong effect of the tax ratings on firm behavior, as avoidance rates went down from 70% to 50%.",,,
C0050,"Several studies suggest that when effort decisions are private or when effort cannot be observed perfectly, the advantage of high-powered incentives may collapse (Cappelen et al. 2007, 2010, Fischbacher 2007, Grechenig et al. 2010, Bornstein and Weisel 2010, Sousa 2010, Ambrus and Greiner 2012).",,,
C0051,"For example, in dot-probe tasks, White participants can be observed to preferentially attend to Black faces during initial face presentation (e.g., Richeson & Trawalter, 2008), an effect interpreted as evidence that Black faces are often viewed as potentially threatening by White perceivers and…",,,
C0052,"Die huidige studie neem ook in ag die neobehaviouristiese aanname dat ʼn persoon deur interne dryfkragte wat aan sekere gedrag verbind is, beïnvloed word (Cacioppo et al. 1983).",,,
C0053,Chen and Chen [20] explain the high coordination rates on the efficient equilibrium in risky coordination games in terms of social preferences.,,,
C0054,"Armor, Massey, and Sackett (2008) found a stronger preference for optimism when commitment to a course of action was high rather than low (as the optimism-performance hypothesis would also predict), but they found that overall, people still prescribed optimism rather than accuracy in both high and…",,,
C0055,"In related examples, Fehr and Gächter (2000) and Gächter, Renner, and Sefton (2008) find that high contributors incur costs to punish free riders and thereby to promote cooperation, when the contributions of each group member is accurately shown to the others at no cost, but Grechenig, Nicklisch, and Thöni (2010) and Ambrus and Greiner (2012) find large increases in “misdirected” punishment which result in less or even negative effects of punishment opportunities on cooperation, when similar interactions occur under imperfect observability. The present paper addresses the challenge that imperfect and costly information poses for cooperative self-governance by introducing a natural extension to the experimental literature: the incorporation of a costly monitoring option. Put differently, we endogenize the imperfectness of information by letting the agents concerned improve their information’s accuracy, should they be willing to incur the requisite cost. The message of Grechenig et al. (2010) and Ambrus and Greiner (2012) might appear to be summarized by the phrase “punishment despite reasonable doubt,” which suggests that agents in their social dilemma experiments who were offered the opportunity to engage in peer punishment based on information known to be frequently inaccurate, were not especially reticent about punishing one another although they might be punishing a fellow cooperator when attempting to enforce cooperation.",,,
C0056,"2013; McLeish and Oxoby 2007), while positive affect decreases discounting (Pyone and Isen 2011; Ifcher and Zarghamee 2011); to the extent that negative affect correlates with stress, these findings mirror our results.",,,
C0057,"This leads to higher performance and greater resistance to interference (Makovski et al., 2008; Matsukura, Luck, & Vecera, 2007; Sligte et al., 2008).",,,
C0058,"Research has begun to highlight the importance of contextual factors, such as characteristics of the transgressor, that are associated with the resolution of interpersonal conflict (Exline et al., 2008; Koutsos et al., 2008; Struthers et al., 2008).",,,
C0059,"According to the need-based model of reconciliation, the primary needs that are thwarted for victims in the wake of a transgression are their needs for control (Shnabel & Nadler, 2008).",,,
C0060,"Detecting between appropriate and inappropriate responses may facilitate control over race bias as a response unfolds (Amodio et al., 2008), as well as in future situations (Monteith et al.",,,
C0061,"Regarding our findings on time preferences, the effect of positive affect on time preference has previously been reported in Ifcher and Zarghamee (2011) where they also find that positive affect significantly reduces preference for present over the future utility of money.",,,
C0062,"Distal defenses emerge when death-related thoughts are highly accessible but not in focal attention and entail a tripartite security system consisting of self-esteem, worldviews, and attachment (Cox et al., 2008; Hart, Shaver, & Goldenberg, 2005; Mikulincer, Florian, & Hirschberger, 2003).",,,
C0063,"In principle, the level of preciseness, or granularity, with which numerical information is presented determines the extent to which consumers employ smaller vs. larger units and numbers when making judgments about it (Janiszewski & Uy, 2008; Wadhwa & Zhang, 2015; Zhang & Schwarz, 2012).",,,
C0064,"Although there are many social and behavioral benefits of being optimistic both in the health domain and in other areas of our life [8, 19, 20], in some situations, just the opposite is true.",,,
C0065,"Balanced iden - tity theory, which was created using gender as an exemplar, would suggest that seeing oneself as typical of a group that is negatively stereotyped would negatively relate to motiva - tion in that domain (e.g., Nosek et al., 2002).",,,
C0066,"In line with previous findings of Fischer et al. (2011), which showed that increased decision certainty (a form of confidence in the validity of one's own decisions and standpoints) leads to increases in confirmatory information search, we would expect that increased confidence in the",,,
C0067,"On the other hand, as graduation drew even nearer, all participants may have been similarly and increasingly struck by the powerful cues that accompany the end of a college career, such as picking up a cap and gown and taking final exams (Ersner-Hershfield et al., 2008).",,,
C0068,"Additionally, Mundy et al. (2007) suggest that comparison driven differentiation is the result of short term adaptation or habituation and Mitchell et al. (2008) assert that higher level memory mechanisms are involved in the representation of a stimulus.",,,
C0069,"For instance, Alvarez and Oliva (2008) asked subjects to perform a difficult multiple-object tracking task and found that observers were much more accurate at localizing the centroid of the distracter objects than reporting on the position of any individual distracter.",,,
C0070,"On the other hand, the response exclusion account explains the semantic interference as a consequence of non-lexical, articulatory motor planning that is engaged late during speaking, where the distractor word has to be removed from the response bottleneck before the target word can be articulated (Costa et al., 2005; Finkbeiner and Caramazza, 2006; Mahon et al., 2007; Janssen et al., 2008).",,,
C0071,"Among the most important factors for the existence and persistence of this gender gap, there is people’s endorsement of gender stereotypes associating the STEM domain with men (Nosek et al., 2002).",,,
C0072,"Investigating the forms of colorblindness that elicit more versus less relational threat among non-dominant group members may also elucidate why research demonstrates clear effects of salient colorblindness on felt exclusion only under certain conditions (e.g., low minority representation; Purdie-Vaughns et al., 2008).",,,
C0073,"Specifically, Ifcher and Zarghamee (2011) demonstrated that mild positive affect significantly reduced impulsivity in intertemporal choice.",,,
C0074,"…with the finding that making a second, different judgement can tap knowledge that would otherwise go unused (Van Zandt & Maldonado-Molina, 2004; Vul & Pashler, 2008) and that cued recall can be facilitated by metacognitive control over which cues are submitted to memory (Finley & Benjamin,…",,,
C0075,"As in Fehr et al (2013), Bartling et al (2014) and Owens et al (2014), our participants prefer to rule over others, and avoid their being controlled.",,,
C0076,"Furthermore, because logical thinking in adulthood is correlated with a number of related abilities such as intelligence and executive functions (Stanovich & West, 1998, 2000, 2008; Toplak et al., 2011), it is likely that their development might bene ﬁ t from similar conditions and exhibit similar…",,,
C0077,"Past research with college samples suggests that emerging adults might bias their accounts of how far away negative experiences feel (Ross & Wilson, 2002 ), such that controllable events that feel subjectively closer in time are related to higher ratings of event impact and event intensity at the time of the interview (Styers & Baker-Ward, 2006 ).",,,
C0078,Kuziemko et al. (2011) demonstrated that experimental subjects placed in the bottom two rungs of a six-rung ladder exhibited a willingness to take riskier gambles than those on the other rungs.,,,
C0079,"…Dwivedi, Naito, & Gruzelier, 2005) and openness (De Fruyt, Van De Wiele, & Van Heeringen, 2000) also have a strong relationship with the trait of self-transcendence, which involves the expansion of personal boundaries to encompass that which is greater than the self (De Fruyt et al., 2000).",,,
C0080,"As previous research demonstrated, the availability of uncongenial information may increase the probability of participants in choosing uncongenial information (Beam, 2014; Fischer et al., 2008; Frey, 1986).",,,
C0081,"…of past injustices might be both impacted by status change (Pettigrew, 1971), as well as predict intergroup outcomes (Wohl & Brascombe, 2009; Ross & Wilson, 2002), suggests that retrospective relative deprivation may potentially be another mediator between status change dimensions and…",,,
C0082,"Moral licensing occurs when past behaviour makes individuals more likely to act immorally without worrying about feeling or appearing immoral (Monin and Miller 2001), because their previous behaviour secures their moral image (Miller and Effron 2010).",,,
C0083,"As postulated by others (Schmidt & Besner, 2008), such a mechanism should indeed have a particularly pronounced effect on incongruent trials because the Stroop effect is predominantly driven by interference.",,,
C0084,"Students believe that they are especially likely to be called on to answer a question in class if they have not done the required reading (Risen & Gilovich, 2008), and people believe that they are especially likely to experience a mishap while traveling if they have not purchased travel insurance…",,,
C0085,"For example, Purdie-Vaughns et al. (2008) demonstrated that portraying a company as color blind was seen as an indication of the company’s racism if that portrayal was coupled with a less diverse picture of employees and predicted Black candidates reporting that they would not feel valued by the…",,,
C0086,"47 This prediction is consistent with the findings of Kuziemko et al. (2014), who present survey evidence collected by a marketing group that people just one income notch above the minimum wage threshold oppose a minimum wage increase the most even after controlling for demographics.",,,
C0087,Caruso et al. found that money priming increased scores on this measure.,,,
C0088,"…can be recognized and understood by students, it must first be registered cognitively in such a way that it is matched with their pre-existing word cache and then stored in their long-term lexicon (Rubenstein et al., 1970; Taft, 1979; Yap et al., 2008; Hawk et al., 2009; Rabovsky, et al., 2012).",,,
C0089,"…the lingering impact of collective perpetration manifests primarily in struggles with the group’s challenged moral values, norms, and reputation (Shnabel & Nadler, 2008), which are often accompanied by feelings of collective shame and guilt (Lickel et al., 2005), or efforts to justify or…",,,
C0090,Kuziemko et al. (2014) suggest that individuals particularly feel distressed by being in last place.,,,
C0091,"The fact that the JV1’s intangible knowledge shows no significant effect on the allocation of formal authority may be attributed to an endowment effect (Fehr et al., 2012).",,,
C0092,"For instance, if a person is first shown a high number and then asked to estimate the price of an unrelated item, their estimate is likely to be higher than if they were first shown a low number (Jacowitz & Kahneman, 1995).",,,
C0093,"Consistent with this possibility, previous studies have shown that more elaborately imagined events reduce anxiety, improve intergroup attitudes, and increase intentions to interact with unfamiliar others (22, 23).",,,
C0094,"Additionally, in a lexical decision study, Mirman and Magnuson (2008) reported slowed processing of words with near neighbours and speeded processing to words with distant semantic neighbours.",,,
C0095,"This cultural difference*the absence of failurebased shame displays by individuals from the most individualistic and self-expression valuing nations*suggests that just as Fijian cultural norms may discourage the expression of pride, other cultural groups may impose strict ‘‘display rules’’ on the appeasing, but status-lowering expression of shame.",,,
C0096,"Consistent with this view, manipulations of conﬂict tend to also produce differences in complexity indices, with higher conﬂict being associated with higher complexity (Dale et al., 2007; Koop & Johnson, 2013; McKinstry et al., 2008).",,,
C0097,Frontiers in Psychology | Cognition January 2013 | Volume 3 | Article 576 | 2 Husnu and Crisp (2010) hypothesized that more elaborate imagined contact would enhance intentions of future contact with outgroup members and that subjective ratings of vividness would mediate this enhancement.,,,
C0098,Isen and Patrick (1983) report a greater risk aversion with an increase in positive affect.,,,
C0099,"The AOT has been shown to predict performance on, for example, critical thinking tests and is an important measure in reasoning and decision-making research (e.g., Heijltjes, Van Gog, Leppink, & Paas, 2014; Toplak, West, & Stanovich, 2011; West, Toplak, & Stanovich, 2008).",,,
C0100,"…dynamic – goal-directed modulation of VWM takes place even in retrospect, after encoding is completed (Griffin and Nobre, 2003; Lepsien and Nobre, 2007; Makovski and Jiang, 2007; Makovski et al., 2008; Astle et al., 2009, 2012; Sligte et al., 2010; Lepsien et al., 2011; Pertzov et al., 2012a).",,,
C0101,"As with gambling, this behavior is driven by last-place aversion: People in the middle class or just below want to make sure that someone stays below them (Kuziemko et al., 2014).",,,
C0102,Huber and Kirchler (2012) and Kirchler et al. (2012) also suggested that these mis-pricings were mainly due to subjects being confused about the nature of the declining fundamental value of the asset in the experiment.,,,
C0103,"For instance, individuals may prefer to experience emotions such as anger or anxiety to enhance their performance in certain tasks [59, 112].",,,
C0104,"In large part the moral licensing literature has assumed that underlying 6 mechanism that causes moral licensing is self-image (Conway & Peetz, 2012; Monin & Miller, 2001; Sachdeva et al., 2009), however, a few recent papers have discussed the effect as a reputation-based phenomenon (Barclay, 2016;…",,,
C0105,"Kirchler et al. (2012) show that keeping the CA-Ratio constant in these markets only eliminates overpricing, but mispricing still remains high.5 However, the declining fundamental value concept might share some unrealistic features which could make the market prone to framing effects (Oechssler,…",,,
C0106,"While the observability of political merchandise will signal to consumers that their impression management motives have been satis ﬁ ed (Kristofferson, White, and Peloza 2014), the higher ﬁ nancial cost signals that donation behavior is diagnostic of one ’ s identity (Gneezy et al. 2012).",,,
C0107,"First, consistent with a basic tenets of a SPACE framework, there is evidence that numeric group representation can affect self-categorization [34], perceptions of prototypicality [22], and sense of belonging [14].",,,
C0108,"…findings in the psychology and consumer behavior literatures, which has found that angerrelated thoughts (Wilkowski et al. 2009), communion traits (Szymkow et al. 2013), and feelings of loneliness (Zhong and Leonardelli 2008) all have the capacity to influence an individual’s temperature…",,,
C0109,"Such stimuli may allow for a specialized frequency-change detection mechanism that is sensitive to very small frequency changes (Demany et al., 2008).",,,
C0110,"Although the psychometrics of adolescents ’ self-reports on personality have been found to be accurate (Soto et al., 2008), multi-informant data are necessary to establish construct validity of and a more complete perspective on emerging personality pathology (Tackett et al., 2013; Tackett, 2010).",,,
C0111,"At the same time, White Americans also avoid talking about race (Apfelbaum et al., 2012) and look to members of racially minoritized groups to address racial issues (Crosby et al., 2008; Kawakami et al., 2009).",,,
C0112,"…but also in the cognitive control system underlie the proportion congruency effect (see discussion below), which is different from the contingency learning account strongly claiming that the proportion congruency effect is not related to cognitive control at all [Schmidt and Besner, 2008].",,,
C0113,"As Payne, Burkley, and Stokes [37] have demonstrated, the implicitexplicit correspondence increases substantially with an increasing structural fit between the types of measures.",,,
C0114,"This observation is consistent with the notion that those with a higher NFC enjoy cognitive tasks and those with a lower NFC are inclined to reduce cognitive load [17, 18].",,,
C0115,"Previous studies have revealed that the partial-report procedure compared with the whole-report procedure can detect higher memory performance (Landman et al., 2003; Makovski et al., 2008).",,,
C0116,Similar conclusions apply to some of the affected hypotheses from Kirchler et al. (2012) and Stöckl et al. (2014).,,,
C0117,"Second, theorizing in numerical cognition (Janiszewski & Uy, 2008) suggests that more precise expressions of quantities are represented along more fine-grained mental scales.",,,
C0118,"Further, Colzato et al. (2008) suggested that the bilingual advantage is related to reactive inhibition, a process caused by facilitation of the relevant information in a conflict resolution situation, and not to active inhibition, a process in which irrelevant information is actively inhibited.",,,
C0119,"Furthermore, despite a linear relationship between valence and approach motivation, for some emotions, approach motivation can be stronger than valence (such as with desire), or it can be weaker than valence (as with amusement; Gable and Harmon-Jones, 2008).",,,
C0120,"However, as we [ 7 ,8] and others [4–6] have shown, many dissociations can be explained without postulating independent memory systems or independent sources of memory.",,,
C0121,"The experience of time, however, does not always run in tandem with the actual duration since that event (Block, 1989; James, 1890/1950; Ross & Wilson, 2002; Wilson & Ross, 2001).",,,
C0122,"…lend weight to an idea that has been applied in quite distinctly different contexts—such as verbal serial recall—namely that distraction depends on the joint action of the particular demands of the focal-task and irrelevant stimulus processing (see Jones & Tremblay, 2000; Marsh et al., 2008, 2009).",,,
C0123,"Qualified support for this claim was provided by Farrell and Lewandowsky (Farrell, 2006; Lewandowsky & Farrell, 2008b) who showed by simulation that two such theories, namely SEM (Henson, 1998a) and the primacy model (Page & Norris, 1998), were unable to account for the superior recall of…",,,
C0124,"Different dimensions of temperament have been shown to correlate with FFM of personality such as a positive correlation has been seen between persistence and conscientiousness (70,71) and, our previous study (49) has shown that neuroticism has a negative genetic correlation with conscientiousness.",,,
C0125,"Note that systematic processing might be due to the fact that the environmental stimulus is low on cognitive effort, whereas making recourse to (effortless) heuristics might be a strategy to compensate for the fact that having urban pictures in view commands comparatively more cognitive effort [49].",,,
C0126,65 1 3 A shared identity promotes herding in an information cascade… suggests that a common identity affects people’s preferences and in particular promotes altruism towards the ingroup (McLeish and Oxoby 2007; Chen and Li 2009; Chen and Chen 2011; Ockenfels and Werner 2014).,,,
C0127,"…social identities, such as religious and national identity (Barnes et al., 2014; McGregor et al., 2015; Wright et al., 2020), have been suggested as potential sources for aggression when such identities are salient and subsequently threatened (Fischer et al., 2010; Purdie-Vaughns et al., 2008 ).",,,
C0128,"As several scholars have argued, clinging to denial is a very common attitude among the perpetrators (Andrews, 2003; Barcus and Bernstein, 1997; Staub, 2006; Gobodo-Madikizela, 2012; Shnabel and Nadler, 2008).",,,
C0129,"Comme nous l’avons vu en introduction, un certain nombre d’études (Beltz & Kello, 2006; Chen et al., 2001; Correll, 2008; Hausdorff et al., 1996) ont montré que plus une tâche nécessitait d’effectuer des efforts moins l’expression de la complexité était forte chez les participants.",,,
C0130,"…MS-40 scale seem to diminish significantly when identity, i.e. the subjective individuality of a human being, is endangered by social comparisons (Fischer et al., 2008), but at the same time, those scoring high on the MS40 scale show a lower level of deformations in self-perception when compared…",,,
C0131,"For example, Mirman and Magnuson (2009) reported that refixation likelihood was increased among presentations of words defined as near semantic neighbours compared to words that are distant semantic neighbours (semantic neighbourhood density calculated over counts of semantic feature ratings of words). Additionally, in a lexical decision study, Mirman and Magnuson (2008) reported slowed processing of words with near neighbours and speeded processing to words with distant semantic neighbours.",,,
C0132,"…political policies that would benefit them if the policies would also benefit those on lower rungs of the economic ladder (Engler & Weisstanner, 2021; Kuziemko et al., 2014), and unproductive undermining behavior in the work-place due to a fear of talented subordinates (Leheta et al., 2017).",,,
C0133,"On the one hand, Akerlof and Kranton (2000), Chen and Li (2009), and Chen and Chen (2011) incorporate social identity into the social preference model and suggest that people have an intrinsic preference for group members, i.e., the deviation from group identity causes disutility.2 On the other…",,,
C0134,"As in Ersner-Hershfield et al. (2008), results from the emotion questionnaire indicated that the limited time manipulation gave rise to a significant decrease in the experience of happiness and a significant increase in the experience of sadness.",,,
C0135,"…that global self-esteem is a key determinant of people’s chronic patterns of responding to real, imagined, past, or future threats to their relational value (e.g., Baumeister et al. 1989 ; Cavallo et al. 2009 ; Lemay and Clark 2009 ; Murray et al. 2006 ; Murray et al. 2008 ; Wood and Forest 2011 ).",,,
C0136,"As yet, “temporal selfappraisal theory does not specify any particular mediator of the distancing bias” ( Ross & Wilson, 2002, p. 802 ).",,,
C0137,56 59 Moral self-licensing describes the phenomenon in which individuals use their own prior moral behavior to justify (or license) immoral behavior in the future.,,,
C0138,"…like clinical simulation videos significantly enhances traditional MCQ examinations by enabling the assessment of resident physicians’ ability to integrate verbal and non-verbal information, thereby replicating real-world clinical scenarios, and improving the assessment of clinical competence [24].",,,
C0139,Note that Heffetz and List (2013) fail to replicate this effect when - in the same setting as Ericson and Fuster (2011) - randomising the initial assignment of the mug or the pen.,,,
C0140,"…behaviors typically involve psychological withdrawal from one’s partner, a reaction that often involves reduced feelings of closeness to the partner, derogating the partner, and engaging in negative behaviors (e.g., Murray et al., 2008; Murray et al., 2002; Simpson, Rholes, & Phillips, 1996).",,,
C0141,"…do not focus on team contexts, the mere presence of gender diversity in a gender-diverse team is likely to render task-gender stereotypes salient (Purdie-Vaughns et al., 2008; Turner et al., 1987), which in gendered task contexts thus is likely to result in higher competence attributions and…",,,
C0142,"…interference, error rates, and post-error slowing) because previous research had found that depletion may increase response interference or error rates on attention control tasks (Friese & Wänke, 2014; Inzlicht & Gutsell, 2007; Job et al., 2010; Richeson & Shelton, 2003; Webb & Sheeran, 2003).",,,
C0143,"Second, it could restore their social status (Ohbuchi and Sato 1994, Shnabel and Nadler 2008) and enhance their self-concept (Shnabel and Nadler 2008).",,,
C0144,"Indeed, there has been some speculation that item-specific proportion congruent effects (Jacoby et al, 2003 ), which are similar to CSPC Stroop effects, can be entirely explained by a simple stimulus/response learning process (Schmidt & Besner, 2008 ) and do not reflect item-specific modulations to attention processes.",,,
