"annotation_id","annotator","assert","certainty","created_at","id","lead_time","sentence","task_id","updated_at"
11,"1","1","0.75","2026-07-15T05:19:36.573510Z",379,20.206,"However, in an important nonconfirmation, Farris et al. (2008) found that men were more likely than women not only to misperceive friendliness as sexual interest but also to misperceive sexual interest as friendliness.","T0011","2026-07-15T05:19:36.573510Z"
12,"1","1","0.75","2026-07-15T05:20:22.927312Z",380,24.635,"Establishing goodwill toward a transgressor is likely to involve empathic processing, which has been established as a significant predictor of forgiveness in general (Exline et al., 2008; Exline & Zell, 2009; Karremans, Van Lange, & Holland, 2005; McCullough et al., 1998; McCullough et al., 1997).","T0012","2026-07-15T05:20:22.927312Z"
13,"1","1","0.5","2026-07-15T05:20:50.204641Z",381,26.341,"For example, in our daily life, we may feel that polite words increase the sense of distance (Levinson and Brown 1987; Stephan et al. 2010), and visual and linguistic fluency decrease the psychological distance (Alter and Oppenheimer 2008; Roose et al. 2019).","T0013","2026-07-15T05:20:50.204641Z"
14,"1","1","0.75","2026-07-15T05:21:21.692724Z",382,29.434,"Sometimes, these superficial judgments can be quite accurate and predictive of important real-world outcomes [e.g., Rule and Ambady, 2008].","T0014","2026-07-15T05:21:21.692724Z"
15,"1","1","0.75","2026-07-15T05:21:45.606882Z",383,21.869,"4Goeree and Holt (2001) and Chen and Chen (2011) provide evidence that even when played in pairs subjects may be unable to reach efficient outcomes provided the costs of higher effort are large enough or the game is repeated with different partners.","T0015","2026-07-15T05:21:45.606882Z"
16,"1","1","0.5","2026-07-15T05:22:08.571242Z",384,21.802,"In a similar vein, Schmidt and Besner (2008) suggested that because PC is confounded with contingency, a stimulus-response contingency-learning process may account for the ISPC effect.","T0016","2026-07-15T05:22:08.571242Z"
17,"1","1","0.75","2026-07-15T05:22:33.192265Z",385,22.839,"The Needs-Based Model of Reconciliation argues that conflict leaves groups’ identities impaired.","T0017","2026-07-15T05:22:33.192265Z"
18,"1","1","0.75","2026-07-15T05:22:54.669950Z",386,20.74,"As noted above, natural sampling is often considered a remedy for biases introduced by selective sampling because it enables learners to “conserve the properties of the universe” (Fiedler, 2008), such that the distribution of the sample will mirror the distribution of the source in an unbiased fashion.","T0018","2026-07-15T05:22:54.669950Z"
19,"1","1","1","2026-07-15T05:23:15.914651Z",387,20.331,"After an initial act of self-control, a reduction in such brain potentials mediated the decline in performance on a subsequent task (Inzlicht & Gutsell, 2007).","T0019","2026-07-15T05:23:15.914651Z"
20,"1","1","0.5","2026-07-15T05:23:40.407473Z",388,23.77,"However, as the results presented by Dulleck et al. (2011) suggest, this theoretical possibility is irrelevant in an experiment.","T0020","2026-07-15T05:23:40.407473Z"
21,"1","0","","2026-07-15T05:24:06.706667Z",389,24.905,"This is comparable to Kessler and Roth (2012) where 36 percent register as a donor in the baseline treatment and 74 percent in the priority treatment.","T0021","2026-07-15T05:24:06.706667Z"
22,"1","1","1","2026-07-15T05:24:31.411726Z",390,23.41,"Nosek et al. (2002) showed that both explicit and implicit attitudes predict performance.","T0022","2026-07-15T05:24:31.411726Z"
23,"1","0","","2026-07-15T05:28:49.431030Z",391,257.24,"Recognition rates for the basic emotions were generally lower than have been previously found in the United States and higher than recognition rates found in Burkina Faso [24][22].","T0023","2026-07-15T05:28:49.431030Z"
