"annotation_id","annotator","assert","certainty","created_at","id","lead_time","sentence","task_id","updated_at"
196,"1","1","1","2026-07-15T12:40:56.576575Z",763,12.888,"Another known effect is that if there is a blank in the T1+1 position instead of a distractor, the AB is decreased, but not when it is in the T1+2 position ( Chun & Potter, 1995; Raymond et al., 1992).","T0027","2026-07-15T12:40:56.576575Z"
195,"1","1","0.75","2026-07-15T12:40:43.039827Z",764,14.93,"The greater the cognitive ability, the more systematic the information processing whereas the lower the cognitive ability, the higher the possibility of heuristic-based information processing [61].","T0028","2026-07-15T12:40:43.039827Z"
194,"1","0","","2026-07-15T12:40:26.945033Z",765,11.792,"The concept was brought to attention by Monin and Miller (2001), and takes into account the fact that a person is able to have behaviors of dubious morality as a result of a first value / moral behavior.","T0029","2026-07-15T12:40:26.945033Z"
193,"1","0","","2026-07-15T12:40:14.381966Z",766,11.977,"Dual-process theories (Oberauer, 2008; Yonelinas, 2002) assume that recognition is based on two sources of information: familiarity and recollection.","T0030","2026-07-15T12:40:14.381966Z"
192,"1","1","0.75","2026-07-15T12:40:01.073327Z",767,15.396,"In fact, past perpetration can substantially increase the need of perpetrator group members to be (morally) accepted by the victim group (Shnabel & Nadler, 2008), potentially intensifying the fear of (moral) rejection.","T0031","2026-07-15T12:40:01.073327Z"
191,"1","1","1","2026-07-15T12:39:44.768744Z",768,12.475,"Indeed, the role of inhibitory control in the AB has also been also demonstrated in a recent bilingual study (Colzato et al., 2008).","T0032","2026-07-15T12:39:44.768744Z"
190,"1","1","0.75","2026-07-15T12:39:31.137937Z",769,15.954,"Recent terror management research has found that family c n temper the affect of mortality salience (Cox et al., 2008; Zhou, Liu, Chen, & Yu, 2008).","T0033","2026-07-15T12:39:31.137937Z"
189,"1","1","0.5","2026-07-15T12:39:13.968548Z",770,14.629,"For example, late middle childhood appears to be the lower bound for obtaining psychometrically sound self-reports on most trait measures (Allik et al. 2004, Capaldi & Rothbart 1992, De Fruyt et al. 2000, Soto et al. 2008).","T0034","2026-07-15T12:39:13.968548Z"
188,"1","1","0.75","2026-07-15T12:38:58.190684Z",771,23.007,"People tend to be more critical of a distant past self than a recent past self (Wilson & Ross, 2001), and research shows that the subjective feeling of temporal distance can be more powerful than actual clock or calendar time (Ross & Wilson, 2002; Wilson & Ross, 2003).","T0035","2026-07-15T12:38:58.190684Z"
187,"1","1","1","2026-07-15T12:38:33.840801Z",772,15.872,"These attachments to early caregivers become a proxy for existential safety well into adulthood, protecting individuals from existential anxieties and promoting feelings of self-worth (Cox et al., 2008).","T0036","2026-07-15T12:38:33.840801Z"
186,"1","1","0.5","2026-07-15T12:38:16.999589Z",773,15.648,"Findings also suggest that people project their own felt communal responsiveness onto partners, thus perceiving partners to be just as caring and supportive as they themselves are (Lemay & Clark, 2008).","T0037","2026-07-15T12:38:16.999589Z"
185,"1","1","0.75","2026-07-15T12:37:59.785465Z",774,16.621,"A growing body of evidence shows that round listing prices (or offers) usually put the seller at a disadvantaged position in negotiations compared to precise listing prices (Janiszewski and Uy 2008; Loschelder, Stuppi, and Trotschel 2014; Mason et al. 2013).","T0038","2026-07-15T12:37:59.785465Z"
184,"1","1","1","2026-07-15T12:37:42.307903Z",775,15.383,"Schwarz et al. (1985) lieten zien dat de respondent uit de antwoordcategorieën afleidde wat ‘normaal’ was, wat de onderzoeker als antwoord verwachtte.","T0039","2026-07-15T12:37:42.307903Z"
183,"1","1","1","2026-07-15T12:37:26.234920Z",776,18.68,"Emotional expressions provide information to wrongdoers that can be used as feedback to make inferences about their past behaviors, and motivate them to correct their future behavior (Van Kleef 2009).","T0040","2026-07-15T12:37:26.234920Z"
182,"1","1","1","2026-07-15T12:37:02.945074Z",777,16.957,"Amodio et al. (2008) found that, compared to other individuals, high IMS–low EMS individuals showed heightened conflict detection following stereotypical errors on the Weapons Identification Task (Payne, 2001).","T0041","2026-07-15T12:37:02.945074Z"
181,"1","1","0.5","2026-07-15T12:36:45.004591Z",778,20.038,"Prior research based on single goal contexts suggests that it is critical to engage in background monitoring to prevent interference and proactively detect task-irrelevant stimuli that may lead to interruptions (Goschke & Dreisbach, 2008).","T0042","2026-07-15T12:36:45.004591Z"
180,"1","1","1","2026-07-15T12:36:24.163800Z",779,15.81,"For example, lay theories regarding other people do not view them as evolving into better people (Ross & Wilson, 2002).","T0043","2026-07-15T12:36:24.163800Z"
179,"1","0","","2026-07-15T12:36:07.612542Z",780,11.963,"As expected, and in accordance with Janssen et al. (2008), we obtained a robust frequency effect in immediate naming, which disappeared in delayed naming (Frequency SOA interaction in the analysis of naming latencies): F1(1, 30) 39.58, p .001, MSE 1,608.33; F2(1, 38) 11.75, p .01, MSE 6,712.10.","T0044","2026-07-15T12:36:07.612542Z"
178,"1","1","0.75","2026-07-15T12:35:54.354276Z",781,16.611,"Additionally, Mundy et al. (2007) suggest that comparison driven differentiation is the result of short term adaptation or habituation and Mitchell et al. (2008) assert that higher level memory mechanisms are involved in the representation of a stimulus.","T0045","2026-07-15T12:35:54.354276Z"
177,"1","1","1","2026-07-15T12:35:29.178461Z",782,17.558,"Experimental studies have demonstrated the effect of reference point formation on effort provision ((Abeler et al., 2011)), the pricing of securities ((Kahneman et al., 1991)) and consumer products ((Ericson and Fuster, 2011)).","T0046","2026-07-15T12:35:29.178461Z"
176,"1","1","1","2026-07-15T12:35:10.297258Z",783,14.324,"On the one hand, Rule and Ambady (2008) found inferences from CEOs’ facial appearance do not only provide information about objective performance but are also significantly related to company profits.","T0047","2026-07-15T12:35:10.297258Z"
175,"1","1","0.75","2026-07-15T12:34:54.820779Z",784,13.388,"A conceptual metaphor mapping is typically unidirectional [40] and moves from a concrete or physical source to a more abstract target [9,24,40] (Fig.","T0048","2026-07-15T12:34:54.820779Z"
174,"1","1","0.75","2026-07-15T12:34:40.579650Z",785,14.46,"This also supports the idea that differences in measurement alone cannot account for the automatic–reflective distinction (e.g., Cunningham et al., 2001; Greenwald & Farnham, 2000; Hofmann et al., 2005; Nosek & Smith, 2007; Payne et al., 2008; Schultheiss, Yankova, Dirlikov, & Schad, 2009).","T0049","2026-07-15T12:34:40.579650Z"
173,"1","1","1","2026-07-15T12:34:24.651046Z",786,15.956,"In turn, this idea led to the theory (Vul and Pashler, 2008) that when we observe the wisdom of the crowd, what we are witness to is not a phenomenon working on a judgment distribution formed by people who are certain, and who would form the same distribution if asked to judge again.","T0050","2026-07-15T12:34:24.651046Z"
172,"1","1","1","2026-07-15T12:34:07.373645Z",787,16.281,"It is interesting to note that related speech produced more intrusions from the irrelevant speech when presented during the presentation phase of the task in comparison to the test phase of the task in the study by Marsh et al. (2008).","T0051","2026-07-15T12:34:07.373645Z"
171,"1","1","1","2026-07-15T12:33:50.149900Z",788,16.166,"Some of them found a negative (e.g., Soto et al., 2008) correlation, and others a positive correlation (e.g., Costello & Roodenburg, 2015; Meisenberg & Williams, 2008) between these two variables.","T0052","2026-07-15T12:33:50.149900Z"
170,"1","0","","2026-07-15T12:33:33.088881Z",789,13.393,"To test this, we calculated the benefit of averaging by subtracting the square error of average estimates from the square error of first estimates (similar procedures have been used before; Herzog & Hertwig, 2009; Steegen et al., 2014; Vul & Pashler, 2008).","T0053","2026-07-15T12:33:33.088881Z"
169,"1","1","0.5","2026-07-15T12:33:18.303267Z",790,15.513,"They concluded that subjects answering the scale might be using the response alternatives as a comparison for their answer instead of the actual meaning of hours in the options [18].","T0054","2026-07-15T12:33:18.303267Z"
168,"1","1","0.75","2026-07-15T12:33:02.099195Z",791,18.458,"In other circumstances, the unchosen option can (slightly or heavily) attract the hand movement, and so the curvature of trajectories increases (Grant & Spivey, 2003; McKinstry et al., 2008; Song & Nakayama, 2009).","T0055","2026-07-15T12:33:02.099195Z"
167,"1","0","","2026-07-15T12:32:42.099902Z",792,13.124,"In this paper I argue that among the psychological roots of this lack of confidence there is a kind of intuitive thinking that can be traced back to a specific superstitious belief: the superstitious belief that “it is bad luck to tempt fate” (Risen & Gilovich, 2007, 2008).","T0056","2026-07-15T12:32:42.099902Z"
166,"1","1","0.5","2026-07-15T12:32:27.030147Z",793,22.709,"For instance, it has been suggested that there is no clear dissociation between explicit and implicit memory systems (Berry et al. 2008; Dew and Cabeza 2011) and that consciousness does not always accompany episodic memory retrieval (Hannula and Ranganath 2009; Henke 2010).","T0057","2026-07-15T12:32:27.030147Z"
165,"1","1","0.75","2026-07-15T12:32:01.878761Z",794,16.259,"Ifcher and Zarghamee (2011) finds a positive effect on time preferences—happier people tend to be more patient.","T0058","2026-07-15T12:32:01.878761Z"
164,"1","1","1","2026-07-15T12:31:44.400277Z",795,16.226,"In contrast, Janssen et al. (2008) obtained semantic interference in delayed naming when participants had to decide between naming the picture or reading the distractor word aloud depending on its ink colour.","T0059","2026-07-15T12:31:44.400277Z"
163,"1","1","1","2026-07-15T12:31:27.415312Z",796,15.888,"In this respect, tests administered to samples of low educational levels, low intelligence or adolescents and pre-adolescents have the worst fi ts to the fi ve factor model of personality (Meisenberg & Williams, 2008; Rammstedt et al., 2010; Rammstedt & Kemper, 2011; Soto et al., 2008).","T0060","2026-07-15T12:31:27.415312Z"
162,"1","1","1","2026-07-15T12:31:10.544624Z",797,14.526,"Finally, Ifcher and Zarghamee (2011) find that inducing mild positive affect using a video clip leads to more patient decisions involving income receipt over time.","T0061","2026-07-15T12:31:10.544624Z"
161,"1","1","1","2026-07-15T12:30:54.862908Z",798,14.168,"Similarly, holding a heavy (vs. light) Frontiers in Psychology | www.frontiersin.org July 2015 | Volume 6 | Article 9402 object heightens the perceived significance of an object or the weight of a topic (Jostmann et al., 2009; Schneider et al., 2011).","T0062","2026-07-15T12:30:54.862908Z"
160,"1","1","1","2026-07-15T12:30:39.740529Z",799,15.667,"Goff, Steele, and Davies (2008) show that whites experience a lot of anxiety about 41 appearing racist and that this effect is lessened only when they can perceive the interaction as a safe, learning opportunity.","T0063","2026-07-15T12:30:39.740529Z"
159,"1","0","","2026-07-15T12:30:23.200520Z",800,12.111,"However, as we show later, encoding conditions exist in which SOB and C-SOB predict a nonmonotonic rather than a monotonic primacy gradient.","T0064","2026-07-15T12:30:23.200520Z"
158,"1","1","1","2026-07-15T12:30:09.862891Z",801,17.545,"It has been demonstrated that the self-inferences that participants make can then influence later self-judgments—for example, “I might not do well in school this term” (Haddock, 1998; Olson & Ross, 1984; Schwarz et al., 1985; Schwarz & Scheuring, 1989).","T0065","2026-07-15T12:30:09.862891Z"
157,"1","0","","2026-07-15T12:29:51.592599Z",802,12.97,"Since C-SOB appears to be the only existing theory that provides a principled, quantitative account of the mixed-sequence advantage, we conclude that in verbal short-term memory item similarity effects involve a combination of similarity-sensitive encoding and similarity-sensitive retrieval.","T0066","2026-07-15T12:29:51.592599Z"
156,"1","1","0.75","2026-07-15T12:29:37.785444Z",803,15.645,"Physicians are commonly assumed to be better informed than their patients (e.g., Dulleck and Kerschbamer, 2006; Dulleck et al., 2011), allowing for moral hazard (e.","T0067","2026-07-15T12:29:37.785444Z"
155,"1","1","1","2026-07-15T12:29:21.275720Z",804,15.778,"Murray et al. (2008), people with low self-esteem prioritize self-protection goals in close relationships.","T0068","2026-07-15T12:29:21.275720Z"
154,"1","1","1","2026-07-15T12:27:19.707065Z",805,396.141,"Second, patients lack the expertise to assess service quality independently because medical services are typical credence goods [14], and the inherent information asymmetry makes it difficult for patients to evaluate the utility of these services both before and after consumption [55].","T0069","2026-07-15T12:27:19.707065Z"
153,"1","1","1","2026-07-15T12:20:41.175680Z",806,89.893,"Existing research has shown that positive, pleasant and successful experiences are stored temporally closer to the present (Dickson & Bates, 2005; Ross & Wilson, 2002).","T0070","2026-07-15T12:20:41.175680Z"
152,"1","1","1","2026-07-15T12:19:10.262971Z",807,39.262,"Such age-related changes in constructing the future have been correlated with episodic (e.g., memory deficits, Addis et al., 2008) and non-episodic factors (e.g., narrative style, Gaesser et al., 2011).","T0071","2026-07-15T12:19:10.262971Z"
151,"1","1","0.75","2026-07-15T12:18:27.552979Z",808,39.953,"In situations that put trust in the partner’s caring in question, unfulfilled desires for connection should heighten low self-esteem people’s attention to internal cues that suggest connecting to the partner is still possible (DeWall, Maner, & Rouby, 2009; Gardner, Pickett, & Brewer, 2000; Murray et al., 2008).","T0072","2026-07-15T12:18:27.552979Z"
150,"1","1","0.75","2026-07-15T12:17:46.505616Z",809,38.295,"Förster, Liberman, and Kuschel (2008) proposed that since high level construals facilitate the use of broad inclusive categories, such construals should make one likely to include the context and the target in the same category, with assimilation as a result.","T0073","2026-07-15T12:17:46.505616Z"
149,"1","1","1","2026-07-15T12:16:31.008434Z",810,13.464,"The varying degrees of involvement determine a consumer’s route choice when processing information, according to Cacioppo et al. (1983).","T0074","2026-07-15T12:16:31.008434Z"
148,"1","1","1","2026-07-15T12:16:16.636496Z",811,25.266,"Indeed, a great deal of research has shown, for example, that whether responses or preferences are assessed with different formats or endpoint labeling can bias judgments in systematic ways (Fischer and Hawkins 1993; Schwarz et al. 1985; Slovic, Griffin, and Tversky 1990; Spence 1990; Thomas and Kyung 2019).","T0075","2026-07-15T12:16:16.636496Z"
147,"1","0","","2026-07-15T12:15:49.952118Z",812,43.031,"In the previous section, we discussed how we set up the experiment resembling the design by Kirchler et al. (2012).","T0076","2026-07-15T12:15:49.952118Z"
146,"1","1","0.75","2026-07-15T12:15:04.411743Z",813,47.454,"By contrast, if a past self is evaluated negatively, people often try to contrast away from it by construing their past self as dissimilar to their present self (e.g., Ross & Wilson, 2002; Wilson et al., 2009; Wilson & Ross, 2001).","T0077","2026-07-15T12:15:04.411743Z"
145,"1","1","0.5","2026-07-15T12:14:16.210610Z",814,35.738,"This is because the information to be expressed in the noun and in the adjective is presented in the same location and is therefore likely to be attended in parallel (e.g., DeSchepper & Treisman, 1996; Roelofs, 2008b; Wühr & Frings, 2008).","T0078","2026-07-15T12:14:16.210610Z"
144,"1","1","1","2026-07-15T12:13:39.515167Z",815,16.373,"Finally, numeric group representation directly affects collective and intergroup outcomes, such as trust [14] and intergroup integration preferences [38].","T0079","2026-07-15T12:13:39.515167Z"
143,"1","1","0.5","2026-07-15T12:13:14.456686Z",816,15.679,"Tversky and Kahneman (1973, 1974) have suggested that ideas that come to mind first or most easily may influence judgment.","T0080","2026-07-15T12:13:14.456686Z"
142,"1","1","1","2026-07-15T12:12:58.010144Z",817,22.479,"Parental, spousal, romantic, and friendly relationships act as buffering mechanisms against death anxiety (Cox et al., 2008; Florian et al., 2002; Mikulincer et al., 2003), so it is reasonable to assume that the therapeutic dyad also acts as a potential factor in the diminishment of death anxiety.","T0081","2026-07-15T12:12:58.010144Z"
141,"1","1","1","2026-07-15T12:12:33.175278Z",818,39.583,"But the ostraphobia (Eriksson & Simpson, 2011) and last place aversion (Kuziemko et al., 2011) arguments on which we based our predictions posit an aversion to being alone at the bottom of a rank or distribution.","T0082","2026-07-15T12:12:33.175278Z"
140,"1","1","1","2026-07-15T12:11:52.253351Z",819,33.142,"Masicampo and Baumeister (2008) found the effect of a sugary drink was greatest when both groups started with lower glucose levels, and the Stroop test depletes glucose (Gailliot et al., 2007).","T0083","2026-07-15T12:11:52.253351Z"
139,"1","1","1","2026-07-15T12:11:18.239123Z",820,35.324,"This finding is consistent with that of Fischer et al. (2008), who report that the effect of selective exposure is more pronounced when more signals are available.","T0084","2026-07-15T12:11:18.239123Z"
138,"1","0","","2026-07-15T12:10:41.980707Z",821,21.973,"Even more important for the current set of studies is that one of the effects that failed to replicate was the impact of the American flag on conservatism 69 (re: Carter et al., 2011a).","T0085","2026-07-15T12:10:41.980707Z"
137,"1","0","","2026-07-15T12:10:13.766373Z",822,12.872,"Thus, with regard to the critical delayed naming condition, we obtained the same data pattern with the English materials taken from Janssen et al. (2008) as we had observed with German materials in Experiments 1 through 4.","T0086","2026-07-15T12:10:13.766373Z"
136,"1","1","1","2026-07-15T12:09:59.650363Z",823,35.229,"For instance, Chartrand and Bargh (1996) demonstrated that a general impression formation goal could be primed; Albarracin et al. (2008) also demonstrated that activating general action or inaction goals influenced behavioral outcome (doodling on a piece of paper) as well as cognitive outcomes (recall performance; problem solving).","T0087","2026-07-15T12:09:59.650363Z"
135,"1","1","1","2026-07-15T12:09:23.604763Z",824,27.338,"Some studies, which more directly manipulated attention, have shown that when attention is directed away, ensemble coding of low-level features can still be established [4, 12, 13].","T0088","2026-07-15T12:09:23.604763Z"
134,"1","1","0.75","2026-07-15T12:08:55.397225Z",825,15.701,"Essentially, the idea is that a non-conflict process such as contingency learning will not be merely additive with conflict-induced ones (Schmidt & Besner, 2008) but its availability in MI conditions may actually determine whether conflict-induced processes are used at all in those conditions.","T0089","2026-07-15T12:08:55.397225Z"
133,"1","1","1","2026-07-15T12:08:38.918931Z",826,28.576,"Given the experimental evidence indicating mild positive affect reduces time preference with respect to money (Ifcher and Zarghamee 2011) and the link between physical activity and psychological well-being, it is crucial to control for some measure of psychological well-being.","T0090","2026-07-15T12:08:38.918931Z"
132,"1","1","1","2026-07-15T12:08:09.473986Z",827,50.757,"The tendency to perceive similarity between oneself and one’s close partners is motivated by a desire to feel positively about one’s close relationships in the face of an imperfect reality (Lemay & Clark, 2008; Murray et al., 2002).","T0091","2026-07-15T12:08:09.473986Z"
131,"1","1","0.5","2026-07-15T12:07:16.221888Z",828,41.344,"In fact, sad or negative endings may enhance meaningfulness, and thereby appreciation, by encouraging rumination of one’s mortality (Ersner-Hershfield et al., 2008; Hofer, 2013).","T0092","2026-07-15T12:07:16.221888Z"
130,"1","0","","2026-07-15T12:06:33.584760Z",829,10.854,"Importantly, the assumption that contingency learning is the only source of PC effects (Schmidt & Besner, 2008) implies that no PC effects should be observed in PC manipulations that control for contingency learning operations.","T0093","2026-07-15T12:06:33.584760Z"
129,"1","1","0.75","2026-07-15T12:06:21.547537Z",830,41.092,"Interestingly, similar to studies of recognition memory, recall performance in aging has been characterized by loss of specific details and emphasis on information that capture the central idea of an experience (Addis et al. 2008).","T0094","2026-07-15T12:06:21.547537Z"
128,"1","1","0.75","2026-07-15T12:05:39.389843Z",831,13.926,"In particular, the need for agency, has been found to be deprived in group members that suffered from violent or structural forms of victimization 16–18 .","T0095","2026-07-15T12:05:39.389843Z"
127,"1","0","","2026-07-15T12:04:59.683074Z",832,29.041,"An alternative way to capture future thinking is to use performance-based assessments that capture the quality of each individual future thought imagined, as often done within cognitive psychology (e.g., Addis et al., 2008; Levine et al., 2002).","T0096","2026-07-15T12:04:59.683074Z"
126,"1","0","","2026-07-15T12:04:29.764716Z",833,27.673,"For instance, participants in three of the five experiments reported by Caruso et al. (2013) may have been more inclined to have positive views about money because they were enrolled at the University of Chicago, an institution with a reputation for achievements in economics.","T0097","2026-07-15T12:04:29.764716Z"
125,"1","1","1","2026-07-15T12:04:00.829162Z",834,21.722,"For instance, Alvarez and Oliva (2008) asked subjects to perform a difficult multiple-object tracking task and found that observers were much more accurate at localizing the centroid of the distracter objects than reporting on the position of any individual distracter.","T0098","2026-07-15T12:04:00.829162Z"
124,"1","0","","2026-07-15T12:03:38.365293Z",835,11.096,"We argue that LGBTQ + individuals will be more attracted to organizations with an identity-conscious approach compared to an identity-blind approach because this will signal a more identity safe environment to them (Chaney et al., 2016; Howansky et al., 2021; Purdie-Vaughns et al., 2008).","T0099","2026-07-15T12:03:38.365293Z"
123,"1","1","1","2026-07-15T12:03:25.211734Z",836,20.388,"When elaboration is relatively moderate, the multiple roles framework suggests that variables will likely influence the amount of processing, such as was observed when important values were paired with a message (Blankenship & Wegener, 2008).","T0100","2026-07-15T12:03:25.211734Z"
122,"1","1","0.75","2026-07-15T12:02:45.155219Z",837,15.55,"Communicating explicitly that diversity is valued is another strategy that can lessen stereotype threat and promote inclusivity (10).","T0101","2026-07-15T12:02:45.155219Z"
121,"1","0","","2026-07-15T12:02:21.742236Z",838,16.219,"This perception of precarious positionality within and between groups may activate fears of being in last place (i.e., last place aversion 19 ) and may stoke a general sense of victimization that others have argued can lead to hierarchy-enhancing efforts 20,21 .","T0102","2026-07-15T12:02:21.742236Z"
120,"1","1","1","2026-07-15T12:02:04.452300Z",839,16.291,"Similarly, studies measuring hand and eye movements show that attitudes and preferences are dynamically constructed over the course of a trial (20, 29, 30).","T0103","2026-07-15T12:02:04.452300Z"
119,"1","1","1","2026-07-15T12:01:44.308380Z",840,30.31,"Alvarez and Oliva (2008) even found that all presented items had to be included in their average to achieve the observed precision of observers ’ averaging performance.","T0104","2026-07-15T12:01:44.308380Z"
118,"1","1","1","2026-07-15T12:01:12.770404Z",841,16.336,"The risk regulation model proposes that, although having a satisfying relationship requires accepting dependence and risking rejection, people are motivated to minimize the pain such rejection can bring (Murray et al., 2008).","T0105","2026-07-15T12:01:12.771913Z"
