task_id,src_id,item_type,gold_assert,gold_cert,model_s,arm,year,sentence
T0020,C5786,ordinary,,,0.0,robust,2015,"However, as the results presented by Dulleck et al. (2011) suggest, this theoretical possibility is irrelevant in an experiment."
T0021,C4871,duplicate,,,0.5,robust,2016,This is comparable to Kessler and Roth (2012) where 36 percent register as a donor in the baseline treatment and 74 percent in the priority treatment.
T0022,C4867,ordinary,,,0.5,robust,2023,Nosek et al. (2002) showed that both explicit and implicit attitudes predict performance.
T0023,C4486,ordinary,,,0.5,robust,2015,Recognition rates for the basic emotions were generally lower than have been previously found in the United States and higher than recognition rates found in Burkina Faso [24][22].
T0024,C0848,ordinary,,,0.5,refuted,2014,"Specifically, low Disinhibition via FFM Agreeableness and Conscientiousness as well as low Negative Emotionality or FFM Neuroticism is captured by Alpha/Stability whereas Positive Emotionality or FFM Extraversion is captured by Beta/Plasticity [17,4]."
T0025,C1396,ordinary,,,0.75,refuted,2011,"Liefooghe and colleagues (Liefooghe et al., 2008) concluded that the effect of task-switching on concurrent maintenance of information in working memory did not necessarily rely on specific task reconfiguration processes but instead from a combination of simple and more fundamental attention demanding processes."
T0026,C3030,ordinary,,,0.5,refuted,2025,"Executives in the moral cleansing mode tend to direct their attention toward the interests and welfare of those who were harmed by their excessive pay (e.g., employees, shareholders, and society in general) (Carnevale & Gangloff, 2023; Shnabel & Nadler, 2008)."
T0027,C2572,ordinary,,,0.5,refuted,2009,"Another known effect is that if there is a blank in the T1+1 position instead of a distractor, the AB is decreased, but not when it is in the T1+2 position ( Chun & Potter, 1995; Raymond et al., 1992)."
T0028,C1754,ordinary,,,0.8,refuted,2021,"The greater the cognitive ability, the more systematic the information processing whereas the lower the cognitive ability, the higher the possibility of heuristic-based information processing [61]."
T0029,C3567,ordinary,,,0.5,refuted,2020,"The concept was brought to attention by Monin and Miller (2001), and takes into account the fact that a person is able to have behaviors of dubious morality as a result of a first value / moral behavior."
T0030,C4131,ordinary,,,0.5,refuted,2014,"Dual-process theories (Oberauer, 2008; Yonelinas, 2002) assume that recognition is based on two sources of information: familiarity and recollection."
T0031,C3738,ordinary,,,0.75,refuted,2024,"In fact, past perpetration can substantially increase the need of perpetrator group members to be (morally) accepted by the victim group (Shnabel & Nadler, 2008), potentially intensifying the fear of (moral) rejection."
T0032,C1831,ordinary,,,0.5,refuted,2011,"Indeed, the role of inhibitory control in the AB has also been also demonstrated in a recent bilingual study (Colzato et al., 2008)."
T0033,C0619,ordinary,,,0.5,refuted,2009,"Recent terror management research has found that family c n temper the affect of mortality salience (Cox et al., 2008; Zhou, Liu, Chen, & Yu, 2008)."
T0034,C2147,ordinary,,,0.5,robust,2021,"For example, late middle childhood appears to be the lower bound for obtaining psychometrically sound self-reports on most trait measures (Allik et al. 2004, Capaldi & Rothbart 1992, De Fruyt et al. 2000, Soto et al. 2008)."
T0035,C0527,ordinary,,,0.75,refuted,2015,"People tend to be more critical of a distant past self than a recent past self (Wilson & Ross, 2001), and research shows that the subjective feeling of temporal distance can be more powerful than actual clock or calendar time (Ross & Wilson, 2002; Wilson & Ross, 2003)."
T0036,C4270,ordinary,,,0.8,refuted,2012,"These attachments to early caregivers become a proxy for existential safety well into adulthood, protecting individuals from existential anxieties and promoting feelings of self-worth (Cox et al., 2008)."
T0037,C5212,ordinary,,,0.8,refuted,2011,"Findings also suggest that people project their own felt communal responsiveness onto partners, thus perceiving partners to be just as caring and supportive as they themselves are (Lemay & Clark, 2008)."
T0038,C3493,ordinary,,,0.8,robust,2023,"A growing body of evidence shows that round listing prices (or offers) usually put the seller at a disadvantaged position in negotiations compared to precise listing prices (Janiszewski and Uy 2008; Loschelder, Stuppi, and Trotschel 2014; Mason et al. 2013)."
T0039,C5184,ordinary,,,0.8,refuted,2014,"Schwarz et al. (1985) lieten zien dat de respondent uit de antwoordcategorieën afleidde wat ‘normaal’ was, wat de onderzoeker als antwoord verwachtte."
T0040,C5556,ordinary,,,0.8,refuted,2020,"Emotional expressions provide information to wrongdoers that can be used as feedback to make inferences about their past behaviors, and motivate them to correct their future behavior (Van Kleef 2009)."
T0041,C1194,ordinary,,,0.8,refuted,2011,"Amodio et al. (2008) found that, compared to other individuals, high IMS–low EMS individuals showed heightened conflict detection following stereotypical errors on the Weapons Identification Task (Payne, 2001)."
T0042,C4845,ordinary,,,0.8,robust,2023,"Prior research based on single goal contexts suggests that it is critical to engage in background monitoring to prevent interference and proactively detect task-irrelevant stimuli that may lead to interruptions (Goschke & Dreisbach, 2008)."
T0043,C5143,ordinary,,,0.5,refuted,2020,"For example, lay theories regarding other people do not view them as evolving into better people (Ross & Wilson, 2002)."
T0044,C3533,ordinary,,,0.8,refuted,2011,"As expected, and in accordance with Janssen et al. (2008), we obtained a robust frequency effect in immediate naming, which disappeared in delayed naming (Frequency SOA interaction in the analysis of naming latencies): F1(1, 30) 39.58, p .001, MSE 1,608.33; F2(1, 38) 11.75, p .01, MSE 6,712.10."
T0045,C0068,ordinary,,,0.5,refuted,2013,"Additionally, Mundy et al. (2007) suggest that comparison driven differentiation is the result of short term adaptation or habituation and Mitchell et al. (2008) assert that higher level memory mechanisms are involved in the representation of a stimulus."
T0046,C0638,ordinary,,,0.8,refuted,2017,"Experimental studies have demonstrated the effect of reference point formation on effort provision ((Abeler et al., 2011)), the pricing of securities ((Kahneman et al., 1991)) and consumer products ((Ericson and Fuster, 2011))."
T0047,C0708,ordinary,,,0.8,refuted,2023,"On the one hand, Rule and Ambady (2008) found inferences from CEOs’ facial appearance do not only provide information about objective performance but are also significantly related to company profits."
T0048,C2548,duplicate,,,0.8,refuted,2024,"A conceptual metaphor mapping is typically unidirectional [40] and moves from a concrete or physical source to a more abstract target [9,24,40] (Fig."
T0049,C2368,ordinary,,,0.5,robust,2014,"This also supports the idea that differences in measurement alone cannot account for the automatic–reflective distinction (e.g., Cunningham et al., 2001; Greenwald & Farnham, 2000; Hofmann et al., 2005; Nosek & Smith, 2007; Payne et al., 2008; Schultheiss, Yankova, Dirlikov, & Schad, 2009)."
T0050,C0767,ordinary,,,0.5,robust,2019,"In turn, this idea led to the theory (Vul and Pashler, 2008) that when we observe the wisdom of the crowd, what we are witness to is not a phenomenon working on a judgment distribution formed by people who are certain, and who would form the same distribution if asked to judge again."
T0051,C1727,ordinary,,,0.7,refuted,2014,It is interesting to note that related speech produced more intrusions from the irrelevant speech when presented during the presentation phase of the task in comparison to the test phase of the task in the study by Marsh et al. (2008).
T0052,C3716,ordinary,,,0.5,robust,2024,"Some of them found a negative (e.g., Soto et al., 2008) correlation, and others a positive correlation (e.g., Costello & Roodenburg, 2015; Meisenberg & Williams, 2008) between these two variables."
T0053,A122,gold_nonassert,0,,,,,"To test this, we calculated the benefit of averaging by subtracting the square error of average estimates from the square error of first estimates (similar procedures have been used before; Herzog & Hertwig, 2009; Steegen et al., 2014; Vul & Pashler, 2008)."
T0054,C4892,gold_hedged,1,0.0,0.0,refuted,2023,They concluded that subjects answering the scale might be using the response alternatives as a comparison for their answer instead of the actual meaning of hours in the options [18].
T0055,C2194,ordinary,,,0.5,robust,2012,"In other circumstances, the unchosen option can (slightly or heavily) attract the hand movement, and so the curvature of trajectories increases (Grant & Spivey, 2003; McKinstry et al., 2008; Song & Nakayama, 2009)."
T0056,C3861,ordinary,,,0.7,refuted,2022,"In this paper I argue that among the psychological roots of this lack of confidence there is a kind of intuitive thinking that can be traced back to a specific superstitious belief: the superstitious belief that “it is bad luck to tempt fate” (Risen & Gilovich, 2007, 2008)."
T0057,C4999,ordinary,,,0.0,robust,2016,"For instance, it has been suggested that there is no clear dissociation between explicit and implicit memory systems (Berry et al. 2008; Dew and Cabeza 2011) and that consciousness does not always accompany episodic memory retrieval (Hannula and Ranganath 2009; Henke 2010)."
T0058,C2113,ordinary,,,0.8,refuted,2026,Ifcher and Zarghamee (2011) finds a positive effect on time preferences—happier people tend to be more patient.
T0059,C4462,ordinary,,,0.5,refuted,2011,"In contrast, Janssen et al. (2008) obtained semantic interference in delayed naming when participants had to decide between naming the picture or reading the distractor word aloud depending on its ink colour."
T0060,C0350,ordinary,,,0.8,robust,2016,"In this respect, tests administered to samples of low educational levels, low intelligence or adolescents and pre-adolescents have the worst fi ts to the fi ve factor model of personality (Meisenberg & Williams, 2008; Rammstedt et al., 2010; Rammstedt & Kemper, 2011; Soto et al., 2008)."
T0061,C1539,ordinary,,,0.8,refuted,2013,"Finally, Ifcher and Zarghamee (2011) find that inducing mild positive affect using a video clip leads to more patient decisions involving income receipt over time."
T0062,C4179,ordinary,,,0.5,refuted,2015,"Similarly, holding a heavy (vs. light) Frontiers in Psychology | www.frontiersin.org July 2015 | Volume 6 | Article 9402 object heightens the perceived significance of an object or the weight of a topic (Jostmann et al., 2009; Schneider et al., 2011)."
T0063,C2282,ordinary,,,0.8,refuted,2017,"Goff, Steele, and Davies (2008) show that whites experience a lot of anxiety about 41 appearing racist and that this effect is lessened only when they can perceive the interaction as a safe, learning opportunity."
T0064,C0965,ordinary,,,0.5,robust,2014,"However, as we show later, encoding conditions exist in which SOB and C-SOB predict a nonmonotonic rather than a monotonic primacy gradient."
T0065,C3024,ordinary,,,0.5,refuted,2002,"It has been demonstrated that the self-inferences that participants make can then influence later self-judgments—for example, “I might not do well in school this term” (Haddock, 1998; Olson & Ross, 1984; Schwarz et al., 1985; Schwarz & Scheuring, 1989)."
T0066,C5832,ordinary,,,0.5,robust,2014,"Since C-SOB appears to be the only existing theory that provides a principled, quantitative account of the mixed-sequence advantage, we conclude that in verbal short-term memory item similarity effects involve a combination of similarity-sensitive encoding and similarity-sensitive retrieval."
T0067,C2943,ordinary,,,0.5,robust,2019,"Physicians are commonly assumed to be better informed than their patients (e.g., Dulleck and Kerschbamer, 2006; Dulleck et al., 2011), allowing for moral hazard (e."
T0068,C0874,ordinary,,,0.5,refuted,2009,"Murray et al. (2008), people with low self-esteem prioritize self-protection goals in close relationships."
T0069,C1631,ordinary,,,0.8,robust,2025,"Second, patients lack the expertise to assess service quality independently because medical services are typical credence goods [14], and the inherent information asymmetry makes it difficult for patients to evaluate the utility of these services both before and after consumption [55]."
T0070,C4606,ordinary,,,0.8,refuted,2009,"Existing research has shown that positive, pleasant and successful experiences are stored temporally closer to the present (Dickson & Bates, 2005; Ross & Wilson, 2002)."
T0071,C3309,ordinary,,,0.5,robust,2017,"Such age-related changes in constructing the future have been correlated with episodic (e.g., memory deficits, Addis et al., 2008) and non-episodic factors (e.g., narrative style, Gaesser et al., 2011)."
T0072,C5668,ordinary,,,0.5,refuted,2015,"In situations that put trust in the partner’s caring in question, unfulfilled desires for connection should heighten low self-esteem people’s attention to internal cues that suggest connecting to the partner is still possible (DeWall, Maner, & Rouby, 2009; Gardner, Pickett, & Brewer, 2000; Murray et al., 2008)."
T0073,C1479,ordinary,,,0.5,refuted,2012,"Förster, Liberman, and Kuschel (2008) proposed that since high level construals facilitate the use of broad inclusive categories, such construals should make one likely to include the context and the target in the same category, with assimilation as a result."
T0074,C4522,ordinary,,,0.5,refuted,2024,"The varying degrees of involvement determine a consumer’s route choice when processing information, according to Cacioppo et al. (1983)."
T0075,C2274,ordinary,,,0.5,refuted,2020,"Indeed, a great deal of research has shown, for example, that whether responses or preferences are assessed with different formats or endpoint labeling can bias judgments in systematic ways (Fischer and Hawkins 1993; Schwarz et al. 1985; Slovic, Griffin, and Tversky 1990; Spence 1990; Thomas and Kyung 2019)."
T0076,A018,gold_nonassert,0,,,,,"In the previous section, we discussed how we set up the experiment resembling the design by Kirchler et al. (2012)."
T0077,C4015,ordinary,,,0.5,refuted,2020,"By contrast, if a past self is evaluated negatively, people often try to contrast away from it by construing their past self as dissimilar to their present self (e.g., Ross & Wilson, 2002; Wilson et al., 2009; Wilson & Ross, 2001)."
T0078,C2712,ordinary,,,0.7,refuted,2010,"This is because the information to be expressed in the noun and in the adjective is presented in the same location and is therefore likely to be attended in parallel (e.g., DeSchepper & Treisman, 1996; Roelofs, 2008b; Wühr & Frings, 2008)."
T0079,C0252,ordinary,,,0.5,refuted,2021,"Finally, numeric group representation directly affects collective and intergroup outcomes, such as trust [14] and intergroup integration preferences [38]."
T0080,C0346,gold_hedged,1,0.0,0.0,refuted,2005,"Tversky and Kahneman (1973, 1974) have suggested that ideas that come to mind first or most easily may influence judgment."
T0081,C0178,ordinary,,,0.75,refuted,2014,"Parental, spousal, romantic, and friendly relationships act as buffering mechanisms against death anxiety (Cox et al., 2008; Florian et al., 2002; Mikulincer et al., 2003), so it is reasonable to assume that the therapeutic dyad also acts as a potential factor in the diminishment of death anxiety."
T0082,C0443,ordinary,,,0.5,refuted,2014,"But the ostraphobia (Eriksson & Simpson, 2011) and last place aversion (Kuziemko et al., 2011) arguments on which we based our predictions posit an aversion to being alone at the bottom of a rank or distribution."
T0083,C1984,ordinary,,,0.5,refuted,2010,"Masicampo and Baumeister (2008) found the effect of a sugary drink was greatest when both groups started with lower glucose levels, and the Stroop test depletes glucose (Gailliot et al., 2007)."
T0084,C4243,ordinary,,,0.5,robust,2021,"This finding is consistent with that of Fischer et al. (2008), who report that the effect of selective exposure is more pronounced when more signals are available."
T0085,C4649,ordinary,,,0.5,refuted,2014,"Even more important for the current set of studies is that one of the effects that failed to replicate was the impact of the American flag on conservatism 69 (re: Carter et al., 2011a)."
T0086,C4889,ordinary,,,0.8,refuted,2011,"Thus, with regard to the critical delayed naming condition, we obtained the same data pattern with the English materials taken from Janssen et al. (2008) as we had observed with German materials in Experiments 1 through 4."
T0087,C2744,ordinary,,,0.5,refuted,2012,"For instance, Chartrand and Bargh (1996) demonstrated that a general impression formation goal could be primed; Albarracin et al. (2008) also demonstrated that activating general action or inaction goals influenced behavioral outcome (doodling on a piece of paper) as well as cognitive outcomes (recall performance; problem solving)."
T0088,C0416,ordinary,,,0.5,robust,2024,"Some studies, which more directly manipulated attention, have shown that when attention is directed away, ensemble coding of low-level features can still be established [4, 12, 13]."
T0089,C3452,ordinary,,,0.75,robust,2024,"Essentially, the idea is that a non-conflict process such as contingency learning will not be merely additive with conflict-induced ones (Schmidt & Besner, 2008) but its availability in MI conditions may actually determine whether conflict-induced processes are used at all in those conditions."
T0090,C4146,ordinary,,,0.7,refuted,2015,"Given the experimental evidence indicating mild positive affect reduces time preference with respect to money (Ifcher and Zarghamee 2011) and the link between physical activity and psychological well-being, it is crucial to control for some measure of psychological well-being."
T0091,C3143,ordinary,,,0.75,refuted,2014,"The tendency to perceive similarity between oneself and one’s close partners is motivated by a desire to feel positively about one’s close relationships in the face of an imperfect reality (Lemay & Clark, 2008; Murray et al., 2002)."
T0092,C4652,ordinary,,,0.5,refuted,2024,"In fact, sad or negative endings may enhance meaningfulness, and thereby appreciation, by encouraging rumination of one’s mortality (Ersner-Hershfield et al., 2008; Hofer, 2013)."
T0093,C0265,ordinary,,,0.5,robust,2019,"Importantly, the assumption that contingency learning is the only source of PC effects (Schmidt & Besner, 2008) implies that no PC effects should be observed in PC manipulations that control for contingency learning operations."
T0094,C1351,ordinary,,,0.5,robust,2023,"Interestingly, similar to studies of recognition memory, recall performance in aging has been characterized by loss of specific details and emphasis on information that capture the central idea of an experience (Addis et al. 2008)."
T0095,C4540,ordinary,,,0.5,refuted,2024,"In particular, the need for agency, has been found to be deprived in group members that suffered from violent or structural forms of victimization 16–18 ."
T0096,A114,gold_nonassert,0,,,,,"An alternative way to capture future thinking is to use performance-based assessments that capture the quality of each individual future thought imagined, as often done within cognitive psychology (e.g., Addis et al., 2008; Levine et al., 2002)."
T0097,C2769,ordinary,,,0.0,refuted,2016,"For instance, participants in three of the five experiments reported by Caruso et al. (2013) may have been more inclined to have positive views about money because they were enrolled at the University of Chicago, an institution with a reputation for achievements in economics."
T0098,C0069,ordinary,,,0.8,robust,2010,"For instance, Alvarez and Oliva (2008) asked subjects to perform a difficult multiple-object tracking task and found that observers were much more accurate at localizing the centroid of the distracter objects than reporting on the position of any individual distracter."
T0099,C0680,ordinary,,,0.75,refuted,2024,"We argue that LGBTQ + individuals will be more attracted to organizations with an identity-conscious approach compared to an identity-blind approach because this will signal a more identity safe environment to them (Chaney et al., 2016; Howansky et al., 2021; Purdie-Vaughns et al., 2008)."
T0100,C3315,ordinary,,,0.5,refuted,2021,"When elaboration is relatively moderate, the multiple roles framework suggests that variables will likely influence the amount of processing, such as was observed when important values were paired with a message (Blankenship & Wegener, 2008)."
T0101,C5445,ordinary,,,0.5,refuted,2022,Communicating explicitly that diversity is valued is another strategy that can lessen stereotype threat and promote inclusivity (10).
T0102,C0282,ordinary,,,0.4,refuted,2024,"This perception of precarious positionality within and between groups may activate fears of being in last place (i.e., last place aversion 19 ) and may stoke a general sense of victimization that others have argued can lead to hierarchy-enhancing efforts 20,21 ."
T0103,C4836,ordinary,,,0.5,robust,2015,"Similarly, studies measuring hand and eye movements show that attitudes and preferences are dynamically constructed over the course of a trial (20, 29, 30)."
T0104,C4562,ordinary,,,1.0,robust,2020,Alvarez and Oliva (2008) even found that all presented items had to be included in their average to achieve the observed precision of observers ’ averaging performance.
T0105,C3695,ordinary,,,0.5,refuted,2022,"The risk regulation model proposes that, although having a satisfying relationship requires accepting dependence and risking rejection, people are motivated to minimize the pain such rejection can bring (Murray et al., 2008)."
T0106,C5579,gold_definitive,1,1.0,1.0,robust,2021,"For example, it is well established that people can simultaneously track only a limited number of moving objects and that attending to the moving objects makes it harder to detect changes in other parts of a display (Alvarez & Franconeri, 2007; Alvarez & Oliva, 2008, 2009; Tombu & Seiffert, 2008)."
T0107,C5274,ordinary,,,0.5,robust,2011,"Research supports the possibility that there are individual differences in discounting; differences in working memory capacity impact susceptibility to a cognitive load manipulation (Cokely, Kelley, Gilchrist, 2006) and cognitive load influences discounting (Oppenheimer & Monin, 2009)."
T0108,C4495,ordinary,,,0.3,robust,2019,"Studies of the influence of reputation systems on moral hazard in credence goods markets show that reputational information may have deterrent effects on agent’s fraudulent behavior (Dulleck et al., 2011; Grosskopf and Sarin, 2010; Mimra et al., 2013)."
T0109,C1562,ordinary,,,0.5,refuted,2021,"Empirical studies have documented the importance of organizational signals of inclusion for employees with marginalized identities (e.g., Apfelbaum et al., 2016; Hall et al., 2018; Kaiser et al., 2013; Purdie-Vaughns et al., 2008)."
T0110,C2924,ordinary,,,0.5,refuted,2019,"First, their correlation with intelligence is generally either low or non-existent (Stanovich, 2009; Stanovich & West, 2008, 2014; Stanovich, West, & Toplak, 2013, 2016)."
T0111,C2738,ordinary,,,0.8,refuted,2017,"For example, positive emotions enhance productivity (Ifcher and Zarghamee, 2011), loss aversion (Isen, Nygren and Ashby, l988), and cognitive flexibility (Isen, 2008)."
T0112,C0597,gold_hedged,1,0.0,0.0,refuted,2018,"Whites may attempt to avoid interracial interactions altogether (Plant & Devine, 2003) or increase the physical distance between themselves and their non-White partners (Goff et al., 2008; Stern & West, 2014)."
T0113,C5520,ordinary,,,0.8,refuted,2011,"When speakers name pictures in homogeneous and heterogeneous trial blocks (Task 1) and manually respond to arrows or tones (Task 2), phonological encoding for word production delays the manual responses to the arrows (Roelofs, 2008a; Experiments 1–3) but not to the tones (Experiment 4)."
T0114,C0407,ordinary,,,0.5,refuted,2018,"Findings from previous studies indicate that the degree of in-group bias is positively correlated with the salience of group identity (e.g. Mullen et al., 1992; Eckel and Grossman, 2005; Charness et al., 2007; Rand et al., 2009; Chen and Chen, 2011; Shayo and Zussman, 2011)."
T0115,C3684,ordinary,,,1.0,refuted,2026,Tversky and Kahneman (1973) established that decision-making under uncertainty is driven by the availability of recent examples rather than by systematic evaluation of historical outcomes.
T0116,C4981,ordinary,,,0.5,refuted,2023,"Studies have found that negotiators concede to angry ex-pressers [11], [28], suggesting that anger encodes high limits."
T0117,C0272,gold_definitive,1,1.0,1.0,robust,2019,"Together, these results clearly demonstrate that it is not the case that PC effects are unobservable when those factors are controlled for (Schmidt, 2013b; Schmidt & Besner, 2008)."
T0118,C3364,ordinary,,,0.5,refuted,2017,"A third explanation is based on the temporal self-appraisal theory (TSA; Wilson and Ross, 2001; Ross and Wilson, 2002) that people evaluate their past self in a way that serves the self-enhancement motive."
T0119,C1116,ordinary,,,0.3,robust,2021,"In one study, Demany et al. (2008) suggested that there may be an auditory equivalent of iconic memory, a high-capacity auditory memory storing raw spectral information."
T0120,C1155,ordinary,,,0.8,refuted,2015,"Consumers who rate high in need for cognition expend more cognitive effort and recall more about messages than those who score low in need for cognition (Cacioppo et al., 1983)."
T0121,C0791,gold_definitive,1,1.0,1.0,robust,2014,"It is now well established that varying the proportion of congruent and incongruent trials encountered over the course of an experiment influences performance in interference tasks (Jacoby et al., 2003; Logan & Zbrodoff, 1979; Schmidt & Besner, 2008)."
T0122,C0781,ordinary,,,0.75,robust,2023,"However, older adults’ episodic future thoughts have been found to be less detailed and specific compared with their younger counterparts (Addis et al., 2008)."
T0123,C2876,ordinary,,,0.5,refuted,2017,"Consistent with existing literature, clothing style plays an important role in the perception of sexual intent (Abbey et al., 1987; Farris et al., 2008)."
T0124,C3354,ordinary,,,0.5,robust,2012,"Furthermore, people are sometimes motivated to increase unpleasant emotions (e.g., Tamir & Ford, 2009; Tamir et al., 2008)."
T0125,C0524,gold_definitive,1,1.0,1.0,refuted,2014,"It is well established that initial and final stimuli are represented better in memory then those in between (Monsell, 1978; Oberauer, 2008; Ratcliff & Murdock, 1976)."
T0126,C5051,ordinary,,,0.5,refuted,2021,"Indeed, previous research suggests that manipulating psychological distance metacognitively could accomplish this (Alter & Oppenheimer, 2008)."
T0127,C3035,ordinary,,,0.5,robust,2023,"To promote gender equality in science, it is important that the media ’ s portrayal of women in STEM serves as a counter-stereotype to the notion that women are ill-ﬁ tted for STEM ﬁ elds (e.g., Carli et al., 2016; Leslie et al., 2015; Nosek et al., 2002)."
T0128,C4691,ordinary,,,0.5,refuted,2018,"They concentrate on just one attribute (e.g. the lowest price), use only partial information, succumb to the dominance effect, or simply preserve the status quo and do not make a selection (Masicampo & Baumeister, 2008)."
T0129,C1682,ordinary,,,0.8,refuted,2010,"According to the extended contact hypothesis learning that an ingroup member has a close relationship with an outgroup member can vicariously improve one’s own attitudes towards the outgroup (Wright, IMAGINED CONTACT 191 Aron, McLaughlin-Volpe, & Ropp, 1997)."
T0130,C3020,duplicate,,,0.5,refuted,2018,"Ample research has already shown that when people are in a more deliberative mindset, they show very different judgment and decision-making processes (e.g. Frederick, 2005; Stanovich & West, 2000, 2008)."
T0131,C2899,ordinary,,,0.5,robust,2015,"For example, a previous study argued that it takes less attention to perceive statistical properties [6], and another study made a more explicit claim that it is “cost-free” to perceive the statistical summary of stimuli that are out of attentional focus [8]."
T0132,A118,gold_nonassert,0,,,,,Lei et al. [2001] achieve a similar purpose by preventing subjects from reselling their assets.
T0133,C1623,ordinary,,,0.8,robust,2016,"Furthermore, extraversion and agreeableness showed a balanced percentage of participants with lower and higher values for the RC indices, but conscientiousness presented the largest difference (more than a 30% decrease and less than a 2% increase)."
T0134,C3714,ordinary,,,0.5,robust,2012,"Vuilleumier, Schwartz, Duhoux, Dolan, and Driver (2005) and Butler and Klein (2009) found evidence of pure implicit memory using a rapid serial visual presentation (RSVP) procedure at encoding."
T0135,C0320,ordinary,,,0.8,refuted,2026,"Nondominant groups experience threats to power and status, whereas dominant groups experience threats to moral identity (Shnabel & Nadler, 2008)."
T0136,C4918,ordinary,,,0.0,refuted,2019,People may be thinking about TIME as SPACE when talking about pushing long meetings back.
T0137,C1290,gold_definitive,1,1.0,1.0,refuted,2021,"This is because more distant (closer) stimuli cause people to have higher (lower) levels of construal, regardless of whether the psychological distance is physical, temporal, social, or probabilistic (Alter and Oppenheimer 2008; Trope, Liberman, and Wakslak 2007)."
