task_id,assert,certainty,note
T0250,1,0.5,
T0251,1,0.5,reveal=0.5 pattern repeat previous
T0252,1,0.5,
T0253,1,0.5,
T0254,0,,"therefore, they rely less = current study interpretation"
T0255,0,,change detection research has shown = citation needed
T0256,1,0.0,TODO gold_hedged
T0257,1,0.5,
T0258,0,,theory statement assumed multidimensional
T0259,0,,theory accoun
T0260,1,0.5,act as buffering = finding reported = deathanxiety
T0261,1,0.5,
T0262,1,0.5,
T0263,1,0.25,promote materialism=has been found
T0264,0,,no citation markerEMPIRICAL not METHOD
T0265,1,0.5,
T0266,1,0.25,"may lead, could arouse = hedged"
T0267,1,0.5,
T0268,1,0.5,
T0269,0,,gold_nonassert
T0270,1,0.5,
T0271,1,0.5,
T0272,1,0.5,
T0273,1,0.5,has been empirically supported general=0.5
T0274,1,0.5,
T0275,1,0.5,
T0276,1,0.5,
T0277,1,0.5,
T0278,1,0.75,
T0279,1,0.5,
T0280,1,0.5,
T0281,1,0.75,
T0282,1,0.25,
T0283,1,0.5,corresponds=0.5 summary finding
T0284,0,,theory
T0285,1,0.5,
T0286,0,,theory
T0287,1,0.5,
T0288,1,0.5,
T0289,1,0.5,
T0290,1,0.75,
T0291,1,1,TODO gold_definitive
T0292,1,0.5,
T0293,0,,theory-much research indicates general domain not 1 citation claim
T0294,1,0.5,
T0295,1,0.75,Alvarez Oliva - dualtask demands impaired=has shown 0.75
T0296,1,0.5,
T0297,1,0.5,
T0298,1,0.5,
T0299,1,0.5,
T0300,1,0.5,we replicate=0.5
T0301,1,0.5,
T0302,1,0.5,
T0303,1,0.5,
T0304,1,0.75,was present=0.75 = demonstrated
T0305,1,0.25,the variable should be=normative
T0306,0,,theory
T0307,1,0.25,review sentence-likely=uncertain
T0308,1,0.5,
T0309,1,0.5,
T0310,1,0.25,can..can=hedged
T0311,1,0.25,
T0312,0,,theory statement increasing understanding not direct claim
T0313,1,0.75,significantly different=0.75 = causal claim depreciation
T0314,1,0.5,
T0315,1,0.25,
T0316,0,,theory
T0317,1,0.5,
T0318,1,0.5,
T0319,1,0.0,TODO gold_hedged
T0320,1,0.25,suggest=0.25 hedged positive contact maybe
T0321,0,,garbled
T0322,1,0.5,
T0323,1,0.75,
T0324,0,,theory statement-Promotes=philosophy claim not empricial cit
T0325,1,0.5,
T0326,0,,we had hypothesized=current study conjecture not cited finding
T0327,1,0.5,
T0328,1,0.5,
T0329,1,0.5,
T0330,1,0.75,priming enhances performance=0.75 found
T0331,1,0.75,key determinant=0.75 strong causal claim = determin src
T0332,1,0.5,
T0333,0,,defn
T0334,1,0.25,will influence=hedged framed
T0335,1,0.25,can increase=hedged
T0336,1,0.5,
T0337,1,0.5,
T0338,1,0.5,suggested 0.25..Colzato influenced
T0339,1,0.25,
T0340,0,,theory claim needs-based= SH needs not empricial cit
T0341,1,0.5,
T0342,0,,theory explanation = hypothesis Kuz last place
T0343,1,0.5,
T0344,1,0.25,
T0345,1,0.75,increased=0.75 demonstrated
T0346,1,0.25,will maintain..will affect=future projection
T0347,0,,theory-may lead to=future lex activation not established
T0348,1,0.25,can lead to=hedged
T0349,1,0.25,
T0350,1,0.5,
T0351,0,,theory-argued interference potential=not empirical cit
T0352,1,0.5,0.5 comparative Cacioppo finding=more likely NFC
T0353,1,0.25,may be met=hedged
T0354,1,0.5,
T0355,1,0.5,
T0356,1,0.75,0.75 canonical pride=typically rates
T0357,1,0.75,strong predictors=0.75 demo
T0358,0,,gold_nonassert
T0359,1,0.25,
T0360,1,0.5,theory+finding(research indicates) mixed=per overlap rule->1
T0361,0,,garbled
T0362,1,0.75,
T0363,1,0.25,
T0364,1,0.5,
T0365,1,0.5,
T0366,1,0.5,
T0367,1,0.5,
T0368,1,0.5,helpful=positive McCrea rep
